crisis,target,mean,n_raw,lag1_autocorr,n_eff_ar1,iid_ci_lo,iid_ci_hi,iid_width,block_ci_lo,block_ci_hi,block_width,width_ratio_block_over_iid
GFC,corr_SPY_GLD,0.017244928959709787,397,0.9970210155749396,1.0,-0.009027588681358695,0.04284209090231348,0.051869679583672175,-0.24410117882884216,0.15499683064060757,0.39909800946944973,7.694244743225289
GFC,corr_SPY_WTI,0.09309691530188452,397,0.9951826783004266,1.0,0.07240413164290502,0.11532834554240937,0.04292421389950435,-0.07655394601756588,0.20475141022780163,0.2813053562453675,6.553535421847662
GFC,corr_SPY_DBC,0.20255654065567946,397,0.9971366756478934,1.0,0.17700224369109277,0.23000680979451504,0.053004566103422274,-0.004684418093943415,0.3453641852177623,0.35004860331170573,6.604121664324022
COVID,corr_SPY_GLD,-0.08796275534714271,90,0.9793992607508262,1.0,-0.1467954341901675,-0.030366759576672023,0.11642867461349547,-0.3020810723572202,0.1567545801442206,0.4588356525014408,3.9409162220958263
COVID,corr_SPY_BTC,0.2647908268206055,90,0.9814890158124261,1.0,0.214790647336523,0.31435233131866336,0.09956168398214035,0.07176256690351529,0.4728188681575448,0.4010563012540295,4.028219343155868
COVID,corr_SPY_WTI,0.36539322000654456,79,0.972893720290033,1.0854087450653915,0.3263027399435018,0.4028541477787406,0.07655140783523884,0.2624076203875682,0.5281549578556791,0.2657473374681109,3.471488571968231
COVID,corr_SPY_DBC,0.5797242028647837,90,0.9873462648063875,1.0,0.5425911047180574,0.6160488512514625,0.07345774653340509,0.4779353507289075,0.7190927500793413,0.24115739935043373,3.2829403395973604
INFL2022,corr_SPY_GLD,0.037436600310398,304,0.9971271513941965,1.0,0.006737263513834136,0.07004818753711074,0.06331092402327661,-0.25068925689908494,0.16469599465417767,0.4153852515532626,6.561035997524597
INFL2022,corr_SPY_BTC,0.49619496863874224,304,0.984211598097582,2.418932629431712,0.48752726214261427,0.5046929018122477,0.017165639669633415,0.4305487278500884,0.5521423463268524,0.12159361847676403,7.083547180118616
INFL2022,corr_SPY_WTI,0.11539092235184908,304,0.9952734630920613,1.0,0.08875415735474146,0.14179728388128418,0.05304312652654272,-0.07863369593818688,0.15140356725565074,0.2300372631938376,4.336796834152059
INFL2022,corr_SPY_DBC,0.17088727280871696,304,0.9959676331531555,1.0,0.13944217101742049,0.20152476377766185,0.06208259276024136,-0.08360108539024813,0.24110128818004095,0.3247023735702891,5.230167735169615
TARIFF25,corr_SPY_GLD,0.1737062722573673,92,0.9568478966166345,2.0287695932492738,0.14654656410399275,0.2001146767604721,0.053568112656479344,0.11636254853795137,0.2557412998864664,0.13937875134851502,2.6018977417091516
TARIFF25,corr_SPY_BTC,0.3524549168658518,92,0.8649600355623488,6.661631612131436,0.3430357564605946,0.3608551332011387,0.017819376740544124,0.3210913786551749,0.3709325102130057,0.04984113155783082,2.7970187893512652
TARIFF25,corr_SPY_WTI,0.41385632607181616,92,0.9932959389333175,1.0,0.359088550473216,0.46585275774613927,0.1067642072729233,0.2309576477213354,0.6117362039297459,0.3807785562084105,3.5665375684850944
TARIFF25,corr_SPY_DBC,0.5090261791613512,92,0.9914896689914068,1.0,0.45683271912248913,0.558772139001155,0.10193941987866584,0.3165853444655897,0.7029876438048432,0.3864022993392535,3.790509106282651
CURRENT,corr_SPY_GLD,0.16970128587952735,171,0.9077839104215857,8.265585652425488,0.1613982990131068,0.17768323685306808,0.016284937839961294,0.1563135256085855,0.18507479768762428,0.02876127207903878,1.7661272251504732
CURRENT,corr_SPY_BTC,0.5111170714374582,171,0.9700708037788288,2.5978216336202484,0.5020510416730815,0.5197323693793744,0.017681327706292937,0.46043597485332555,0.5493139671384176,0.08887799228509208,5.026658278238892
CURRENT,corr_SPY_WTI,-0.010418200543294719,171,0.9939672081617953,1.0,-0.04258515365948683,0.020730260401528842,0.06331541406101567,-0.11394139924339879,0.15598773673818436,0.26992913598158313,4.263245214213689
CURRENT,corr_SPY_DBC,0.14874358408882501,171,0.9953130545498663,1.0,0.11398181226572486,0.18105236831447813,0.06707055604875327,0.05377476308034297,0.331505407745244,0.27773064466490105,4.140872851315262
