id,authors,year,title,venue,doi_or_url,theme,one_line_relevance
P001,"Forbes, K. J.; Rigobon, R.",2002,"No Contagion, Only Interdependence: Measuring Stock Market Comovements",Journal of Finance 57(5) 2223-2261,https://doi.org/10.1111/0022-1082.00494,T1,"Shows unconditional correlations barely rise in crises once you correct for heteroskedasticity — the foundational 'spurious contagion' result."
P002,"Longin, F.; Solnik, B.",2001,"Extreme Correlation of International Equity Markets",Journal of Finance 56(2) 649-676,https://doi.org/10.1111/0022-1082.00340,T1,"Cross-country equity correlations rise in bear-market tails but not bull tails — asymmetric regime behaviour via extreme-value theory."
P003,"Engle, R. F.",2002,"Dynamic Conditional Correlation: A Simple Class of Multivariate GARCH Models",Journal of Business & Economic Statistics 20(3) 339-350,https://doi.org/10.1198/073500102288618487,T1,"Introduces DCC-GARCH — the standard parametric model for time-varying correlation used by essentially every safe-haven paper since."
P004,"Baur, D. G.; Lucey, B. M.",2010,"Is Gold a Hedge or a Safe Haven? An Analysis of Stocks, Bonds and Gold",Financial Review 45(2) 217-229,https://doi.org/10.1111/j.1540-6288.2010.00244.x,T1,"Canonical hedge-vs-safe-haven distinction for gold; empirically gold is a hedge on average and a safe haven in extremes for ~15 trading days."
P005,"Baur, D. G.; McDermott, T. K.",2010,"Is Gold a Safe Haven? International Evidence",Journal of Banking & Finance 34(8) 1886-1898,https://doi.org/10.1016/j.jbankfin.2009.12.008,T1,"Extends Baur-Lucey across 30 years and many countries; gold is safe haven for developed European / US equities but not BRICs or AU/CA/JP."
P006,"Reboredo, J. C.",2013,"Is gold a safe haven or a hedge for the US dollar? Implications for risk management",Journal of Banking & Finance 37(8) 2665-2676,https://doi.org/10.1016/j.jbankfin.2013.03.020,T1,"Copula analysis: gold hedges USD depreciation on average and is a tail-symmetric safe haven against extreme dollar moves."
P007,"Bredin, D.; Conlon, T.; Potì, V.",2015,"Does Gold Glitter in the Long-Run? Gold as a Hedge and Safe Haven Across Time and Investment Horizon",International Review of Financial Analysis 41 320-328,https://doi.org/10.1016/j.irfa.2015.01.010,T1,"Wavelet decomposition shows gold is a safe haven across ALL horizons during crises but downside-protective only short-horizon in recessions."
P008,"Ang, A.; Bekaert, G.",2002,"International Asset Allocation With Regime Shifts",Review of Financial Studies 15(4) 1137-1187,https://doi.org/10.1093/rfs/15.4.1137,T1,"Regime-switching model where correlations + vols rise together in bear regimes; methodological template for conditioning correlations on macro state."
P009,"Hamilton, J. D.",1989,"A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle",Econometrica 57(2) 357-384,https://doi.org/10.2307/1912559,T1,"Markov regime-switching framework — will be used to identify macroeconomic regimes within which to condition our correlations."
P010,"Pesaran, M. H.; Timmermann, A.",2007,"Selection of estimation window in the presence of breaks",Journal of Econometrics 137(1) 134-161,https://doi.org/10.1016/j.jeconom.2006.03.010,T1,"Shows that pre-break data can improve out-of-sample forecasts even across structural breaks — informs our choice of rolling-correlation window length."
P011,"Dyhrberg, A. H.",2016,"Bitcoin, gold and the dollar – A GARCH volatility analysis",Finance Research Letters 16 85-92,https://doi.org/10.1016/j.frl.2015.10.008,T1,"Early BTC paper: initial GARCH evidence that bitcoin sits between gold and USD as hedge — a claim that 2020+ data would overturn."
P012,"Bouri, E.; Molnár, P.; Azzi, G.; Roubaud, D.; Hagfors, L. I.",2017,"On the hedge and safe haven properties of Bitcoin: Is it really more than a diversifier?",Finance Research Letters 20 192-198,https://doi.org/10.1016/j.frl.2016.09.025,T1,"Seminal bitcoin paper: BTC is mostly a diversifier, only a weak/conditional safe haven against Asian equities."
P013,"Shahzad, S. J. H.; Bouri, E.; Roubaud, D.; Kristoufek, L.; Lucey, B. M.",2019,"Is Bitcoin a better safe-haven investment than gold and commodities?",International Review of Financial Analysis 63 322-330,https://doi.org/10.1016/j.irfa.2019.01.002,T1,"Cross-quantilogram weak/strong safe-haven definition; BTC is only weak SH, role is time-varying and index-dependent."
P014,"Smales, L. A.",2019,"Bitcoin as a safe haven: Is it even worth considering?",Finance Research Letters 30 385-393,https://doi.org/10.1016/j.frl.2018.11.002,T1,"Argues BTC's volatility and liquidity make it unsuitable as safe haven; a weak hedge at best."
P015,"Conlon, T.; McGee, R.",2020,"Safe haven or risky hazard? Bitcoin during the Covid-19 bear market",Finance Research Letters 35 101607,https://doi.org/10.1016/j.frl.2020.101607,T1,"March 2020: BTC fell alongside S&P 500 and INCREASED portfolio downside risk — direct falsification of the digital-gold claim under stress."
P016,"Akhtaruzzaman, M.; Boubaker, S.; Lucey, B. M.; Sensoy, A.",2021,"Is gold a hedge or a safe-haven asset in the COVID–19 crisis?",Economic Modelling 102 105588,https://doi.org/10.1016/j.econmod.2021.105588,T1,"High-frequency DCC analysis during COVID finds gold's safe-haven role weakened in early pandemic period."
P017,"Selmi, R.; Mensi, W.; Hammoudeh, S.; Bouoiyour, J.",2018,"Is Bitcoin a hedge, a safe haven or a diversifier for oil price movements? A comparison with gold",Energy Economics 74 787-801,https://doi.org/10.1016/j.eneco.2018.07.007,T1,"Quantile-on-quantile shows safe-haven role of BTC/gold is conditional on market state (bear/normal/bull)."
P018,"Cheah, E.-T.; Fry, J.",2015,"Speculative bubbles in Bitcoin markets? An empirical investigation into the fundamental value of Bitcoin",Economics Letters 130 32-36,https://doi.org/10.1016/j.econlet.2015.02.029,T1,"Argues BTC fundamental value is zero and prices contain large bubble component — relevant to whether BTC correlations are behaviourally driven."
P019,"Gorton, G.; Rouwenhorst, K. G.",2006,"Facts and Fantasies About Commodity Futures",Financial Analysts Journal 62(2) 47-68,https://doi.org/10.2469/faj.v62.n2.4083,T1,"Historical (1959-2004): collateralised commodity futures earned equity-like returns and were NEGATIVELY correlated with equities and bonds."
