window,target,mean,lo,hi,n
30,GLD,0.24534090340709666,0.16191632272057424,0.31520791496505174,171
30,BTC,0.5050090371013717,0.41074712806774233,0.5940474484093312,171
30,WTI,-0.07862783166413814,-0.2352411883507926,0.07062532473343319,171
30,DBC,0.07030269841994263,-0.15076443286164687,0.2909386375632851,171
90,GLD,0.1697029267869782,0.15631406409039947,0.1850747929147503,171
90,BTC,0.5111167687668087,0.4604359772409922,0.5493135912073148,171
90,WTI,-0.010419060462922984,-0.11394080620496955,0.15598935377945464,171
90,DBC,0.14874320985959605,0.05377520695820489,0.33150739128120327,171
250,GLD,0.03195821206323152,-0.0774649277460357,0.10553119034971209,171
250,BTC,0.437568870631761,0.3760452130464511,0.4983850779615971,171
250,WTI,-8.86688191875943e-06,-0.08953781140876835,0.08594449344137382,171
250,DBC,0.12605867254348932,0.047474328920033775,0.19722056876650526,171
