experiment_id	description	mae	rmse	r2	mae_std	rmse_std	elapsed_s	kept
T001_ridge	Ridge (linear baseline)	32.28	44.80	0.8620	0.19	0.15	0.7	YES
T002_et	ExtraTrees (200 trees)	20.51	30.97	0.9340	0.13	0.22	178.1	YES
T003_xgb	XGBoost (300 trees, GPU)	19.26	28.74	0.9432	0.09	0.17	12.9	YES
T004_lgbm	LightGBM (300 trees)	19.54	28.91	0.9425	0.09	0.13	6.2	YES
H001	Compactness ratio (envelope/floor area)	19.52	28.89	0.9426	0.05	0.11	5.9	YES
H002	Wall insulation era interaction	19.54	28.93	0.9424	0.08	0.12	6.3	NO
H003	Heating-fabric interaction	19.56	28.93	0.9424	0.08	0.12	6.0	NO
H004	Ventilation heat loss proxy	19.52	28.91	0.9425	0.08	0.13	6.1	YES
H005	Primary energy factor by fuel	19.52	28.89	0.9426	0.09	0.13	6.2	YES
H006	Roof-to-floor area ratio	19.54	28.91	0.9425	0.09	0.12	6.1	NO
H007	Log-transform floor area	19.54	28.92	0.9425	0.08	0.12	5.9	NO
H009	Space heating fraction	18.47	27.40	0.9484	0.08	0.17	6.3	YES
H010	Wall heat loss (area * U-value)	19.54	28.93	0.9424	0.08	0.13	6.4	NO
H014	Log-transform target (predict log(kWh/m2))	19.67	29.30	0.9409	0.00	0.00	6.2	NO
H013	LightGBM tuned (lr=0.05, n=600, depth=10, reg_lambda=1)	19.44	28.79	0.9430	0.08	0.13	11.4	YES
COMP_01	Composition: LightGBM tuned + 4 HDR features + raw target	18.05	26.77	0.9508	0.02	0.05	80.6	YES
