id,authors,year,title,venue,doi_or_url,relevance_note
T1_001,"Landauer, R.",1961,Irreversibility and heat generation in the computing process,IBM Journal of Research and Development,10.1147/rd.53.0183,Foundational paper establishing k_B T ln 2 minimum per bit erasure; sets quasistatic limit that the Berut dataset's large-tau point verifies.
T1_002,"Bennett, C. H.",1982,The thermodynamics of computation — a review,International Journal of Theoretical Physics,10.1007/BF02084158,Review cementing Landauer bound within Maxwell demon thermodynamics; provides the framework for interpreting finite-time excess heat.
T1_003,"Landauer, R.",1996,Minimal energy requirements in communication,Science,10.1126/science.272.5270.1914,Landauer's own later reassessment; relevant for discussing what the kT ln 2 floor does and does not apply to.
T1_004,"Bérut, A.; Arakelyan, A.; Petrosyan, A.; Ciliberto, S.; Dillenschneider, R.; Lutz, E.",2012,Experimental verification of Landauer's principle linking information and thermodynamics,Nature,10.1038/nature10872,The primary dataset of this project: ten (tau, <Q_diss>) points from a colloidal double-well erasure experiment.
T1_005,"Bérut, A.; Petrosyan, A.; Ciliberto, S.",2015,Information and thermodynamics: experimental verification of Landauer's erasure principle,J. Stat. Mech.,10.1088/1742-5468/2015/06/P06015,Expanded account of Berut 2012 including more detail on the photodiode reconstruction of the double-well potential.
T1_006,"Proesmans, K.; Ehrich, J.; Bechhoefer, J.",2020,Finite-time Landauer principle,Phys. Rev. Lett.,10.1103/PhysRevLett.125.100602,Derives B = pi^2 coefficient in <Q_diss>(tau) = kT ln 2 + B kT/tau; the symmetric prediction this project tests against the full Berut curve.
T1_007,"Proesmans, K.; Ehrich, J.; Bechhoefer, J.",2020,Optimal finite-time bit erasure under full control,Phys. Rev. E,10.1103/PhysRevE.102.032105,Long-form companion paper; contains detailed protocol analysis and discussion of Berut's experimental regime.
T1_008,"Schmiedl, T.; Seifert, U.",2007,Optimal finite-time processes in stochastic thermodynamics,Phys. Rev. Lett.,10.1103/PhysRevLett.98.108301,Earliest derivation of 1/tau finite-time dissipation scaling for overdamped control; parent of Proesmans' formula.
T1_009,"Reeb, D.; Wolf, M. M.",2014,An improved Landauer principle with finite-size corrections,New J. Phys.,10.1088/1367-2630/16/10/103011,Equality form of Landauer principle with finite-reservoir corrections; demarcates which deviations the Berut refit can attribute to finite-time vs finite-reservoir physics.
T1_010,"Sagawa, T.; Ueda, M.",2009,Minimal energy cost for thermodynamic information processing: measurement and information erasure,Phys. Rev. Lett.,10.1103/PhysRevLett.102.250602,Information-theoretic lower bounds on measurement + erasure; treats asymmetric memory explicitly.
