id,authors,year,title,venue,doi_or_url,theme,type,notes
T3_001,"Kramers, H. A.",1940,Brownian motion in a field of force and the diffusion model of chemical reactions,Physica 7 284,10.1016/S0031-8914(40)90098-2,3,foundational,Original Kramers escape-rate paper; derivation for both symmetric and asymmetric wells; load-bearing reference
T3_002,"Hanggi P; Talkner P; Borkovec M",1990,Reaction-rate theory: fifty years after Kramers,Rev. Mod. Phys. 62 251,10.1103/RevModPhys.62.251,3,review,Canonical review; contains asymmetric-well Kramers prefactor formulas
T3_003,"Risken, H.",1989,The Fokker-Planck Equation: Methods of Solution and Applications (2nd ed.),Springer,10.1007/978-3-642-61544-3,3,textbook,Standard text; Chapter 5 covers eigenvalue expansion for bistable overdamped potentials; load-bearing for B=pi^2 derivation
T3_004,"Gardiner, C. W.",2009,Stochastic Methods: A Handbook for the Natural and Social Sciences (4th ed.),Springer,ISBN-978-3-540-70712-7,3,textbook,Reference for overdamped Fokker-Planck in asymmetric potentials
T3_005,"Van Kampen, N. G.",2007,Stochastic Processes in Physics and Chemistry (3rd ed.),North-Holland,ISBN-978-0-444-52965-7,3,textbook,Chapter XIII covers Kramers equation and escape rates
T3_006,"Schmiedl T; Seifert U",2007,Optimal finite-time processes in stochastic thermodynamics,Phys. Rev. Lett. 98 108301,10.1103/PhysRevLett.98.108301,3,foundational,Variational optimal-protocol theory for finite-time processes; closed-form solution for harmonic-trap shifting
T3_007,"Seifert, U.",2012,"Stochastic thermodynamics, fluctuation theorems and molecular machines",Rep. Prog. Phys. 75 126001,10.1088/0034-4885/75/12/126001,3,review,Standard stochastic-thermodynamics review
T3_008,"Sekimoto, K.",1998,Langevin equation and thermodynamics,Prog. Theor. Phys. Suppl. 130 17,10.1143/PTPS.130.17,3,foundational,Defines heat and work for single Langevin trajectories
T3_009,"Sekimoto, K.",2010,Stochastic Energetics,Springer Lecture Notes in Physics 799,10.1007/978-3-642-05411-2,3,textbook,Textbook-length treatment; cited by Proesmans 2020 for heat identities
T3_010,"Jarzynski, C.",1997,Nonequilibrium equality for free energy differences,Phys. Rev. Lett. 78 2690,10.1103/PhysRevLett.78.2690,3,foundational,Jarzynski equality; used by Berut 2012 to verify Landauer bound
T3_011,"Crooks, G. E.",1999,Entropy production fluctuation theorem and the nonequilibrium work relation for free energy differences,Phys. Rev. E 60 2721,10.1103/PhysRevE.60.2721,3,foundational,Crooks fluctuation theorem
T3_012,"Aurell E; Mejia-Monasterio C; Muratore-Ginanneschi P",2011,Optimal protocols and optimal transport in stochastic thermodynamics,Phys. Rev. Lett. 106 250601,10.1103/PhysRevLett.106.250601,3,foundational,Connects optimal protocols to Monge-Kantorovich transport; Wasserstein bound
T3_013,"Aurell E; Gawedzki K; Mejia-Monasterio C; Mohayaee R; Muratore-Ginanneschi P",2012,Refined second law of thermodynamics for fast random processes,J. Stat. Phys. 147 487,10.1007/s10955-012-0478-x,3,foundational,L2 Wasserstein lower bound on entropy production
T3_014,"Proesmans K; Ehrich J; Bechhoefer J",2020,Finite-time Landauer principle,Phys. Rev. Lett. 125 100602,10.1103/PhysRevLett.125.100602,3,foundational,Derives B = pi^2 / tau finite-time correction
T3_015,"Proesmans K; Ehrich J; Bechhoefer J",2020,Optimal finite-time bit erasure under full control,Phys. Rev. E 102 032105,10.1103/PhysRevE.102.032105,3,foundational,Long-form companion with derivation details and relation to optimal transport
T3_016,"Zulkowski P R; DeWeese M R",2014,Optimal finite-time erasure of a classical bit,Phys. Rev. E 89 052140,10.1103/PhysRevE.89.052140,3,foundational,Pre-Proesmans optimal-protocol erasure; Hellinger-distance bound
T3_017,"Zulkowski P R; Sivak D A; Crooks G E; DeWeese M R",2012,Geometry of thermodynamic control,Phys. Rev. E 86 041148,10.1103/PhysRevE.86.041148,3,foundational,Riemannian friction tensor for linear-response optimal control
T3_018,"Sivak D A; Crooks G E",2012,Thermodynamic metrics and optimal paths,Phys. Rev. Lett. 108 190602,10.1103/PhysRevLett.108.190602,3,foundational,Defines the generalized friction tensor
T3_019,"Zulkowski P R; Sivak D A; DeWeese M R",2013,Optimal control of transitions between nonequilibrium steady states,PLOS ONE 8 e82754,10.1371/journal.pone.0082754,3,extension,Extends optimal-protocol geometry to NESS
T3_020,"Dechant A; Sasa S",2019,Improving thermodynamic bounds using correlations,Phys. Rev. X 11 041061,10.1103/PhysRevX.11.041061,3,extension,Correlation-based bounds on entropy production
T3_021,"Dechant A; Sakurai Y",2019,Thermodynamic interpretation of Wasserstein distance,arXiv 1912.08405,arXiv:1912.08405,3,foundational,Wasserstein-entropy production connection
T3_022,"Dechant A; Sasa S; Ito S",2022,Geometric decomposition of entropy production in out-of-equilibrium systems,Phys. Rev. Research 4 L012034,10.1103/PhysRevResearch.4.L012034,3,extension,Excess / housekeeping decomposition
T3_023,"Nakazato M; Ito S",2021,Geometrical aspects of entropy production in stochastic thermodynamics based on Wasserstein distance,Phys. Rev. Research 3 043093,10.1103/PhysRevResearch.3.043093,3,extension,Wasserstein geometry of entropy production
T3_024,"Van Vu T; Hasegawa Y",2021,Geometrical bounds of the irreversibility in Markovian systems,Phys. Rev. Lett. 126 010601,10.1103/PhysRevLett.126.010601,3,extension,Geometric irreversibility bounds
T3_025,"Ito S; Dechant A",2020,Stochastic time evolution information geometry and the Cramer-Rao bound,Phys. Rev. X 10 021056,10.1103/PhysRevX.10.021056,3,extension,Information-geometric thermodynamic speed limit
T3_026,"Shiraishi N; Saito K",2019,Information-theoretical bound of the irreversibility in thermal relaxation processes,Phys. Rev. Lett. 123 110603,10.1103/PhysRevLett.123.110603,3,extension,Relaxation-time bound
T3_027,"Shiraishi N; Funo K; Saito K",2018,Speed limit for classical stochastic processes,Phys. Rev. Lett. 121 070601,10.1103/PhysRevLett.121.070601,3,extension,Classical thermodynamic speed limit
T3_028,"Mel'nikov V I; Meshkov S V",1986,Theory of activated rate processes - exact solution of the Kramers problem,J. Chem. Phys. 85 1018,10.1063/1.451844,3,foundational,Mel'nikov-Meshkov theory for activated rates with asymmetric wells
T3_029,"Mel'nikov V I",1991,The Kramers problem: fifty years of development,Phys. Rep. 209 1,10.1016/0370-1573(91)90108-X,3,review,Full treatment of asymmetric-well rate theory
T3_030,"Pollak E; Grabert H; Hanggi P",1989,Theory of activated rate processes for arbitrary frequency dependent friction,J. Chem. Phys. 91 4073,10.1063/1.456837,3,foundational,Frequency-dependent friction rate formula; asymmetric wells
T3_031,"Coffey W T; Kalmykov Y P; Titov S V",2005,Thermally activated escape rate for the Brownian motion of a fixed axis rotator in an asymmetrical double-well potential,Phys. Rev. E 72 011103,10.1103/PhysRevE.72.011103,3,foundational,Explicit asymmetric-well escape rate at all dissipation values
