exp_id	phase	description	model	seed	metric	value	ci_low	ci_high	status	notes
E00	0.5	Phase 0.5 baseline: weighted NLS fit of Q_diss = ln2 + B/tau to 10 digitised Berut points	1/tau_fixed_floor	42	B_in_units_of_pi_sq	0.8378	0.7473	0.9304	KEEP	Bérut-Petrosyan-Ciliberto 2015 Fig 8 optimised-protocol data; 2000-draw bootstrap; data caveats noted in data_sources.md
T01_0	1	Phase 1 tournament: F1_Proesmans_1/tau parameter #0	F1_Proesmans_1/tau	42	param_0	8.266658	7.384601	9.148714	KEEP	AICc=4.367, chi2=1.867, rmse=0.0648
T02_0	1	Phase 1 tournament: F2_VanVu-Saito_1/tau+1/tau^2 parameter #0	F2_VanVu-Saito_1/tau+1/tau^2	42	param_0	7.786273	4.941196	10.631350	TOURN	AICc=7.460, chi2=1.746, rmse=0.0627
T02_1	1	Phase 1 tournament: F2_VanVu-Saito_1/tau+1/tau^2 parameter #1	F2_VanVu-Saito_1/tau+1/tau^2	42	param_1	2.875301	-13.314586	19.065188	TOURN	AICc=7.460, chi2=1.746, rmse=0.0627
T03_0	1	Phase 1 tournament: F3_free_power_law parameter #0	F3_free_power_law	42	param_0	0.346301	-0.554373	1.246975	TOURN	AICc=10.374, chi2=0.374, rmse=0.0290
T03_1	1	Phase 1 tournament: F3_free_power_law parameter #1	F3_free_power_law	42	param_1	6.449319	2.344851	10.553786	TOURN	AICc=10.374, chi2=0.374, rmse=0.0290
T03_2	1	Phase 1 tournament: F3_free_power_law parameter #2	F3_free_power_law	42	param_2	0.725270	0.096804	1.353736	TOURN	AICc=10.374, chi2=0.374, rmse=0.0290
T04_0	1	Phase 1 tournament: F4_activated_process parameter #0	F4_activated_process	42	param_0	0.828348	0.637997	1.018698	TOURN	AICc=10.507, chi2=0.507, rmse=0.0338
T04_1	1	Phase 1 tournament: F4_activated_process parameter #1	F4_activated_process	42	param_1	2.963413	2.023854	3.902971	TOURN	AICc=10.507, chi2=0.507, rmse=0.0338
T04_2	1	Phase 1 tournament: F4_activated_process parameter #2	F4_activated_process	42	param_2	7.442575	4.029955	10.855195	TOURN	AICc=10.507, chi2=0.507, rmse=0.0338
E01_baseline	2	Phase 2 simulator: E01_baseline	Brownian-dynamics-quartic	42	B_sim_in_units_of_pi_sq	2.2616	2.1982	2.3249	KEEP	knobs=(0.0, 0.0, 0.0, 6.0, 0.0), B=22.321±0.319, B/pi^2=2.262
