cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,source,predicted_strength,co2_kg_per_m3,cost_usd_per_m3,strength_per_co2
540,0,0,150,10,1000,750,28,high_strength,75.63764953613281,509.9,135.15,0.14833820265960546
500,0,0,150,10,1000,750,28,high_strength,74.19566345214844,473.9,129.15,0.15656396592561392
450,0,0,150,10,1000,750,28,high_strength,73.57501983642578,428.9,121.65,0.17154352957898295
450,0,0,140,10,1000,750,28,high_strength,71.89617156982422,428.89,121.64,0.16763312637231975
450,0,0,130,10,1000,750,28,high_strength,69.49205017089844,428.88,121.63,0.16203145441824854
400,200,0,140,8,950,700,28,grid,68.09234619140625,394.39,126.79,0.1726523141849597
350,200,0,140,8,950,700,28,grid,64.87879180908203,349.39,119.29,0.18569161054718805
300,200,0,140,8,950,700,28,grid,58.8804817199707,304.39,111.79,0.19343763500762412
250,200,0,140,8,950,700,28,grid,57.092288970947266,259.39,104.29,0.22010212024730047
250,100,0,140,8,950,700,28,grid,51.38142395019531,252.39000000000001,94.29,0.20357947601012444
200,200,0,140,8,950,700,28,grid,51.22699737548828,214.39000000000001,96.79,0.2389430354750141
200,100,0,140,8,950,700,28,grid,46.27177429199219,207.39000000000001,86.79,0.22311478032688262
100,300,150,160,12,950,700,28,low_cement,43.63288879394531,138.91,111.31,0.31410905474008577
100,250,150,160,12,950,700,28,low_cement,42.717716217041016,135.41,106.31,0.3154694351749577
100,200,150,160,12,950,700,28,low_cement,42.16929244995117,131.91,101.31,0.3196823019479279
100,200,100,160,12,950,700,28,low_cement,40.53971481323242,131.41,98.81,0.3084979439405861
100,150,150,160,12,950,700,28,low_cement,38.460628509521484,128.41,96.31,0.2995142785571333
100,150,100,160,12,950,700,28,low_cement,36.57933807373047,127.91,93.81,0.28597715638910537
