exp_id	description	mae	rmse	r2	n_pareto	best_efficiency	prior	decision	notes
E00	Baseline: XGBoost on raw features	2.7846	4.2858	0.9340	18	0.32	1.00	BASELINE	depth=6 lr=0.05 n=300
T01	LightGBM on raw features	2.7818	4.2838	0.9342			0.55	REVERT	family=lightgbm
T02	ExtraTrees on raw features	3.0761	4.8503	0.9156			0.45	REVERT	family=extratrees
T03	Ridge regression on raw features (linear baseline)	8.3417	10.5354	0.6019			0.05	REVERT	family=ridge
E01	Add log(age) feature	2.8389	4.3821	0.9311			0.70	REVERT	family=xgboost feats=1
E02	Add water-to-binder ratio	2.7234	4.2766	0.9344			0.85	KEEP	family=xgboost feats=2
E03	Add SCM percentage	2.7011	4.2358	0.9356			0.60	KEEP	family=xgboost feats=3
E04	Add total binder content	2.7400	4.2357	0.9357			0.50	REVERT	family=xgboost feats=4
E05	Add aggregate ratio (fine_frac)	2.7084	4.2408	0.9355			0.30	REVERT	family=xgboost feats=5
E06	Add superplasticizer-per-binder ratio	2.7433	4.2623	0.9348			0.40	REVERT	family=xgboost feats=5
E07	Add cement/water ratio (inverse w/c)	2.7574	4.3143	0.9332			0.30	REVERT	family=xgboost feats=6
E08	Add log(cement) and log(water)	2.7267	4.2989	0.9337			0.30	REVERT	family=xgboost feats=7
E09	Add slag and fly-ash percentages separately	2.7331	4.2725	0.9345			0.40	REVERT	family=xgboost feats=7
E10	Add cement×log(age) interaction	2.7612	4.3003	0.9337			0.50	REVERT	family=xgboost feats=6
E11	Add (w/b ratio) × log(age) interaction	2.8019	4.3625	0.9317			0.45	REVERT	family=xgboost feats=6
E12	Lower learning rate to 0.03, n=500	2.7033	4.2445	0.9354			0.30	REVERT	family=xgboost feats=5
E13	Increase max_depth to 8	2.7634	4.3677	0.9316			0.30	REVERT	family=xgboost feats=5
E14	Decrease max_depth to 4 (regularize)	2.8922	4.2832	0.9342			0.30	REVERT	family=xgboost feats=5
E15	Subsample 0.6 (more aggressive bagging)	2.7477	4.2669	0.9347			0.25	REVERT	family=xgboost feats=5
E16	Train on log(strength) target	2.7878	4.3120	0.9333			0.40	REVERT	family=xgboost feats=5
E17	Monotonicity constraint: cement → strength must increase	2.6668	4.1262	0.9389			0.55	KEEP	family=xgboost feats=5
E18	Monotonicity: cement+, age+, water-	2.7182	4.1838	0.9372			0.60	REVERT	family=xgboost feats=5
E19	Larger min_child_weight (5)	2.7749	4.3113	0.9333			0.30	REVERT	family=xgboost feats=5
E20	n_estimators 300 → 600	2.6419	4.2005	0.9367			0.30	KEEP	family=xgboost feats=5
P25.1	Compose: baseline + wb_ratio	2.7177	4.2272	0.9359			0.85	REVERT	family=xgboost feats=1
P25.2	Compose: baseline + wb_ratio + scm_pct	2.7241	4.2615	0.9349			0.70	REVERT	family=xgboost feats=2
P25.3	Compose: baseline + wb+scm + monotone(cement)	2.6498	4.1496	0.9382			0.70	REVERT	family=xgboost feats=2
P25.4	Compose: baseline + wb+scm + n=600	2.6097	4.1788	0.9374			0.65	KEEP	family=xgboost feats=2
P25.5	Compose: baseline + wb+scm + monotone + n=600	2.5467	4.0683	0.9406			0.70	KEEP	family=xgboost feats=2
P25.6	Compose: + log_age + wb+scm + monotone + n=600	2.5838	4.1167	0.9392			0.50	REVERT	family=xgboost feats=3
P25.7	Compose: E20 features + monotone(cement) + n=600	2.6390	4.1758	0.9375			0.55	REVERT	family=xgboost feats=5
P25.8	Compose: E20 features + monotone(cement) + n=900	2.6165	4.1811	0.9373			0.40	REVERT	family=xgboost feats=5
