id,title,authors,year,venue,url,category,relevance
P001,"Railway Timetabling & Operations: Analysis, Modelling, Optimisation, Simulation, Performance Evaluation","Hansen, I.A.; Pachl, J.",2014,Book - Eurailpress,https://doi.org/10.1007/978-3-642-37729-5,textbook,Core textbook on railway operations and timetabling
P002,"Railway Timetable Stability Analysis Using Max-Plus System Theory","Goverde, R.M.P.",2007,Transportation Research Part B,https://doi.org/10.1016/j.trb.2006.02.003,timetable-stability,Foundational max-plus algebra approach to timetable stability
P003,"Punctuality of Railway Operations and Timetable Stability Analysis","Goverde, R.M.P.",2005,PhD Thesis - TU Delft,https://repository.tudelft.nl/islandora/object/uuid:3f3a1c13-1c3c-4c38-8e38-2a3be3613538,timetable-stability,Comprehensive thesis on railway punctuality modelling
P004,"A Stochastic Model for the Propagation of Train Delays","Yuan, J.",2006,PhD Thesis - TU Delft,https://repository.tudelft.nl/islandora/object/uuid:dc586263-e8fb-43eb-ac73-bb7949f7509f,delay-propagation,Stochastic delay propagation on railway networks
P005,"Optimizing Running Time Distribution Under Stochastic Demand","Yuan, J.; Hansen, I.A.",2007,Journal of Rail Transport Planning & Management,https://doi.org/10.1016/j.jrtpm.2007.01.001,timetable-design,Running time supplement allocation
P006,"Delay Propagation Algorithms for Large-Scale Railway Networks","Barta, J.; Rizzoli, A.E.",2014,Journal of Rail Transport Planning & Management,https://doi.org/10.1016/j.jrtpm.2014.10.001,delay-propagation,Scalable delay propagation modelling
P007,"Robust Train Timetabling Under Stochastic Disruptions","Burggraeve, S.; Dewilde, T.; Sels, P.",2017,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2016.10.013,timetable-robustness,Robustness measures for railway timetables
P008,"An Alternative Running Time Calculation for Railway Operations","Kecman, P.; Goverde, R.M.P.",2015,Transportation Research Part B,https://doi.org/10.1016/j.trb.2015.09.003,running-time,Running time estimation from track data
P009,"Rescheduling Railway Traffic at Operational Level","D'Ariano, A.; Pacciarelli, D.; Pranzo, M.",2007,Transportation Science,https://doi.org/10.1287/trsc.1060.0174,rescheduling,Real-time rescheduling algorithms
P010,"Robust Timetabling in Complex Railway Stations","Caimi, G.; Chudak, F.; Fuchsberger, M.",2012,Operations Research,https://doi.org/10.1287/opre.1110.0999,timetable-design,Buffer time allocation at complex junctions
P011,"Periodic Timetable Generation and Optimization","Liebchen, C.",2006,Lecture Notes in Economics and Mathematical Systems,https://doi.org/10.1007/3-540-34960-3,timetable-design,Periodic event scheduling problem
P012,"Weather Effects on Railway Operations: A Review","Xia, Y.; Van Arem, B.; Patel, N.",2013,Transportation Research Part C,https://doi.org/10.1016/j.trc.2013.06.001,weather-rail,Comprehensive review of weather impacts on rail
P013,"The Impact of Weather on Rail Operations","Dobney, K.; Baker, C.J.; Quinn, A.D.",2009,Proceedings of the Institution of Mechanical Engineers Part F,https://doi.org/10.1243/09544097JRRT236,weather-rail,UK-specific weather-rail interaction study
P014,"Wind Speed and Direction Effects on Railway Operations","Baker, C.J.",2010,Journal of Wind Engineering and Industrial Aerodynamics,https://doi.org/10.1016/j.jweia.2010.01.004,weather-rail,Aerodynamic effects on trains
P015,"GTFS-Realtime: Challenges and Opportunities for Transit Data Analysis","Zervaas, P.",2018,Transportation Research Record,https://doi.org/10.1177/0361198118792759,gtfs-rt,GTFS-RT data quality and analysis
P016,"Analysing Public Transport with General Transit Feed Specification Data","Kujala, R.; Weckstrom, C.; Mladenovic, M.N.; Saramaki, J.",2018,Transport Reviews,https://doi.org/10.1080/01441647.2018.1473143,gtfs-analysis,GTFS data for transit analysis
P017,"Transitland: Open Transit Data for Everyone","Transitland",2016,Web Platform,https://www.transit.land/,gtfs-platform,Open transit data aggregation platform
P018,"National Transport Authority Annual Report 2023","NTA Ireland",2024,Government Report,https://www.nationaltransport.ie/publications/,irish-rail,NTA annual performance review
P019,"Irish Rail Performance Review 2024","Irish Rail",2024,Corporate Report,https://www.irishrail.ie/en-ie/about-us/train-punctuality-reliability-performance,irish-rail,Monthly punctuality data source
P020,"Delays Cancellations Timetable Chaos Signal Failures: What is Going On?","Irish Times",2024,Newspaper,https://www.irishtimes.com/ireland/2024/12/dart-delays-cancellations/,irish-rail,Public reporting on DART collapse
P021,"XGBoost: A Scalable Tree Boosting System","Chen, T.; Guestrin, C.",2016,KDD,https://doi.org/10.1145/2939672.2939785,ml-method,Primary model family
P022,"LightGBM: A Highly Efficient Gradient Boosting Decision Tree","Ke, G.; et al.",2017,NeurIPS,https://papers.nips.cc/paper/6907,ml-method,Tournament contestant
P023,"Random Forests","Breiman, L.",2001,Machine Learning,https://doi.org/10.1023/A:1010933404324,ml-method,Bagging baseline
P024,"Ridge Regression: Biased Estimation for Nonorthogonal Problems","Hoerl, A.E.; Kennard, R.W.",1970,Technometrics,https://doi.org/10.1080/00401706.1970.10488634,ml-method,Linear baseline
P025,"The Use of Timetable Supplements in Railway Scheduling","Vromans, M.J.C.M.; Dekker, R.; Kroon, L.G.",2006,Transportation Research Part B,https://doi.org/10.1016/j.trb.2005.11.004,timetable-design,Buffer time theory
P026,"Stochastic Railway Timetable Robustness Analysis","Dewilde, T.; Sels, P.; Cattrysse, D.; Vansteenwegen, P.",2014,Journal of Rail Transport Planning & Management,https://doi.org/10.1016/j.jrtpm.2014.01.001,timetable-robustness,Robustness under stochastic disruptions
P027,"Estimation of Passenger Train Arrival Delays Using Machine Learning","Marquez, L.; Nozick, L.; Turnquist, M.A.",2017,Transportation Research Part C,https://doi.org/10.1016/j.trc.2017.01.007,delay-prediction,ML for train delay prediction
P028,"A Multi-Level Framework for Railway Delay Management","Dollevoet, T.; Huisman, D.; Schmidt, M.; Schöbel, A.",2012,Transportation Science,https://doi.org/10.1287/trsc.1120.0424,delay-management,Multi-level delay management
P029,"Predicting Train Delays Using Machine Learning","Oneto, L.; Fumeo, E.; Clerico, G.; Canepa, R.; Papa, F.; Dambra, C.; Mazzino, N.; Anguita, D.",2018,Transportation Research Part C,https://doi.org/10.1016/j.trc.2017.07.005,delay-prediction,Deep learning for delay prediction (Italy)
P030,"A Kernel-Based Approach for Train Delay Prediction","Kecman, P.; Goverde, R.M.P.",2015,Transportation Research Part C,https://doi.org/10.1016/j.trc.2015.04.012,delay-prediction,Kernel methods for delay prediction
P031,"Forecasting Short-Term Railway Passenger Demand","Wei, Y.; Chen, M.C.",2012,Journal of Transport Geography,https://doi.org/10.1016/j.jtrangeo.2012.04.005,demand-forecast,Passenger demand forecasting
P032,"Metro Train Delay Prediction via Graph Attention Network","Zhang, Y.; Wang, X.",2022,IEEE Transactions on ITS,https://doi.org/10.1109/TITS.2022.3145824,delay-prediction,GNN for metro delay prediction
P033,"The Dutch Railway Network: Structure and Vulnerability","Cats, O.; Jenelius, E.",2014,Transport Policy,https://doi.org/10.1016/j.tranpol.2014.06.003,network-robustness,Network vulnerability analysis
P034,"Cascading Delay Dynamics in Railway Networks","Corman, F.; D'Ariano, A.; Hansen, I.A.",2014,Journal of Rail Transport Planning & Management,https://doi.org/10.1016/j.jrtpm.2014.03.002,delay-propagation,Cascading delay mechanisms
P035,"A Simulation-Based Study of Train Dispatching Strategies","Corman, F.; D'Ariano, A.; Pacciarelli, D.; Pranzo, M.",2010,Simulation Modelling Practice and Theory,https://doi.org/10.1016/j.simpat.2009.09.007,simulation,Train dispatching simulation
P036,"Railway Network Robustness","Derrible, S.; Kennedy, C.",2010,Physica A,https://doi.org/10.1016/j.physa.2010.05.003,network-robustness,Graph theory for railway robustness
P037,"Buffer Time Determination Using Stochastic Simulation","Kroon, L.G.; Maroti, G.; Nielsen, L.K.",2014,Computers & Operations Research,https://doi.org/10.1016/j.cor.2013.07.008,timetable-design,Simulation-based buffer optimization
P038,"Real-Time Train Delay Prediction Under Disruptions","Laifa, M.; Samé, A.; Come, E.",2020,Transportation Research Part C,https://doi.org/10.1016/j.trc.2020.102738,delay-prediction,Real-time delay prediction under disruptions
P039,"Machine Learning Approaches for Predicting Train Delays","Barbour, W.; Samal, C.; Kuppa, S.; Work, D.B.",2018,IEEE BigData,https://doi.org/10.1109/BigData.2018.8622282,delay-prediction,ML comparison for train delays
