id,authors,title,year,journal,url,type,theme,notes
1,"WHO","WHO Global Air Quality Guidelines",2021,WHO,"https://www.who.int/publications/i/item/9789240034228",guideline,"1,2","Annual NO2 guideline tightened from 40 to 10 µg/m³"
2,"EPA Ireland","Air Quality in Ireland 2023",2024,EPA,"https://www.epa.ie/publications/monitoring--assessment/air/air-quality-in-ireland-2023.php",report,"5","Annual monitoring report; no EU exceedances but WHO exceedances common"
3,"Carslaw et al.","Recent evidence concerning higher NOx emissions from passenger cars and light duty vehicles",2011,Atmos Environ,"https://doi.org/10.1016/j.atmosenv.2011.07.063",research,"2,3","Real-world diesel NOx emissions 2-10x above type approval"
4,"Viana et al.","Impact of maritime transport emissions on coastal air quality in Europe",2014,Atmos Environ,"https://doi.org/10.1016/j.atmosenv.2014.03.046",research,"2","Shipping contributes 1-14% of urban PM and NO2 in port cities"
5,"Shi & Brasseur","COVID-19 lockdowns cause air quality improvements",2020,Geophys Res Lett,"https://doi.org/10.1029/2020GL088070",research,"4","30-60% NO2 reductions in Chinese cities during lockdown"
6,"Venter et al.","COVID-19 lockdowns cause global air pollution declines",2020,PNAS,"https://doi.org/10.1073/pnas.2006853117",research,"4","Global meta-analysis of COVID NO2 reductions; 60% average at traffic sites"
7,"EEA","Air Quality In-Situ Measurement Station Data",2024,Zenodo,"https://zenodo.org/records/14513586",dataset,"3","Daily NO2/PM/O3/SO2 for all EU stations 2015-2023"
8,"Met Eireann","Dublin Airport Hourly Data",2024,data.gov.ie,"https://data.gov.ie/dataset/dublin-airport-hourly-data",dataset,"6","Hourly temp/wind/rain from 1946"
9,"TII","National Roads Traffic Data 2020",2021,TII,"https://www.tii.ie/",report,"4","Traffic volumes during COVID lockdown"
10,"NTA","Greater Dublin Area Transport Strategy 2022-2042",2022,NTA,"https://www.nationaltransport.ie/",report,"5","Dublin transport planning context"
11,"EEA","Air Quality in Europe 2023",2023,EEA,"https://www.eea.europa.eu/publications/air-quality-in-europe-2023",report,"1,5","EU-wide NO2 assessment; most cities exceed WHO"
12,"Mahato et al.","Effect of lockdown amid COVID-19 on air quality of Delhi",2020,Sci Total Environ,"https://doi.org/10.1016/j.scitotenv.2020.139086",research,"4","70% NO2 reduction in Delhi during lockdown"
13,"Seinfeld & Pandis","Atmospheric Chemistry and Physics",2016,Wiley,"https://www.wiley.com/",textbook,"1","Standard atmospheric chemistry textbook; NO-NO2-O3 cycle"
14,"Dublin City Council","Dublin Region Air Quality Plan 2021",2021,DCC,"https://www.dublincity.ie/",report,"5","Identifies transport as primary NO2 source in Dublin"
15,"Vardoulakis et al.","Modelling air quality in street canyons: a review",2003,Atmos Environ,"https://doi.org/10.1016/S1352-2310(02)00857-9",review,"6","Wind speed inversely related to street-level NO2"
16,"Atkinson et al.","Short-term exposure to NO2 and asthma",2018,Environ Int,"https://doi.org/10.1016/j.envint.2017.12.027",review,"1","Health effects at 20 µg/m³ threshold"
17,"Gehring et al.","Air pollution exposure and lung function in children",2013,Am J Respir Crit Care Med,"https://doi.org/10.1164/rccm.201206-1045OC",research,"1","NO2 exposure reduces lung function growth"
18,"Franco et al.","Real-world vs type-approval diesel NOx emissions",2014,Environ Sci Technol,"https://doi.org/10.1021/es503890e",research,"2","Real-world diesel NOx 4-7x above Euro 6 limits"
19,"Hopke","Review of receptor modeling methods",2016,J Air Waste Manage Assoc,"https://doi.org/10.1080/10962247.2016.1140693",review,"3","PMF and CMB methods for source apportionment"
20,"Cyrys et al.","Variation of NO2 and NOx in and between European study areas",2012,Atmos Environ,"https://doi.org/10.1016/j.atmosenv.2012.07.032",research,"3","Station-type differencing methodology"
21,"EPA Ireland","Air Quality in Ireland 2020",2021,EPA,"https://www.epa.ie/publications/monitoring--assessment/air/air-quality-in-ireland-2020.php",report,"4,5","COVID lockdown effects on Irish air quality"
22,"EPA Ireland","Air Quality in Ireland 2024",2025,EPA,"https://www.epa.ie/publications/monitoring--assessment/air/air-quality-in-ireland-2024.php",report,"5","Most recent annual report; 115 monitoring stations"
