experiment	metric	value	notes
baseline	covid_validation_mae	4.48	MAE of traffic attribution vs COVID lockdown drop across 14 stations
baseline	covid_validation_corr	0.974	Correlation of model traffic drop vs observed COVID NO2 drop
baseline	winetavern_annual_2019	43.5	Winetavern St annual mean NO2 (µg/m³) — highest in Ireland
baseline	winetavern_traffic_pct_2019	80	% of Winetavern NO2 attributed to traffic (2019)
baseline	who_annual_exceedance_rate	0.81	Fraction of Dublin station-years exceeding WHO 10 µg/m³
baseline	covid_winetavern_drop_pct	33	% NO2 drop at Winetavern during COVID lockdown (Mar-Jun 2020 vs 2019)
baseline	covid_blanchardstown_drop_pct	62	% NO2 drop at M50 during COVID lockdown
baseline	covid_ballyfermot_drop_pct	53	% NO2 drop at Ballyfermot (residential) during COVID lockdown
Q1_weekday_weekend	winetavern_weekday_weekend_ratio	1.28	Weekday/weekend NO2 ratio at Winetavern (traffic proxy)
Q1_weekday_weekend	winetavern_traffic_pct_from_dow	55	Independent traffic % estimate from weekday-weekend diff
Q1_weekday_weekend	rural_weekday_weekend_ratio	1.15	Even rural Lough Navar shows slight weekday effect (transboundary)
Q4_covid_phases	winetavern_apr2020_drop_pct	51	April 2020 vs April 2019 — peak strict lockdown
Q4_covid_phases	blanchardstown_may2020_drop_pct	83	May 2020 vs May 2019 — M50 nearly empty
Q5_temperature	ballyfermot_winter_temp_corr	-0.323	Negative correlation: colder = more NO2 (heating signal)
Q5_temperature	clonskeagh_winter_temp_corr	-0.392	Strongest temp-NO2 signal at Clonskeagh
Q5_temperature	cold_day_no2_excess	14	Extra µg/m³ at background stations on cold (<2°C) vs mild (>11°C) days
R1_ww_correction	ww_raw_mean_error	44.3	Mean absolute error of raw weekday-weekend vs station-diff (%)
R1_ww_correction	ww_corrected_mean_error	14.2	Mean absolute error of corrected weekday-weekend vs station-diff (%)
R2_photochemistry	mean_urban_o3_no2_corr	-0.401	Mean O3-NO2 correlation at urban stations
R3_weather_confound	temp_diff_2020_vs_2019	0.30	March-June mean temp difference (2020-2019) degrees C
R3_weather_confound	wdsp_diff_2020_vs_2019	-0.03	March-June mean wind speed difference (2020-2019) knots
R3_weather_confound	sun_diff_2020_vs_2019	1.63	March-June mean sunshine difference (2020-2019) hours/day
R4_wind_direction	winetavern_max_min_ratio	1.70	Max/min NO2 ratio by wind direction at Winetavern
