id,title,authors,year,venue,url,category,relevance
1,"Atmospheric Chemistry and Physics: From Air Pollution to Climate Change",Seinfeld & Pandis,2016,Wiley,https://doi.org/10.1002/9781119221050,textbook,NOx chemistry fundamentals
2,"Chemistry of the Upper and Lower Atmosphere",Finlayson-Pitts & Pitts,2000,Academic Press,https://doi.org/10.1016/B978-0-12-257060-5.X5000-X,textbook,Atmospheric chemistry reference
3,"Air Pollution and Health",Holgate et al.,1999,Academic Press,https://doi.org/10.1016/B978-012352335-8/50001-7,textbook,Health effects of NO2
4,"Introduction to Atmospheric Chemistry",Jacob,1999,Princeton,https://acmg.seas.harvard.edu/people/daniel-jacob/introduction-atmospheric-chemistry,textbook,Atmospheric transport and chemistry
5,"Statistical Methods in the Atmospheric Sciences",Wilks,2011,Academic Press,https://doi.org/10.1016/C2017-0-03921-6,textbook,Statistical methods for air quality
6,"Air Quality Guidelines: Global Update 2021",WHO,2021,WHO,https://www.who.int/publications/i/item/9789240034228,guideline,WHO NO2 guidelines 10/25 ug/m3
7,"Directive 2008/50/EC on ambient air quality",EU,2008,OJ,https://eur-lex.europa.eu/eli/dir/2008/50/oj,regulation,EU air quality directive 40 ug/m3
8,"Revised EU Air Quality Directive 2024/2881",EU,2024,OJ,https://eur-lex.europa.eu/eli/dir/2024/2881/oj,regulation,EU 2030 limit 20 ug/m3
9,"Air Quality in Ireland 2023",EPA Ireland,2024,EPA,https://www.epa.ie/publications/monitoring--assessment/air/air-quality-in-ireland-2023.php,report,Ireland NO2 compliance status
10,"Air Quality in Ireland 2022",EPA Ireland,2023,EPA,https://www.epa.ie/publications/monitoring--assessment/air/air-quality-in-ireland-2022.php,report,Irish NO2 trends
11,"Air Quality in Ireland 2024",EPA Ireland,2025,EPA,https://www.epa.ie/publications/monitoring--assessment/air/,report,78% projected compliance
12,"openair: An R Package for Air Quality Data Analysis",Carslaw & Ropkins,2012,Environ Modelling Software,https://doi.org/10.1016/j.envsoft.2011.09.008,methods,Wind rose and pollution rose analysis
