model	random_init	layer	basis	threshold	n_avalanches	alpha	beta	gamma_predicted	gamma_measured	ks	p_vs_lognormal	p_vs_exponential	sigma_ambient_MR	sigma_subspace_MR	K_PR	participation_ratio
gpt2	False	0	ambient	2.0	3954	2.9024663899027177	2.645516022871803	0.8649382883215856	0.9914119953607207	0.09927912546147105	5.726806166200529e-10	2.4662765441929936e-09	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	ambient	2.5	10982	2.9408612123998	2.9294677734374996	0.9941296992852916	1.0248822837158018	0.0669660729869449	5.930461376131425e-14	0.0002723230368527715	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	ambient	3.0	15552	2.962636029631942	2.5017333984374988	0.7651614337881704	1.1201999172035346	0.08067939451700212	3.1182486113056317e-21	4.391266163116706e-10	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	random	2.0	9376	1.949384164225566	2.4088731705654753	1.483986381545267	1.2061918972438805	0.06050365503945959	5.471275990871233e-38	2.23320725423455e-19	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	random	2.5	14792	1.8678304244753006	2.7372802734374995	2.0018660609736947	1.3272733500552507	0.055302268306809066	8.633880362576597e-31	2.455642271446948e-298	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	random	3.0	16510	1.7095047479931607	2.999999999999999	2.8188676758781583	1.290684714213178	0.054717791760001355	5.311309387794028e-21	0.0	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	pca	2.0	1464	2.6841550949667603	2.6357388136428295	0.9712518867955647	0.9665637809493268	0.09463882222801007	1.467184907146456e-06	6.710447482125998e-07	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	pca	2.5	6096	2.53368126869177	2.9427620413336246	1.2667312830851751	1.0072468730270383	0.09050475015982806	2.130151632923654e-25	4.265885175534275e-14	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	0	pca	3.0	12408	2.9275209653153853	2.7816650390624993	0.9243297847974272	1.0614358386168452	0.07063897156203458	9.005377537647409e-18	9.553833703314264e-07	1.0907209406235214	0.7914220993218418	10	9.933783948874863
gpt2	False	1	ambient	2.0	6613	2.3797311068780815	2.5452744254554265	1.119982305068065	1.026837072570186	0.06110273305281344	1.3192365750675054e-13	0.5361582435277028	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	ambient	2.5	13055	2.9834766067919074	2.8402587890625	0.9277945516276852	1.0568873596781718	0.04307536883765489	0.0002322808805945972	0.0013288532229617114	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	ambient	3.0	15821	2.983358141386555	2.5801757812499995	0.7967173191147955	1.1751949212388928	0.07163100577911619	3.4441360504263054e-09	0.2886504242983956	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	random	2.0	14703	1.767643873355576	2.7221191406249994	2.243382902409105	1.1808495121771732	0.06769507421871102	0.0011379988399440387	0.0	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	random	2.5	15929	1.7301995153610807	2.9493896484374993	2.6696671353904335	1.1066771659154784	0.08228392109641836	0.7411066658535781	0.0	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	random	3.0	11910	1.6767671974752183	2.999999999999999	2.955225973512457	0.9634010321714587	0.14773225461816064	2.899511089839743e-07	0.0	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	pca	2.0	6991	2.7512052203874724	2.8081130147347215	1.0324963594698842	1.0183215535588932	0.04862074853394671	4.293018560658578e-05	0.2923746279509347	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	pca	2.5	13095	2.9993171171016817	2.950341796875	0.9755039759287016	1.0576095269393482	0.04802962743922917	4.98860362890292e-05	0.0018716213025282457	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	1	pca	3.0	15746	2.990070617193954	2.5486083984374988	0.778167561019052	1.116621434135553	0.05910303927268434	2.59442694373883e-10	0.513259742379687	1.0828088627791674	0.9978593517479999	2	1.071616819880535
gpt2	False	2	ambient	2.0	5146	2.728277856328497	2.913481898278944	1.10716103389989	1.0031126088879085	0.07239442029437687	2.300724592828222e-07	0.07299089152470158	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	ambient	2.5	11896	2.943840831061676	2.8295654296874995	0.9412115438938679	1.0119284050753676	0.053113578359712976	6.885571597179028e-08	0.1348002285974244	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	ambient	3.0	15591	2.9908411936519803	2.5559326171874988	0.7815453197114686	1.025364116501375	0.07323380526987378	1.009417583624784e-15	0.004749432778910394	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	random	2.0	15653	1.7804160952610295	2.999999999999999	2.562735458872167	1.0781184950627705	0.12046160218972513	0.03184474832271379	0.0	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	random	2.5	10287	1.5877712662954058	2.999999999999999	3.4026841982350775		0.26729437325929695	5.469377294549425e-13	0.0	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	random	3.0	5111	1.282177072018169	2.999999999999999	7.087748078522911		0.37020756994508885	6.8117894469489906e-09	2.083212196792943e-32	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	pca	2.0	5107	2.633159513852249	2.971618985646741	1.2072421394993706	1.0083411618276181	0.05324997573291468	3.0320937151795705e-06	0.7725240902337992	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	pca	2.5	11580	2.997658302241301	2.96044921875	0.9813736496128724	1.0127389154826911	0.036517208518673516	0.0003852104024380834	0.003629848633718543	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	2	pca	3.0	15331	2.9911987815223338	2.9829345703124996	0.9958496302395706	1.0600683622038882	0.05796634889547431	9.003996194001454e-12	0.40558416125523256	1.0777659954393006	0.997861786427732	2	1.0036342833094976
gpt2	False	3	ambient	2.0	2137	2.74539985452712	2.779959833994668	1.019800608655895	1.015548757255251	0.08339115021955879	3.3580706509279302e-06	0.00018134652352099338	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	ambient	2.5	8437	2.9964605689977586	2.8625244140624995	0.9329131979789131	1.0372733961238505	0.06519915683772254	4.0932845241159214e-08	0.38392652896839585	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	ambient	3.0	14433	2.9598786215821296	2.9189208984374995	0.9791019083051344	1.0279243704127983	0.07871419605316438	4.667253889946657e-18	1.9769539572587153e-07	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	random	2.0	7081	1.7416111775607692	2.883801583631537	2.540147237029979	1.1556173896696562	0.0808641776131489	2.936162427746522e-53	1.1158470762630152e-35	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	random	2.5	14148	1.7083052743788594	2.8773193359375	2.650438171004437	1.1158729349288508	0.07043069146614156	3.741331816980754e-18	0.0	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	random	3.0	14316	1.6044096275643547	2.999999999999999	3.3090141334438763	0.9958631707081762	0.06521299572254824	0.0009559500361234636	0.0	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	pca	2.0	2512	2.919942315605434	2.97045135928553	1.0263075839672653	1.017929738822887	0.05628630375503618	0.0007122046775973766	0.10546691966270363	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	pca	2.5	8239	2.992848610384183	2.986962890624999	0.9970465795903838	1.0552949839512398	0.05620839264333388	6.321232464687993e-06	0.5510733531110359	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	3	pca	3.0	14138	2.9814353760593524	2.8257568359375	0.9214314319796472	1.0705918385747593	0.08712284879208426	2.8466323133603834e-17	9.514698635031275e-08	0.9725655456900874	1.8888437974174054e-27	2	1.8598980133059746
gpt2	False	4	ambient	2.0	776	2.756479995170557	2.68525141281281	0.9594481106795466	1.0069650929592717	0.0898174281042542	0.002454519541620136	0.002041479765983917	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	ambient	2.5	5924	2.995326121873851	2.918773223576209	0.9616338915937462	1.0949354109809997	0.08125917453679155	1.5376000145001437e-06	0.15701938189293244	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	ambient	3.0	13139	2.6466147995506835	2.6958251953124988	1.0298857970760638	1.1734034787182088	0.07768442578010593	8.56470127114532e-25	2.61204610594792e-10	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	random	2.0	3474	1.5928224611512802	2.579445054198093	2.6642800462228773	1.1529275464306552	0.12658172026735193	3.8399179086642193e-73	7.777701188083077e-21	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	random	2.5	12169	1.6483430967412283	2.8240722656249995	2.8134367047221565	1.156390410142803	0.07269519646369016	3.8928067640209325e-37	0.0	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	random	3.0	13398	1.5745881467285112	2.999999999999999	3.4807540172682763	0.9546824578153398	0.06550539761866603	4.071854328251397e-05	0.0	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	pca	2.0	931	2.983937036888025	2.97022985321544	0.9930909179990479	1.02496510326859	0.08708265608605892	0.0016615770305737274	0.0007658259966753393	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	pca	2.5	5768	2.997859220694612	2.643513971085622	0.8226375282409579	1.0760020344956884	0.06612435336318262	1.7100308522324759e-06	0.0655471664077079	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	4	pca	3.0	12805	2.7290891630606824	2.9442626953124993	1.124443283116144	1.142416947787969	0.07405355170405531	1.1459884629783285e-20	2.9631858619603153e-08	0.955519999210773	0.9489760221209927	2	2.4915421666092548
gpt2	False	5	ambient	2.0	402	2.3419423834052715	2.3759990545787266	1.0253786389003037	1.0348989237528214	0.12909489808777552	5.4217249603825625e-05	1.538284523571753e-06	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	ambient	2.5	4720	2.780566440503739	2.992472922551205	1.1190107132354552	1.1432751941456094	0.07376211013636907	4.2758305895061734e-07	0.027809360821914555	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	ambient	3.0	12288	2.9932208657281776	2.9047119140625	0.9555950104739934	1.1791112986423378	0.07976096431480834	1.1459225657312232e-08	0.02776508051899672	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	random	2.0	1366	2.6414427308278583	2.8448344254701636	1.1239103203678176	1.0639858296688254	0.07678329477113338	3.113362800550303e-06	0.00010482516101751791	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	random	2.5	8885	1.6869297981586184	2.9286621093750003	2.8076553303481155	1.035201726019666	0.08473731937088269	1.0198522329669554e-61	5.29088641420763e-28	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	random	3.0	13296	1.6096657966659467	2.6157714843749993	2.6502577202314774	0.7633524396657468	0.07112601343287417	4.149509515070561e-24	0.0	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	pca	2.0	493	2.4796919481490725	2.6082444014028003	1.0868778487404305	1.0038690076328778	0.0947485718080513	0.0015858791557214074	0.0074395122755322755	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	pca	2.5	4571	2.8986820285703954	2.9759508554272847	1.0406960331925976	1.1314571211636535	0.0646414975552696	2.6528066944488175e-05	0.3667323147029602	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	5	pca	3.0	11806	2.999636957748761	2.7736083984374993	0.8869652021406276	1.1443687744180229	0.08429026127685019	2.79582039996633e-10	0.000633762806919606	0.2967450880733195	0.5069554640636104	8	7.641443559809711
gpt2	False	6	ambient	2.0	108	2.1262183069215115	2.1223008101709704	0.9965215476196179	1.0063100303799888	0.1590397978084479	0.012772316625944776	0.0036865631248325825	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	ambient	2.5	3276	2.8418427621676896	2.5633000178211574	0.84876953121736	1.197169725258717	0.07910693415084297	8.397544362776414e-06	0.0012483501854140863	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	ambient	3.0	11260	2.9970137765361478	2.8801025390625004	0.9414569699782283	1.2611857500149704	0.0555594336940749	2.0202107811451727e-06	0.10021367025413244	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	random	2.0	254	2.9565991574687676	2.7685207005277435	0.9038748145101221	1.0458657244610332	0.10219450288225873	0.15954082326935826	0.2306551784380816	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	random	2.5	5124	2.997592575145348	2.6194716475550175	0.810711687510744	1.0773076445178817	0.07906485479083128	1.056884288713188e-07	0.0009644737176994399	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	random	3.0	12580	1.7215030948024097	2.9858642578124996	2.7523988075981114	1.015176714395442	0.07290465546118913	8.337307663870127e-66	1.4219673639645157e-39	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	pca	2.0	140	2.6751820943091786	2.4070160656047177	0.8399182813525423	1.0190472248672695	0.1561527544796285	0.11091506181031105	0.06547374885122509	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	pca	2.5	3250	2.5312686032432703	2.862250230378656	1.2161486406985407	1.1699115590412936	0.07934139156716902	6.217057567884417e-09	0.00245149260895505	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	6	pca	3.0	10816	2.9995753285064315	2.7680419921874995	0.8842087452179788	1.2470028035100598	0.06336452281740002	1.1194804892441983e-05	0.4247302620671878	0.6932421369085191	0.7628542846075481	46	45.76802565126366
gpt2	False	7	ambient	2.0	121	2.6904873969224123	2.944715557587094	1.1503874924637192	1.032555358165413	0.09473820884553397	0.2505969466069137	0.7220647059820513	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	ambient	2.5	3680	2.630354114401994	2.3646189760403304	0.837007717517164	1.2082002198804027	0.07767419064903652	2.8426155937636292e-08	0.002040087432490405	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	ambient	3.0	10951	2.676073251795441	2.8576904296874996	1.1083587353342146	1.308286553866519	0.05308848569611968	5.006959008505259e-08	0.9913712550882117	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	random	2.0	187	2.268839251499992	2.283420565297641	1.0114918527153154	1.040906738047005	0.15726701933195392	0.014103720060727404	0.017662822375759855	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	random	2.5	4550	2.7474440376681333	2.8247696735632326	1.044250708021692	1.1990297858283527	0.07104139419336503	4.113802804374677e-06	0.11832308462962475	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	random	3.0	11889	2.853883897685866	2.8074462890625	0.9749511775352641	1.3614334233701868	0.044549206491527604	0.0020614053171887185	0.07826479121368055	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	pca	2.0	190	2.3174947904628986	2.3786255520142507	1.0463992434686393	1.0030255611450822	0.12783775878782777	0.011484329573883949	0.005862774286637054	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	pca	2.5	3835	2.994845026658144	2.8835043019202526	0.9441857772157798	1.1997063535414427	0.09247978071826471	1.401192836872168e-06	4.423964351905378e-05	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	7	pca	3.0	10990	2.9194401800356813	2.8512451171874993	0.9644713789168912	1.3233731950357337	0.05280715722039531	9.482386538277355e-06	0.5631126574576533	0.6615068372145776	0.8250239335692273	104	103.79871699418277
gpt2	False	8	ambient	2.0	413	2.8270076010139764	2.7806611074836027	0.9746325666600119	1.1354210915359304	0.0943915969742648	0.024554446278831705	0.0569891656932026	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	ambient	2.5	4944	2.9944359579091833	2.813730786055167	0.9093953500299633	1.264050481026254	0.09364373748841748	1.6569854583525635e-08	4.773464091566612e-09	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	ambient	3.0	11257	2.5977460494884514	2.875341796875	1.1737420959203284	1.319702149060459	0.06868218530680947	1.722646880365095e-12	0.014359042223281191	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	random	2.0	1435	2.99763963362444	1.3783107783605604	0.18937889096351576	1.2357959711898325	0.23020769522768597	3.428501694999498e-51	7.509478289072109e-197	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	random	2.5	5840	2.969412685301687	2.8278743818509584	0.9281317194171281	1.2668383463573627	0.0961154026737473	2.7609026020676714e-09	7.053217104757342e-10	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	random	3.0	11726	2.9864093756137318	2.7516357421874993	0.8818100456489762	1.3289942587926953	0.05538170296723577	5.4844631665425056e-05	0.4255786245349106	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	pca	2.0	498	2.4848429777118364	2.8059346295915732	1.2162462002376464	1.1586736375864926	0.09030640660998884	0.00760036002551297	0.268427827261682	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	pca	2.5	4855	2.9872409469163075	2.9681811328670653	0.990408906338802	1.2242284477604142	0.07259157864346749	0.0001016730550914299	0.052779553225617004	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	8	pca	3.0	11335	2.62385874132698	2.8810546875	1.1583856647302	1.3005826232601838	0.06745403793658261	2.4468653519033118e-11	0.10377092196014132	0.7587010386705827	0.8450935889010021	140	140.48853769742598
gpt2	False	9	ambient	2.0	713	2.5988307656216953	2.8974350319800726	1.1867641483883173	1.2087489152019812	0.11206036386175877	6.0954007896375664e-05	3.9040478809051875e-05	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	ambient	2.5	5213	2.7348838750236153	2.630599961725773	0.9398899748858275	1.2857000411602824	0.07533754721254288	5.623093224474756e-08	0.0028019323972532915	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	ambient	3.0	11013	2.7490624406782422	2.8664062499999994	1.0670895484304461	1.382025639690026	0.043204329250357776	5.756780999045477e-06	0.5840414342337267	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	random	2.0	1605	2.9870497823594655	1.3954016088916648	0.19898928169889957	1.2638882824750421	0.21728342540456763	3.250485327362914e-38	1.392161065210579e-138	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	random	2.5	6179	2.7339870058224136	2.687891121559246	0.9734162458493714	1.2558153342553011	0.06920809897144287	1.5586388278852814e-08	0.0007248423809782795	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	random	3.0	11609	2.8627968512044717	2.8138916015625	0.9737463322367387	1.3464166318198365	0.04309107005641161	0.0014588654431647325	0.09553498430396515	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	pca	2.0	680	2.462410177962229	2.7748464437303837	1.2136447560858155	1.1948810475068996	0.10444923034251513	5.8344457950463394e-05	8.923744532752452e-06	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	pca	2.5	5319	2.767418995334835	2.993686732639338	1.1280215601969563	1.2623021677181352	0.06182485639152291	2.6268867462772522e-05	0.24440698760282464	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	9	pca	3.0	11284	2.8565346294600866	2.9344482421875	1.0419672283463262	1.388573197767308	0.047095046303696375	0.0003935588765211923	0.26807620437718005	0.7965314590981258	0.8695564061598376	68	67.91153908740921
gpt2	False	10	ambient	2.0	480	2.9461392848957813	2.912087435010686	0.9825028711205945	1.2154620962417706	0.11614953068311873	0.018063838785092236	0.0034261841533126266	0.9195912321283347	0.9251744962349288	13	12.888657604829884
gpt2	False	10	ambient	2.5	4121	2.679204333320035	2.5524339681602637	0.924505694367089	1.2581080202647854	0.08934134006117928	7.286637633030849e-07	0.0002713273807050504	0.9195912321283347	0.9251744962349288	13	12.888657604829884
gpt2	False	10	ambient	3.0	10288	2.8349838982888125	2.9432373046875	1.0589941996219354	1.327790943247383	0.03996074203119196	0.007459915586449853	0.0636801946439938	0.9195912321283347	0.9251744962349288	13	12.888657604829884
gpt2	False	10	random	2.0	1117	2.959849970700945	2.484786190291909	0.7576019657060136	1.1461616133131824	0.09780522814616666	0.0012697584794847227	0.0005670789282566442	0.9195912321283347	0.9251744962349288	13	12.888657604829884
gpt2	False	10	random	2.5	7728	2.997165980354607	2.9854493954987666	0.9941333945345092	1.2149025330456724	0.05518979550556535	0.0032804132040139154	0.40394075964743914	0.9195912321283347	0.9251744962349288	13	12.888657604829884
gpt2	False	10	random	3.0	12313	2.6216891554523	2.720581054687499	1.0609807982637818	1.358493053247465	0.025248329063397024	0.0043434443626572785	5.81525330997205e-05	0.9195912321283347	0.9251744962349288	13	12.888657604829884
gpt2	False	10	pca	2.0	477	2.1581263556696197	2.981792331928181	1.7112056229670414	1.196171191143846	0.14881720284784233	9.319700314782852e-05	0.006076873836941113	0.9195912321283347	0.9251744962349288	13	12.888657604829884
