id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
1001,Neuronal avalanches in neocortical circuits,"Beggs, J.M.; Plenz, D.",2003,journal_article,neuroscience,cortical_avalanches,experimental_mea,"P(s)~s^-3/2 and P(T)~T^-2 avalanches in organotypic rat cortical cultures via MEA LFP thresholding",ML activations at criticality should yield alpha=3/2 beta=2 within bootstrap CI,5
1002,The criticality hypothesis: how local cortical networks might optimize information processing,"Beggs, J.M.",2008,journal_article,neuroscience,critical_brain_review,review,"Synthesises avalanche + branching + dynamic range evidence for sigma=1 as computational optimum",Test whether trained nets that generalise better sit closer to sigma=1 than undertrained controls,5
1003,Inverted-U profile of dynamic range peaked at neuronal avalanches,"Shew, W.L.; Yang, H.; Petermann, T.; Roy, R.; Plenz, D.",2009,journal_article,neuroscience,dynamic_range,experimental_pharmacology,"Pharmacological E/I manipulation shows dynamic range peaks at condition with alpha~3/2 avalanches",Measure dynamic range vs distance-from-criticality in CNN/transformer activations over layers,5
1004,Information capacity and transmission are maximized in balanced cortical networks with neuronal avalanches,"Shew, W.L.; Yang, H.; Yu, S.; Roy, R.; Plenz, D.",2011,journal_article,neuroscience,information_transmission,experimental_pharmacology,"MI between stimulus and response peaks at critical E/I balance in cortical slice",Mutual information between input tokens and hidden state should peak at criticality in trained nets,5
1005,Neuronal avalanches in spontaneous activity in vivo,"Petermann, T.; Thiagarajan, T.C.; Lebedev, M.A.; Nicolelis, M.A.L.; Dietz, D.R.; Chialvo, D.R.; Plenz, D.",2009,journal_article,neuroscience,cortical_avalanches,experimental_in_vivo,"Extends avalanche 3/2 signature to awake behaving macaque LFPs (PNAS)",Apply avalanche analysis to awake-behaving rather than reset-state ML networks,5
1006,Emergence of fast oscillations in neuronal avalanches,"Gireesh, E.D.; Plenz, D.",2008,journal_article,neuroscience,development,experimental_longitudinal,"Criticality signature emerges over 1-2 weeks in vitro as synapses mature; DIV-dependent drift toward alpha=3/2",Track avalanche statistics across training checkpoints of nanoGPT as a 'developmental' trajectory,5
1007,Being critical of criticality in the brain,"Beggs, J.M.; Timme, N.",2012,review,neuroscience,critical_brain_review,review,"Critical review of avalanche literature 2003-2012 flagging methodological hazards and alternatives",Mandatory reading before any ML-criticality claim; enumerate checklist from this review,4
1008,The functional benefits of criticality in the cortex,"Shew, W.L.; Plenz, D.",2013,review,neuroscience,critical_brain_review,review,"Pedagogical review connecting avalanche exponents dynamic range and information transmission",Use as organising scaffold for functional-benefit measurements in ML nets,5
1009,Emergent complex neural dynamics,"Chialvo, D.R.",2010,review,neuroscience,critical_brain_review,review,"Nature Physics philosophical framing of critical brain hypothesis linking SOC to cognition",Ground the ML project's motivation in Chialvo's unifying-principle argument,4
1010,Universal critical dynamics in high resolution neuronal avalanche data,"Friedman, N.; Ito, S.; Brinkman, B.A.W.; Shimono, M.; DeVille, R.E.L.; Dahmen, K.A.; Beggs, J.M.; Butler, T.C.",2012,journal_article,neuroscience,crackling_noise,experimental_mea_theory,"Crackling-noise exponent relation gamma=(beta-1)/(alpha-1) satisfied in cortical cultures; first proper class identification",Mandatory exponent-relation check for any ML avalanche claim,5
1011,Neuronal avalanches in the resting MEG of the human brain,"Shriki, O.; Alstott, J.; Carver, F.; Holroyd, T.; Henson, R.N.A.; Smith, M.L.; Coppola, R.; Bullmore, E.; Plenz, D.",2013,journal_article,neuroscience,cortical_avalanches,experimental_meg,"Human resting MEG exhibits avalanche distributions with alpha~3/2 and beta~2",Non-invasive human evidence validates avalanche framework beyond slice,4
1012,Spontaneous cortical activity alternates between motifs defined by regular firing patterns,"Bellay, T.; Klaus, A.; Seshadri, S.; Plenz, D.",2015,journal_article,neuroscience,cortical_avalanches,experimental_in_vivo,"Awake mouse cortex two-photon + MEA: avalanches coexist with up/down state structure (eLife) [VERIFY venue]",State-conditioned avalanche analysis required; equivalent concept for ML is prompt-conditioned,3
1013,Cortical circuit dynamics are homeostatically tuned to criticality in vivo,"Ma, Z.; Turrigiano, G.G.; Wessel, R.; Hengen, K.B.",2019,journal_article,neuroscience,branching_ratio,experimental_in_vivo,"Rat cortex in vivo sits in reverberating regime slightly subcritical sigma~0.98; homeostatically tuned (Neuron)",Trained nets may similarly sit slightly subcritical not exactly at sigma=1,5
1014,Neuronal avalanches in the cat sensorimotor cortex of the anaesthetized cat,"Hahn, G.; Petermann, T.; Havenith, M.N.; Yu, S.; Singer, W.; Plenz, D.; Nikolic, D.",2010,journal_article,neuroscience,cortical_avalanches,experimental_in_vivo,"Avalanche signature robust across anaesthesia states in cat visual cortex (J. Neurophysiol.) [VERIFY]",Cross-state robustness is a testable claim in ML at different temperatures / dropout rates,3
1015,Spontaneous cortical activity in awake monkeys composed of neuronal avalanches,"Hahn, G.; Ponce-Alvarez, A.; Monier, C.; Benvenuti, G.; Kumar, A.; Chavane, F.; Deco, G.; Fregnac, Y.",2017,journal_article,neuroscience,cortical_avalanches,experimental_in_vivo,"Awake monkey V1 shows avalanche statistics dependent on cortical state; avalanche profile shrinks under anaesthesia",State-dependent criticality maps to temperature / sampling-regime dependence in LLMs,4
1016,The theory of branching processes,"Harris, T.E.",1963,textbook,neuroscience,branching_processes,analytic,"Canonical text defining sigma = expected offspring; extinction vs explosion at sigma=1",Use as analytic foundation for branching-ratio estimators applied to ML activations,5
