id,title,authors,year,venue,url,type,theme,notes
1,Airline schedule planning and operations,Barnhart et al.,2014,Handbook of OR in Natural Resources,https://doi.org/10.1007/978-1-4614-9227-0_8,review,1,"Comprehensive survey of airline scheduling; covers crew/aircraft/fleet assignment"
2,Total delay impact study,Ball et al.,2010,NEXTOR Research Report,https://rosap.ntl.bts.gov/view/dot/17369,report,1,"Estimated total cost of delays $32.9B in 2007; breakdown by cause"
3,Estimating the cost of airline flight delays,Cook et al.,2004,Journal of Transport Economics and Policy,https://www.jstor.org/stable/20173048,article,1,"Passenger cost model for delays"
4,A network perspective on delay propagation,Beatty et al.,1999,Air Traffic Control Quarterly,https://doi.org/10.2514/atcq.7.4.285,article,2,"First quantification of rotation-caused delays at 30-40%"
5,Decomposition of delay propagation trees,AhmadBeygi et al.,2008,Transportation Science,https://doi.org/10.1287/trsc.1070.0207,article,2,"Traced delay propagation trees; found cascades of 4-7 flights from single root"
6,A queuing network model for airport delay,Pyrgiotis et al.,2013,Transportation Research Part B,https://doi.org/10.1016/j.trb.2013.01.003,article,2,"Showed non-linear congestion amplification of delays"
7,Planning for robust airline operations,Lan et al.,2006,Transportation Science,https://doi.org/10.1287/trsc.1060.0159,article,2,"Crew propagation accounts for 5-15% of delays"
8,Aircraft recovery for an airline,Dunbar et al.,2012,IIE Transactions,https://doi.org/10.1080/0740817X.2011.609872,article,2,"Crew disruption recovery models"
9,Delay propagation and passenger disruptions,Campanelli et al.,2016,J Air Transport Management,https://doi.org/10.1016/j.jairtraman.2016.04.007,article,2,"Multi-mechanism propagation model"
10,An irregular operations model for airline,Wu,2005,Transportation Planning and Technology,https://doi.org/10.1080/03081060500247612,article,2,"Passenger connection holding decisions"
11,A random-forest model for departure delays,Rebollo & Balakrishnan,2014,Transportation Research Part C,https://doi.org/10.1016/j.trc.2014.03.015,article,4,"Random forest AUC 0.80-0.85 on airport-level data"
12,Predicting airline delays with machine learning,Choi et al.,2016,Expert Systems with Applications,https://doi.org/10.1016/j.eswa.2016.05.010,article,4,"Gradient boosted trees AUC 0.75-0.82 on BTS data"
13,Classifying flight delays,Belcastro et al.,2016,BigData Congress,https://doi.org/10.1109/BigDataCongress.2016.50,article,4,"Ensembles consistently beat single classifiers"
14,Deep learning approach for flight delay prediction,Kim et al.,2016,IEEE Symposium on Computational Intelligence,https://doi.org/10.1109/SSCI.2016.7849882,article,4,"LSTM MAE 12-15 minutes"
15,Flight delay prediction using XGBoost,Gui et al.,2019,Procedia Computer Science,https://doi.org/10.1016/j.procs.2019.12.176,article,4,"XGBoost with weather features MAE ~10 min"
16,Delay spreading in the US air transport network,Fleurquin et al.,2013,Scientific Reports,https://doi.org/10.1038/srep01159,article,4,"Epidemic spreading model; super-spreader hubs"
17,Bayesian network delay propagation,Baspinar & Koyuncu,2016,J Air Transport Management,https://doi.org/10.1016/j.jairtraman.2016.04.005,article,4,"Aircraft rotation is dominant transmission mechanism"
18,Delay propagation and network analysis,Zanin et al.,2020,J Air Transport Management,https://doi.org/10.1016/j.jairtraman.2019.101752,article,4,"Scale-free delay dynamics"
19,Schedule padding in US airlines,Forbes et al.,2019,Econ J,https://doi.org/10.1016/j.econlet.2019.02.003,article,5,"Strategic padding at congested airports"
20,Passenger delay models for airline operations,Bratu & Barnhart,2006,Transportation Science,https://doi.org/10.1287/trsc.1050.0138,article,5,"Optimal swaps reduce passenger delay 20-30%"
21,Robust airline schedule planning,Ahmadbeygi et al.,2010,Computers & OR,https://doi.org/10.1016/j.cor.2009.03.015,article,5,"5 min turnaround buffer reduces propagated delay 15-20%"
22,Hub de-peaking and airline operations,Campbell et al.,2005,Air Traffic Control Quarterly,https://doi.org/10.2514/atcq.13.2.95,article,5,"Trade-offs of hub de-peaking"
23,Analysis of weather as delay cause,Mueller & Chatterji,2002,AIAA ATIO Conference,https://doi.org/10.2514/6.2002-5866,article,3,"Weather causes 70% of NAS delays"
24,Network delay models,Xu et al.,2005,Transportation Research Part E,https://doi.org/10.1016/j.tre.2004.09.001,article,3,"Network topology affects delay propagation"
25,Max-plus algebra for train delay propagation,Goverde,2010,Transportation Science,https://doi.org/10.1287/trsc.1090.0305,article,7,"Train delay propagation models transferable to aviation"
26,Supply chain disruption propagation,Craighead et al.,2007,Decision Sciences,https://doi.org/10.1111/j.1540-5915.2007.00151.x,article,7,"Node criticality and path redundancy"
27,Understanding airline delays,Sternberg et al.,2017,Machine Learning,https://doi.org/10.1007/s10994-016-5610-z,article,4,"Feature importance analysis for delay prediction"
28,Flight delay prediction with gradient boosting,Henriques & Feiteira,2018,J Air Transport Management,https://doi.org/10.1016/j.jairtraman.2018.07.007,article,4,"GBM outperforms NN for delay regression"
29,BTS Technical Documentation,BTS/DOT,2024,transtats.bts.gov,https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EFD,documentation,1,"ASQP data dictionary and reporting requirements"
30,Air traffic management delay models,Jacquillat & Odoni,2015,Transportation Science,https://doi.org/10.1287/trsc.2013.0513,article,6,"Airport-specific delay models"
31,"Introduction to Air Transport Economics",Vasigh et al.,2013,Ashgate,https://doi.org/10.4324/9781315566474,textbook,1,"Standard textbook on airline economics"
32,"The Global Airline Industry",Belobaba et al.,2009,Wiley,https://doi.org/10.1002/9780470744734,textbook,1,"Comprehensive airline industry textbook"
33,"Airport Systems: Planning Design and Management",de Neufville & Odoni,2013,McGraw-Hill,https://www.mhprofessional.com/9780071770583,textbook,1,"Standard airport systems textbook"
34,Airline Operations and Management,Flouris & Oswald,2016,Routledge,https://doi.org/10.4324/9781315566580,textbook,1,"Airline ops management textbook"
35,"Air Transportation: A Management Perspective",Wensveen,2015,Ashgate,https://doi.org/10.4324/9781315566559,textbook,1,"Air transport management textbook"
36,On the propagation dynamics of air transport delay,Kafle & Zou,2016,Transportation Research Part E,https://doi.org/10.1016/j.tre.2016.05.006,article,2,"Spatial-temporal propagation patterns"
37,Machine learning for flight delay prediction: taxonomy,Esmaeilzadeh & Mokhtarimousavi,2020,IEEE Access,https://doi.org/10.1109/ACCESS.2020.3041734,review,4,"Comprehensive ML taxonomy for delay prediction"
38,Predicting propagation of flight delays,Tu et al.,2008,AAAI Conference,https://www.aaai.org/Papers/IAAI/2008/IAAI08-012.pdf,article,2,"Graph-based delay propagation prediction"
39,Airlines cascading delay model,Wong & Tsai,2012,J Air Transport Management,https://doi.org/10.1016/j.jairtraman.2011.06.008,article,2,"Cascading delay simulation model"
40,Modeling large-scale airport delay,Baumgarten et al.,2014,Transportation Research Part C,https://doi.org/10.1016/j.trc.2014.01.005,article,6,"Large-scale network delay models"
