id,title,authors,year,venue,type,theme,url,notes
1,"A network-based model for the propagation of flight delays","Pyrgiotis, Malone, Odoni",2013,"Transportation Science",journal,propagation,https://doi.org/10.1287/trsc.2013.0465,"Seminal airport-network delay propagation queueing model"
2,"The cascading effect of airline schedule buffers on delay propagation","AhmadBeygi, Cohn, Guan, Belobaba",2008,"Transportation Science",journal,propagation,https://doi.org/10.1287/trsc.1070.0233,"Shows how schedule buffers absorb and transmit delay"
3,"Systemic delay propagation in the US airport network","Fleurquin, Ramasco, Eguiluz",2013,"Scientific Reports",journal,network,https://doi.org/10.1038/srep01159,"Network science approach to delay contagion; Nature"
4,"Modeling delay propagation within an airport network","Campanelli, Fleurquin, Arranz, Etxebarria, Ciruelos, Eguiluz, Ramasco",2014,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2014.07.003,"Agent-based delay propagation at airport level"
5,"Delay propagation in interconnected airport networks","Zanin, Lillo",2013,"Physical Review E",journal,network,https://doi.org/10.1103/PhysRevE.87.032802,"Complex network analysis of flight delay spreading"
6,"Delay causality network in air transport systems","Li, Xu",2018,"Transportation Research Part E",journal,network,https://doi.org/10.1016/j.tre.2018.01.012,"Granger causality for airport-to-airport delay transmission"
7,"The Global Airline Industry","Belobaba, Odoni, Barnhart (eds.)",2009,"Wiley",textbook,operations,https://doi.org/10.1002/9780470744734,"Standard textbook on airline operations"
8,"European Air Traffic Management: Principles, Practice and Research","Cook (ed.)",2007,"Ashgate",textbook,ATM,,"Textbook on European ATM; relevant to delay management"
9,"Airline Operations and Delay Management","Barnhart, Smith (eds.)",2012,"Springer",textbook,operations,https://doi.org/10.1007/978-1-4614-1608-1,"Edited volume on airline scheduling and delays"
10,"Predicting flight delays using data mining techniques","Rebollo, Balakrishnan",2014,"Transportation Research Part C",journal,ML,https://doi.org/10.1016/j.trc.2014.07.009,"Random forests for departure delay prediction"
11,"Network analysis of the US air transportation system","Guimera, Mossa, Turtschi, Amaral",2005,"Proceedings of the National Academy of Sciences",journal,network,https://doi.org/10.1073/pnas.0407994102,"Foundational paper on US air network topology"
12,"Planning recovery from operational disruptions in airline schedules","Rosenberger, Johnson, Nemhauser",2003,"Transportation Science",journal,recovery,https://doi.org/10.1287/trsc.37.4.392.23281,"Aircraft rotation recovery optimization"
13,"Robust airline scheduling under airport congestion","Lan, Clarke, Barnhart",2006,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.1060.0145,"Robust tail assignment with propagation consideration"
14,"A model for recovery of schedule disruptions in airline operations","Abdelghany, Abdelghany, Ekollu",2008,"Journal of Air Transport Management",journal,crew,https://doi.org/10.1016/j.jairtraman.2008.04.012,"Crew recovery after disruption events"
15,"An approximate dynamic programming approach to the airline fleet assignment problem","Bertsimas, Lulli, Odoni",2011,"Operations Research",journal,scheduling,https://doi.org/10.1287/opre.1100.0858,"Fleet assignment with delay consideration"
16,"Identification of air traffic flow management hotspots","Klein, Kavoussi, Lee",2009,"Transportation Research Record",journal,ATM,https://doi.org/10.3141/2106-14,"Weather impact on traffic flow management"
17,"Deep learning approach for flight departure delay prediction","Chakrabarty",2019,"arXiv",preprint,ML,https://arxiv.org/abs/1903.04437,"LSTM for departure delay; uses BTS data"
18,"Flight delay prediction using deep convolutional neural network","Gui, Liu, Zhang, Shen, De Almeida Lobo, Hou, Deek, Pei",2020,"Neurocomputing",journal,ML,https://doi.org/10.1016/j.neucom.2019.09.028,"CNN for delay prediction from historical patterns"
19,"Machine learning for flight delay prediction: a review","Zoutendijk, Mitici",2021,"Computers & Operations Research",review,ML,https://doi.org/10.1016/j.cor.2021.105404,"Comprehensive review of ML for flight delays"
20,"Modelling and analysis of disruption propagation in airline scheduling","Lan, Clarke, Barnhart",2006,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2005.11.001,"Tail assignment and disruption propagation"
21,"Flight delay propagation: a behavioral perspective","Beatty, Hsu, Berry, Rome",1999,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/S0969-6997(99)00009-8,"Early empirical study of delay cascades"
22,"Delay propagation — new trends and old problems","Ball, Barnhart, Nemhauser, Odoni",2007,"Lecture Notes in Computer Science",chapter,propagation,https://doi.org/10.1007/978-3-540-76649-0_1,"Overview chapter on delay propagation"
23,"Understanding delay propagation in the NAS","Wang, Donaldson, Hansen",2011,"Transportation Research Record",journal,propagation,https://doi.org/10.3141/2206-02,"NAS-level delay propagation analysis"
24,"An approach for analysing flight delay propagation","Eurocontrol",2015,"Eurocontrol Performance Review Report",report,propagation,https://www.eurocontrol.int/,"Eurocontrol reactionary delay methodology"
25,"Modelling and analysing delay propagation in air transport networks","Wu",2005,"Transportation Science",journal,propagation,https://doi.org/10.1287/trsc.1040.0107,"Stochastic propagation model"
26,"Airport congestion delay and optimal dynamic pricing","Daniel",1995,"Management Science",journal,congestion,https://doi.org/10.1287/mnsc.41.5.788,"Economic analysis of airport congestion pricing"
27,"Dynamic control of airport departures: algorithm development and field evaluation","Simaiakis, Khadilkar, Balakrishnan, Reynolds, Hansman",2014,"Transportation Science",journal,congestion,https://doi.org/10.1287/trsc.2013.0476,"Pushback rate control at congested airports"
28,"A stochastic model for propagation of flight disruptions","Ahmadbeygi, Cohn, Lapp",2010,"Annals of Operations Research",journal,stochastic,https://doi.org/10.1007/s10479-009-0570-1,"Stochastic delay propagation through fleet"
