id,authors,year,title,venue,doi_or_url,role
1,"Krenn, M., Drori, Y., Adhikari, R.X.",2025,Digital Discovery of Interferometric Gravitational Wave Detectors,Phys. Rev. X 15 021012,https://doi.org/10.1103/PhysRevX.15.021012,seed_paper
2,"Klimesch, J. et al.",2026,Differometor: A Differentiable Interferometer Simulator,GitHub,https://github.com/artificial-scientist-lab/Differometor,simulator
3,"Abbott, B.P. et al. (LIGO+Virgo)",2016,Observation of Gravitational Waves from a Binary Black Hole Merger,Phys. Rev. Lett. 116 061102,https://doi.org/10.1103/PhysRevLett.116.061102,foundational
4,"Abbott, B.P. et al.",2017,GW170817: Observation of Gravitational Waves from a Binary Neutron Star Inspiral,Phys. Rev. Lett. 119 161101,https://doi.org/10.1103/PhysRevLett.119.161101,foundational
5,"Caves, C.M.",1981,Quantum-mechanical noise in an interferometer,Phys. Rev. D 23 1693,https://doi.org/10.1103/PhysRevD.23.1693,quantum_noise
6,"Harry, G.M. et al.",2002,Thermal noise in interferometric gravitational wave detectors due to dielectric optical coatings,Class. Quantum Grav. 19 897,https://doi.org/10.1088/0264-9381/19/5/305,thermal_noise
7,"Saulson, P.R.",1994,Fundamentals of Interferometric Gravitational Wave Detectors,World Scientific,,textbook
8,"Braginsky, V.B. and Khalili, F.Y.",1992,Quantum Measurement,Cambridge University Press,,textbook
9,LIGO Scientific Collaboration,2020,Instrument Science White Paper 2020,LIGO Document T2000407,,upgrade_planning
10,"Ma, Y. et al.",2017,Proposal for gravitational-wave detection beyond the standard quantum limit through EPR entanglement,Nature Physics 13 776,https://doi.org/10.1038/nphys4118,quantum_noise
11,"McCuller, L. et al.",2020,Frequency-Dependent Squeezing for Advanced LIGO,Phys. Rev. Lett. 124 171102,https://doi.org/10.1103/PhysRevLett.124.171102,quantum_noise
12,"Adhikari, R.X. et al.",2020,A cryogenic silicon interferometer for gravitational-wave detection (Voyager),Class. Quantum Grav. 37 165003,https://doi.org/10.1088/1361-6382/aba26f,baseline
13,"Reitze, D. et al.",2019,Cosmic Explorer: The U.S. Contribution to Gravitational-Wave Astronomy beyond LIGO,Bull. Am. Astron. Soc. 51 035,,future_detector
14,"Punturo, M. et al.",2010,The Einstein Telescope: a third-generation gravitational wave observatory,Class. Quantum Grav. 27 194002,https://doi.org/10.1088/0264-9381/27/19/194002,future_detector
15,"Drever, R.W.P.",1983,Interferometric detectors for gravitational radiation,Gravitational Radiation (Deruelle/Piran ed.) North-Holland,,foundational_topology
16,"Meers, B.J.",1988,Recycling in laser-interferometric gravitational-wave detectors,Phys. Rev. D 38 2317,https://doi.org/10.1103/PhysRevD.38.2317,foundational_topology
17,"Caves, C.M.",1980,Quantum-mechanical radiation-pressure fluctuations in an interferometer,Phys. Rev. Lett. 45 75,https://doi.org/10.1103/PhysRevLett.45.75,quantum_noise
18,"Aasi, J. et al.",2013,Enhanced sensitivity of the LIGO gravitational wave detector by using squeezed states of light,Nature Photonics 7 613,https://doi.org/10.1038/nphoton.2013.177,squeezing
19,"Krenn, M. et al.",2025,GW Detector Zoo (public dataset),GitHub,https://github.com/artificial-scientist-lab/GWDetectorZoo,dataset
20,"Buonanno, A. and Chen, Y.",2001,Quantum noise in second generation signal recycled laser interferometric gravitational-wave detectors,Phys. Rev. D 64 042006,https://doi.org/10.1103/PhysRevD.64.042006,signal_recycling
21,"Mavalvala, N. et al.",1998,Experimental test of an alignment-sensing scheme for a gravitational-wave interferometer,Appl. Opt. 37 7743,https://doi.org/10.1364/AO.37.007743,alignment
22,"Khalili, F.Y.",2010,Optimal configurations of filter cavity in future gravitational-wave detectors,Phys. Rev. D 81 122002,https://doi.org/10.1103/PhysRevD.81.122002,filter_cavities
