name	R	loss	tuning	mass	ports
MDet1	1.000000e+00	0.000e+00	0.000	12.18	nMDet1_laser,nMB4_0_dSetup
MB1_1_d	1.000000e+00	0.000e+00	0.000	10.98	nMB1_1_dBS,nMB1_1_dSetup
MB1_2_u	1.000000e+00	0.000e+00	0.000	78.03	nMB1_2_uBS,nMB1_2_uSetup
MB1_2_d	1.000000e+00	0.000e+00	0.000	28.44	nMB1_2_dBS,nMB1_2_dSetup
MB1_3_u	1.000000e+00	0.000e+00	135.829	109.99	nMB1_3_uBS,nMB1_3_uSetup
MB1_3_d	1.000000e+00	0.000e+00	0.000	55.23	nMB1_3_dBS,nMB1_3_dSetup
MB1_4_u	1.000000e+00	0.000e+00	196.102	144.89	nMB1_4_uBS,nMB1_4_uSetup
MB2_2_u	1.000000e+00	0.000e+00	0.000	71.67	nMB2_2_uBS,nMB2_2_uSetup
MB3_1_l	9.999093e-01	5.000e-06	0.000	17.21	nMB3_1_lBS,nMB3_1_lSetup
MDet2	9.733041e-01	5.000e-06	360.000	45.97	nMDet2_laser,nMB2_0_dSetup
MB3_4_r	9.529852e-01	5.000e-06	0.000	137.60	nMB3_4_rBS,nMB3_4_rSetup
ML_4_5	9.469576e-01	5.000e-06	88.488	28.53	nML_4_5_laser,nMB4_5_uSetup
ML_5_4	9.419442e-01	5.000e-06	4.437	90.45	nML_5_4_laser,nMB5_4_lSetup
MB4_4_r	8.390625e-01	5.000e-06	0.000	166.45	nMB4_4_rBS,nMB4_4_rSetup
MB3_2_l	8.222148e-01	5.000e-06	0.000	173.70	nMB3_2_lBS,nMB3_2_lSetup
MB4_2_r	8.143869e-01	5.000e-06	0.000	16.74	nMB4_2_rBS,nMB4_2_rSetup
MB4_4_d	7.971355e-01	5.000e-06	0.000	131.50	nMB4_4_dBS,nMB4_4_dSetup
MB1_3_r	6.678861e-01	5.000e-06	0.000	188.57	nMB1_3_rBS,nMB1_3_rSetup
MB2_2_r	5.717360e-01	5.000e-06	0.000	41.83	nMB2_2_rBS,nMB2_2_rSetup
MB2_3_u	5.449368e-01	5.000e-06	0.000	59.14	nMB2_3_uBS,nMB2_3_uSetup
MB3_3_r	5.186815e-01	5.000e-06	0.000	86.52	nMB3_3_rBS,nMB3_3_rSetup
MB4_3_l	5.003761e-01	5.000e-06	0.000	88.93	nMB4_3_lBS,nMB4_3_lSetup
MB2_2_l	4.564132e-01	5.000e-06	0.000	200.00	nMB2_2_lBS,nMB2_2_lSetup
MB4_2_d	4.531684e-01	5.000e-06	0.000	34.06	nMB4_2_dBS,nMB4_2_dSetup
MB3_4_u	2.800041e-01	5.000e-06	0.000	170.91	nMB3_4_uBS,nMB3_4_uSetup
ML_5_3	2.043507e-01	5.000e-06	0.000	147.39	nML_5_3_laser,nMB5_3_lSetup
MB2_1_d	8.591754e-02	5.000e-06	0.000	62.60	nMB2_1_dBS,nMB2_1_dSetup
MB4_4_l	8.061001e-02	5.000e-06	0.000	78.12	nMB4_4_lBS,nMB4_4_lSetup
MB2_1_u	4.378603e-02	5.000e-06	0.000	0.01	nMB2_1_uBS,nMB2_1_uSetup
MB3_3_d	3.634861e-02	5.000e-06	0.000	64.98	nMB3_3_dBS,nMB3_3_dSetup
