name	length_m	node_a	node_b
mRL_3_2	3846.956725	nMB3_2_rSetup	nMB4_2_lSetup
mRL_3_3	3846.956725	nMB3_3_rSetup	nMB4_3_lSetup
mRL_3_4	3846.956725	nMB3_4_rSetup	nMB4_4_lSetup
mUD_1_1	3670.842164	nMB1_1_dSetup	nMB1_2_uSetup
mUD_2_1	3670.842164	nMB2_1_dSetup	nMB2_2_uSetup
mUD_3_1	3670.842164	nMB3_1_dSetup	nMB3_2_uSetup
mUD_1_2	276.065341	nMB1_2_dSetup	nMB1_3_uSetup
mUD_2_2	276.065341	nMB2_2_dSetup	nMB2_3_uSetup
mUD_3_2	276.065341	nMB3_2_dSetup	nMB3_3_uSetup
mUD_4_2	276.065341	nMB4_2_dSetup	nMB4_3_uSetup
mRL_2_1	92.165642	nMB2_1_rSetup	nMB3_1_lSetup
mRL_2_2	92.165642	nMB2_2_rSetup	nMB3_2_lSetup
mUD_1_3	44.416562	nMB1_3_dSetup	nMB1_4_uSetup
mUD_3_3	44.416562	nMB3_3_dSetup	nMB3_4_uSetup
mUD_4_3	44.416562	nMB4_3_dSetup	nMB4_4_uSetup
mRL_0_1	40.652548	nMB0_1_rSetup	nMB1_1_lSetup
mRL_0_3	40.652548	nMB0_3_rSetup	nMB1_3_lSetup
mRL_1_1	10.088038	nMB1_1_rSetup	nMB2_1_lSetup
mRL_1_2	10.088038	nMB1_2_rSetup	nMB2_2_lSetup
mRL_1_3	10.088038	nMB1_3_rSetup	nMB2_3_lSetup
mRL_4_2	6.370093	nMB4_2_rSetup	nMB5_2_lSetup
mRL_4_3	6.370093	nMB4_3_rSetup	nMB5_3_lSetup
mRL_4_4	6.370093	nMB4_4_rSetup	nMB5_4_lSetup
mUD_4_4	2.325513	nMB4_4_dSetup	nMB4_5_uSetup
mUD_1_0	2.143229	nMB1_0_dSetup	nMB1_1_uSetup
mUD_2_0	2.143229	nMB2_0_dSetup	nMB2_1_uSetup
SDet2	2.000000	AtPD2	nMDet2_laser
SDet1	2.000000	AtPD1	nMDet1_laser
SL_1_0	1.000000	nL_1_0	nML_1_0_laser
SL_5_2	1.000000	nL_5_2	nML_5_2_laser
SL_5_4	1.000000	nL_5_4	nML_5_4_laser
SLMB1_1_l	1.000000	nB1_1l	nMB1_1_lBS
SLMB1_1_u	1.000000	nB1_1u	nMB1_1_uBS
SLMB1_1_r	1.000000	nB1_1r	nMB1_1_rBS
SLMB1_1_d	1.000000	nB1_1d	nMB1_1_dBS
SLMB1_2_u	1.000000	nB1_2u	nMB1_2_uBS
SLMB1_2_d	1.000000	nB1_2d	nMB1_2_dBS
SLMB1_3_l	1.000000	nB1_3l	nMB1_3_lBS
SLMB1_3_u	1.000000	nB1_3u	nMB1_3_uBS
SLMB1_3_r	1.000000	nB1_3r	nMB1_3_rBS
SLMB1_3_d	1.000000	nB1_3d	nMB1_3_dBS
SLMB1_4_l	1.000000	nB1_4l	nMB1_4_lBS
SLMB1_4_u	1.000000	nB1_4u	nMB1_4_uBS
SLMB1_4_d	1.000000	nB1_4d	nMB1_4_dBS
SLMB2_1_l	1.000000	nB2_1l	nMB2_1_lBS
SLMB2_1_u	1.000000	nB2_1u	nMB2_1_uBS
SLMB2_1_r	1.000000	nB2_1r	nMB2_1_rBS
SLMB2_1_d	1.000000	nB2_1d	nMB2_1_dBS
SLMB2_2_l	1.000000	nB2_2l	nMB2_2_lBS
SLMB2_2_u	1.000000	nB2_2u	nMB2_2_uBS
SLMB2_2_r	1.000000	nB2_2r	nMB2_2_rBS
SLMB2_2_d	1.000000	nB2_2d	nMB2_2_dBS
SLMB2_3_l	1.000000	nB2_3l	nMB2_3_lBS
SLMB2_3_u	1.000000	nB2_3u	nMB2_3_uBS
SLMB3_1_l	1.000000	nB3_1l	nMB3_1_lBS
SLMB3_1_d	1.000000	nB3_1d	nMB3_1_dBS
SLMB3_2_l	1.000000	nB3_2l	nMB3_2_lBS
SLMB3_2_u	1.000000	nB3_2u	nMB3_2_uBS
SLMB3_2_r	1.000000	nB3_2r	nMB3_2_rBS
SLMB3_2_d	1.000000	nB3_2d	nMB3_2_dBS
SLMB3_3_l	1.000000	nB3_3l	nMB3_3_lBS
SLMB3_3_u	1.000000	nB3_3u	nMB3_3_uBS
SLMB3_3_r	1.000000	nB3_3r	nMB3_3_rBS
SLMB3_3_d	1.000000	nB3_3d	nMB3_3_dBS
SLMB3_4_u	1.000000	nB3_4u	nMB3_4_uBS
SLMB3_4_r	1.000000	nB3_4r	nMB3_4_rBS
SLMB4_2_l	1.000000	nB4_2l	nMB4_2_lBS
SLMB4_2_u	1.000000	nB4_2u	nMB4_2_uBS
SLMB4_2_r	1.000000	nB4_2r	nMB4_2_rBS
SLMB4_2_d	1.000000	nB4_2d	nMB4_2_dBS
SLMB4_3_l	1.000000	nB4_3l	nMB4_3_lBS
SLMB4_3_u	1.000000	nB4_3u	nMB4_3_uBS
SLMB4_3_r	1.000000	nB4_3r	nMB4_3_rBS
SLMB4_3_d	1.000000	nB4_3d	nMB4_3_dBS
SLMB4_4_l	1.000000	nB4_4l	nMB4_4_lBS
SLMB4_4_u	1.000000	nB4_4u	nMB4_4_uBS
SLMB4_4_r	1.000000	nB4_4r	nMB4_4_rBS
SLMB4_4_d	1.000000	nB4_4d	nMB4_4_dBS
