id,authors,year,title,venue,url,tag,key_finding_1sentence
1,Shiller R,2005,Irrational Exuberance (2nd ed),Princeton University Press,https://press.princeton.edu/books/paperback/9780691123356/irrational-exuberance,textbook_bubble,Argues US housing prices in 2000s detached from rents and incomes and constituted a classic speculative bubble.
2,Shiller R,2008,The Subprime Solution,Princeton University Press,https://press.princeton.edu/books/hardcover/9780691139296/the-subprime-solution,textbook_bubble,Narrative-driven account attributing the 2006-09 crash to a nationwide belief in perpetually rising prices.
3,Shiller R,2015,Irrational Exuberance (3rd ed),Princeton University Press,https://press.princeton.edu/books/paperback/9780691166261/irrational-exuberance,textbook_bubble,Updates bubble argument through 2014 and proposes 5.0 price-to-income as a rough bubble threshold.
4,Case K; Shiller R,1989,The efficiency of the market for single-family homes,American Economic Review,https://www.jstor.org/stable/1804766,methodology_index,Repeat-sales regression methodology that underpins both Case-Shiller and modern metro price indices.
5,Case K; Shiller R,2003,Is there a bubble in the housing market?,Brookings Papers on Economic Activity,https://www.brookings.edu/articles/is-there-a-bubble-in-the-housing-market/,price_fundamentals,Finds price-to-income ratios far above historical norms in coastal metros and warns of downside risk.
6,Glaeser E; Gyourko J,2005,Urban decline and durable housing,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/429280,supply_elasticity,Durable housing stock means supply-elastic metros see flat prices while declining metros see persistently low prices.
7,Glaeser E; Gyourko J; Saks R,2005,Why have housing prices gone up?,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/000282805774669961,supply_elasticity,Attributes secular price rises mainly to land-use regulation constraining supply in high-productivity metros.
8,Glaeser E; Gyourko J; Saiz A,2008,Housing supply and housing bubbles,Journal of Urban Economics,https://www.sciencedirect.com/science/article/abs/pii/S0094119008000454,supply_elasticity,Supply-elastic metros had shorter and shallower bubbles; inelastic metros had longer price runs and deeper crashes.
9,Saiz A,2010,The geographic determinants of housing supply,Quarterly Journal of Economics,https://academic.oup.com/qje/article/125/3/1253/1903664,supply_elasticity,Constructs the canonical MSA-level supply-elasticity index from topography and regulation; widely used downstream.
10,Glaeser E; Gyourko J,2008,Housing Supply and Affordability,AEI Press,https://www.aei.org/research-products/book/rethinking-federal-housing-policy/,textbook_supply,Textbook treatment of how land-use regulation drives regional affordability and volatility differentials.
11,Glaeser E; Gyourko J,2010,Can Cheap Credit Explain the Housing Boom?,NBER Working Paper 16230,https://www.nber.org/papers/w16230,interest_rates,Standard user-cost models cannot explain the magnitude of 2000s price rises from interest-rate movements alone.
12,Glaeser E; Gyourko J,2018,The economic implications of housing supply,Journal of Economic Perspectives,https://www.aeaweb.org/articles?id=10.1257/jep.32.1.3,supply_elasticity,Reviews evidence that housing supply elasticity has declined in major metros and amplifies price cyclicality.
13,Mian A; Sufi A,2009,The consequences of mortgage credit expansion,Quarterly Journal of Economics,https://academic.oup.com/qje/article/124/4/1449/1917012,credit_supply,ZIP codes with highest subprime credit expansion in 2002-05 later had highest default and price-decline rates.
14,Mian A; Sufi A,2011,House prices home equity-based borrowing and the US household leverage crisis,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.101.5.2132,credit_supply,Households in high-price-growth areas borrowed against rising equity driving a 2.3 trillion dollar debt increase.
15,Mian A; Sufi A,2014,House of Debt,University of Chicago Press,https://press.uchicago.edu/ucp/books/book/chicago/H/bo18099291.html,textbook_credit,Household leverage not banking fragility was the central transmission channel of the 2008 recession.
16,Mian A; Sufi A; Trebbi F,2015,Foreclosures house prices and the real economy,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/jofi.12310,credit_supply,Foreclosure-induced forced sales accounted for roughly one-third of the peak-to-trough house-price decline.
17,Favilukis J; Ludvigson S; Van Nieuwerburgh S,2017,The macroeconomic effects of housing wealth housing finance and limited risk sharing,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/689606,credit_supply,Loosened credit constraints not low interest rates were the dominant driver of the 2000s boom in a quantitative GE model.
18,Demyanyk Y; Van Hemert O,2011,Understanding the subprime mortgage crisis,Review of Financial Studies,https://academic.oup.com/rfs/article/24/6/1848/1592992,credit_supply,Loan quality deteriorated monotonically 2001-07 and was fully observable ex ante but masked by rising prices.
19,Mayer C; Sinai T,2009,U.S. House Price Dynamics and Behavioral Finance,In Foote-Gerardi-Willen eds MIT Press,https://www.nber.org/papers/w14841,behavioural,Survey and homeowner expectation data show backward-looking extrapolation dominated formation of 2000s expectations.
20,Himmelberg C; Mayer C; Sinai T,2005,Assessing high house prices,Journal of Economic Perspectives,https://www.aeaweb.org/articles?id=10.1257/089533005775196769,price_fundamentals,User-cost framework shows price-to-rent can look high without a bubble when mortgage rates are low.
21,Davis M; Lehnert A; Martin R,2008,The rent-price ratio for the aggregate stock of owner-occupied housing,Review of Income and Wealth,https://onlinelibrary.wiley.com/doi/10.1111/j.1475-4991.2008.00274.x,price_fundamentals,Rent-price ratio fell to historical lows 2004-06 a level not seen since 1960 and strongly predicted the crash.
22,Nathanson C; Zwick E,2018,Arrested development land speculation and overbuilding during the housing cycle,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/jofi.12652,supply_elasticity,In moderately elastic metros land speculation drove extreme price volatility distinct from the Saiz story.
