timestamp	exp_id	description	n_train	n_test	pos_rate_train	pos_rate_test	roc_auc	pr_auc	pr_auc_lift_over_base	brier	log_loss	top_k_precision	top_k_k	status
2026-04-14T15:18:52	E00	Logistic (balanced) w/ SAFE features; train ≤2022-06, test >2022-06	39669	10170	0.0018	0.0093	0.7304	0.0439	4.701	0.3345	1.3235	0.0472	508	BASELINE
2026-04-14T15:19:51	E01-L1	Phase-1 tournament L1; 5 seeds	39669	10170	0.0018	0.0093	0.7304	0.0439	nan	nan	nan	nan	0	TOURNAMENT
2026-04-14T15:19:52	E01-L2	Phase-1 tournament L2; 5 seeds	39669	10170	0.0018	0.0093	0.7304	0.0439	nan	nan	nan	nan	0	TOURNAMENT
2026-04-14T15:20:07	E01-RF	Phase-1 tournament RF; 5 seeds	39669	10170	0.0018	0.0093	0.7005	0.0176	nan	nan	nan	nan	0	TOURNAMENT
2026-04-14T15:20:13	E01-GB	Phase-1 tournament GB; 5 seeds	39669	10170	0.0018	0.0093	0.6825	0.0210	nan	nan	nan	nan	0	TOURNAMENT
2026-04-14T15:20:18	E01-LB	Phase-1 tournament LB; 5 seeds	39669	10170	0.0018	0.0093	0.5952	0.0122	nan	nan	nan	nan	0	TOURNAMENT
2026-04-14T15:21:43	E02	L2 without mortgage features	39669	10170	0.0018	0.0093	0.5924	0.0289	3.093	0.4494	1.3498	0.0335	508	HDR
2026-04-14T15:21:43	E03	L2 without inventory features	39669	10170	0.0018	0.0093	0.6997	0.0359	3.842	0.3691	1.3627	0.0374	508	HDR
2026-04-14T15:21:44	E04	L2 without ZHVI momentum features	39963	10170	0.0018	0.0093	0.7362	0.0445	4.763	0.2925	0.8877	0.0492	508	HDR
2026-04-14T15:21:44	E05-t05	Threshold = 5% decline	39669	10170	0.0112	0.0476	0.7077	0.1084	2.278	0.4198	1.6676	0.1358	508	HDR
2026-04-14T15:21:44	E05-t10	Threshold = 10% decline	39669	10170	0.0018	0.0093	0.7304	0.0439	4.701	0.3345	1.3235	0.0472	508	HDR
2026-04-14T15:21:44	E05-t15	Threshold = 15% decline	39669	10170	0.0003	0.0014	0.8577	0.3426	248.876	0.0060	0.0269	0.0138	508	HDR
2026-04-14T15:21:44	E05-t20	Threshold = 20% decline	39669	10170	0.0001	0.0005	0.9975	0.5055	1028.173	0.0115	0.0421	0.0098	508	HDR
2026-04-14T15:21:44	E07-2021-06-01	Train-end 2021-06-01	32889	16950	0.0006	0.0086	0.6370	0.0228	2.643	0.1452	0.8636	0.0224	847	HDR
