id,title,authors,year,venue,url,theme,notes
1,Introduction to Wildland Fire,Pyne,1996,Wiley,https://www.wiley.com/en-us/9780471549130,textbook,Foundational wildfire science textbook
2,Introduction to Wildfire Behavior Modeling,"Scott, Burgan, Reinhardt",2005,USDA RMRS,https://doi.org/10.2737/RMRS-GTR-153,textbook,Fire behavior modeling fundamentals
3,"Development and structure of the Canadian Forest Fire Weather Index System","Van Wagner, Pickett",1987,Canadian Forestry Service,https://cfs.nrcan.gc.ca/publications?id=19927,textbook,Canonical FWI system reference
4,Fire in the Earth System,Bowman et al.,2009,Science,https://doi.org/10.1126/science.1163886,textbook,Global fire ecology review
5,Fire Ecology of South European Forests,Moreno & Oechel,2012,Springer,https://doi.org/10.1007/978-3-642-50055-1,textbook,Mediterranean fire ecology textbook
6,Fire on Earth: An Introduction,Scott et al.,2014,Wiley,https://doi.org/10.1002/9781118529539,textbook,Modern fire science textbook
7,Mediterranean Ecosystems: Origin and Structure,Di Castri & Mooney,1973,Springer,https://doi.org/10.1007/978-3-642-65520-3,textbook,Mediterranean ecosystem fundamentals
8,Wildfire Behavior and Management,Rothermel,1972,USDA Forest Service,https://doi.org/10.2737/INT-RP-115,fundamentals,"Rothermel fire spread model, still operational"
9,A Mathematical Model for Predicting Fire Spread,Rothermel,1972,USDA INT-RP-115,https://doi.org/10.2737/INT-RP-115,fundamentals,Foundational fire spread rate equation
10,Fire Behavior Associated with the 2003 Fires in the Mediterranean,Fernandes,2009,Forest Ecology Mgmt,https://doi.org/10.1016/j.foreco.2009.01.030,fundamentals,Mediterranean fire behavior analysis
11,Extreme fire events are related to previous fuel moisture,Resco de Dios et al.,2015,STOTEN,https://doi.org/10.1016/j.scitotenv.2015.02.008,fuel_moisture,Key LFMC-fire relationship paper
12,Live Fuel Moisture Content and Fire Behavior,Yebra et al.,2013,RSE,https://doi.org/10.1016/j.rse.2013.01.005,fuel_moisture,Remote sensing of LFMC review
13,A review of remote sensing of live fuel moisture content,Yebra et al.,2019,RSE,https://doi.org/10.1016/j.rse.2019.111205,fuel_moisture,Comprehensive LFMC remote sensing review
14,Global assessment of LFMC using Sentinel-2,Yebra et al.,2024,Nat Comms,https://doi.org/10.1038/s41467-024-45060-7,fuel_moisture,Global LFMC from Sentinel-2 SWIR
15,Estimation of live fuel moisture content from MODIS images,Chuvieco et al.,2004,RSE,https://doi.org/10.1016/j.rse.2004.06.005,fuel_moisture,Pioneer LFMC from satellite
16,Satellite-based live fuel moisture and fire danger,Garcia et al.,2020,IJWF,https://doi.org/10.1071/WF19159,fuel_moisture,Satellite LFMC operational use
17,Live fuel moisture content mapping in Mediterranean,Shu et al.,2021,RSE,https://doi.org/10.1016/j.rse.2021.112378,fuel_moisture,Machine learning for LFMC
18,Fuel moisture influences fire weather more than temperature,Jolly et al.,2015,Nature Comms,https://doi.org/10.1038/ncomms8537,fuel_moisture,"Global fuel aridity trends, seminal paper"
19,The role of dead fuel moisture in fire behavior,Matthews,2014,IJWF,https://doi.org/10.1071/WF13047,fuel_moisture,Dead vs live fuel moisture distinction
