exp_id	description	model_family	n_features	cv_auc_mean	cv_auc_std	cv_f2_mean	cv_f2_std	holdout_auc	holdout_f2	holdout_precision	holdout_recall	aug2025_nw_auc	notes
E00	Baseline: XGBoost 16 raw features	xgboost	16	0.6537	0.0282	0.0234	0.0204	0.6434	0.0287	0.5000	0.0233	0.6922	Baseline: XGBoost 16 raw features
T_xgboost	Tournament: xgboost	xgboost	16	0.6537	0.0282	0.0234	0.0204	0.6434	0.0287	0.5000	0.0233	0.6922	Phase 1 tournament
T_lightgbm	Tournament: lightgbm	lightgbm	16	0.6591	0.0078	0.0531	0.0185	0.6176	0.0571	0.6667	0.0465	0.5800	Phase 1 tournament
T_extratrees	Tournament: extratrees	extratrees	16	0.6755	0.0168	0.0136	0.0177	0.7307	0.0289	1.0000	0.0233	0.7456	Phase 1 tournament
T_ridge	Tournament: ridge	ridge	16	0.6931	0.0240	0.0612	0.0433	0.7777	0.1309	0.2632	0.1163	0.7422	Phase 1 tournament
E01	Add LFMC (live fuel moisture)	xgboost	17	0.6532	0.0316	0.0234	0.0204	0.7062	0.0000	0.0000	0.0000	0.8244	Add LFMC (live fuel moisture)
E02	Add SPEI-1 (1-month drought)	xgboost	18	0.6513	0.0222	0.0074	0.0097	0.7081	0.0000	0.0000	0.0000	0.8467	Add SPEI-1 (1-month drought)
E03	Add SPEI-3 (3-month drought)	xgboost	19	0.6600	0.0372	0.0074	0.0098	0.7091	0.0000	0.0000	0.0000	0.7778	Add SPEI-3 (3-month drought)
E04	Add SPEI-12 (12-month drought)	xgboost	20	0.6637	0.0378	0.0096	0.0192	0.7195	0.0000	0.0000	0.0000	0.8078	Add SPEI-12 (12-month drought)
E05	Add eucalyptus fraction	xgboost	21	0.6505	0.0318	0.0096	0.0192	0.7105	0.0287	0.5000	0.0233	0.7856	Add eucalyptus fraction
E06	Add concurrent fires	xgboost	22	0.6552	0.0260	0.0096	0.0192	0.7446	0.0287	0.5000	0.0233	0.8189	Add concurrent fires
E07	Add detection hour	xgboost	23	0.6481	0.0240	0.0137	0.0189	0.7573	0.0287	0.5000	0.0233	0.8356	Add detection hour
E08	Add heatwave days	xgboost	24	0.6468	0.0243	0.0136	0.0188	0.7330	0.0286	0.3333	0.0233	0.8367	Add heatwave days
E09	Add night temperature	xgboost	25	0.6429	0.0156	0.0139	0.0189	0.7346	0.0287	0.5000	0.0233	0.8900	Add night temperature
E10	Add prev year precip	xgboost	26	0.6479	0.0211	0.0122	0.0185	0.7289	0.0571	0.6667	0.0465	0.8600	Add prev year precip
E11	Add WUI distance	xgboost	27	0.6393	0.0262	0.0121	0.0185	0.7561	0.0287	0.5000	0.0233	0.8489	Add WUI distance
E12	Add soil moisture	xgboost	28	0.6490	0.0279	0.0222	0.0204	0.7313	0.0286	0.3333	0.0233	0.8567	Add soil moisture
E13	Add aspect	xgboost	29	0.6423	0.0274	0.0165	0.0178	0.7422	0.0000	0.0000	0.0000	0.8089	Add aspect
