author_year,title,venue,year,doi_or_url,tags
kalbfleisch_prentice_2002,The Statistical Analysis of Failure Time Data,Wiley,2002,10.1002/9781118032985,textbook;survival
cox_1972,Regression Models and Life-Tables,Journal of the Royal Statistical Society B,1972,10.1111/j.2517-6161.1972.tb00899.x,seminal;cox;survival
kaplan_meier_1958,Nonparametric Estimation from Incomplete Observations,JASA,1958,10.1080/01621459.1958.10501452,seminal;km;survival
klein_moeschberger_2003,Survival Analysis: Techniques for Censored and Truncated Data,Springer,2003,10.1007/b97377,textbook;survival
collett_2015,Modelling Survival Data in Medical Research,CRC Press,2015,10.1201/b18041,textbook;survival
hosmer_lemeshow_may_2008,Applied Survival Analysis,Wiley,2008,10.1002/9780470258019,textbook;survival
lee_wang_2003,Statistical Methods for Survival Data Analysis,Wiley,2003,10.1002/0471458546,textbook;survival
therneau_grambsch_2000,Modeling Survival Data: Extending the Cox Model,Springer,2000,10.1007/978-1-4757-3294-8,textbook;survival;cox
aalen_borgan_gjessing_2008,Survival and Event History Analysis,Springer,2008,10.1007/978-0-387-68560-1,textbook;survival
allison_2010,Survival Analysis Using SAS: A Practical Guide,SAS Institute,2010,,textbook;survival
fine_gray_1999,A Proportional Hazards Model for the Subdistribution of a Competing Risk,JASA,1999,10.1080/01621459.1999.10474144,competing-risks;survival
wei_1992,The Accelerated Failure Time Model,Statistics in Medicine,1992,10.1002/sim.4780111409,aft;survival
jenkins_2005,Survival Analysis,Manuscript,2005,https://www.iser.essex.ac.uk/files/teaching/stephenj/ec968/pdfs/ec968lnotesv6.pdf,textbook;survival
cleves_2008,An Introduction to Survival Analysis Using Stata,Stata Press,2008,,textbook;survival
box_steffensmeier_jones_2004,Event History Modeling: A Guide for Social Scientists,Cambridge,2004,10.1017/CBO9780511790874,textbook;survival;social
cox_oakes_1984,Analysis of Survival Data,Chapman Hall,1984,,textbook;survival
andersen_borgan_gill_keiding_1993,Statistical Models Based on Counting Processes,Springer,1993,10.1007/978-1-4612-4348-9,textbook;survival;counting-process
bagdonavicius_nikulin_2002,Accelerated Life Models,Chapman Hall,2002,10.1201/9781420035872,textbook;aft
