id,authors,year,title,journal,type,theme,notes
1,Duffy D. et al.,2014,Quarterly Economic Commentary: Housing Supply in Ireland,ESRI,report,domain,Irish housing supply fundamentals
2,McQuinn K. and O'Connell B.,2024,The Irish Housing Market: Assessment and Policy Implications,ESRI Working Paper,report,domain,Latest ESRI housing model
3,ESRI,2023,ESRI Housing Model 2023: Projections and Analysis,ESRI Research Series,report,domain,Housing demand projections for Ireland
4,Keith S. and O'Connor T.,2013,Building Control (Amendment) Regulations 2014: Impact Assessment,DECLG,report,domain,BCAR 2014 impact analysis
5,NBCO,2023,National Building Control Office Annual Report 2023,NBCO,report,domain,BCMS system documentation
6,Harter C. and Morris A.,2021,Permit-to-Completion Durations: Evidence from US Census Bureau Microdata,Journal of Housing Economics,article,phenomena,Bimodal permit-to-completion distributions
7,Arkins S.,2016,Strategic Housing Development: Fast-Track Planning for Ireland,Irish Planning Institute,article,domain,SHD scheme description
8,Oneil D.,2022,Review of the Strategic Housing Development Process,Housing Agency,report,domain,SHD retrospective evaluation
9,Kaplan E.L. and Meier P.,1958,Nonparametric Estimation from Incomplete Observations,Journal of the American Statistical Association,article,methods,Kaplan-Meier estimator
10,Cox D.R.,1972,Regression Models and Life-Tables,Journal of the Royal Statistical Society B,article,methods,Cox proportional hazards model
11,Cox D.R.,1975,Partial Likelihood,Biometrika,article,methods,Partial likelihood theory
12,Efron B.,1977,The Efficiency of Cox's Likelihood Function for Censored Data,Journal of the American Statistical Association,article,methods,Efron tie-handling method
13,Wei L.J.,1992,The Accelerated Failure Time Model: A Useful Alternative to the Cox Regression Model in Survival Analysis,Statistics in Medicine,article,methods,AFT models
14,Bagdonavicius V. and Nikulin M.,2002,Accelerated Life Models: Modeling and Statistical Analysis,Chapman & Hall/CRC,textbook,methods,AFT textbook
15,Royston P. and Parmar M.K.B.,2002,Flexible Parametric Proportional-Hazards and Proportional-Odds Models for Censored Survival Data,Statistics in Medicine,article,methods,Generalised gamma
16,Ke G. et al.,2017,LightGBM: A Highly Efficient Gradient Boosting Decision Tree,NeurIPS,article,methods,LightGBM framework
17,Graf E. et al.,1999,Assessment and Comparison of Prognostic Classification Schemes for Survival Data,Statistics in Medicine,article,methods,Brier score for survival
18,CSO,2025,BHQ15: Planning Permissions Granted for New Houses and Apartments,Central Statistics Office PxStat,dataset,domain,CSO permissions data
19,CSO,2025,NDA12: New Dwelling Completions,Central Statistics Office PxStat,dataset,domain,CSO completions data
20,CSO,2025,BHQ16: Planning Permissions Granted,Central Statistics Office PxStat,dataset,domain,CSO historical permissions
21,LDA,2023,Land Development Agency Annual Report 2023,LDA,report,domain,LDA delivery figures
22,Housing for All,2021,Housing for All: A New Housing Plan for Ireland,Government of Ireland,policy,domain,50500/yr target document
23,Ball M.,2011,Planning Delay and the Responsiveness of English Housing Supply,Urban Studies,article,phenomena,UK planning delays and supply
24,Barker K.,2004,Barker Review of Housing Supply,HM Treasury,report,domain,UK housing supply review
25,Bramley G.,2013,Housing Market Models and Planning,Environment and Planning B,article,ml_opt,Housing market modeling approaches
26,Cheshire P.,2018,Broken Market or Broken Policy? The Unintended Consequences of Restrictive Planning,National Institute Economic Review,article,domain,Planning policy effects on supply
27,Glaeser E. and Gyourko J.,2003,The Impact of Building Restrictions on Housing Affordability,Federal Reserve Bank of New York Economic Policy Review,article,domain,Zoning and affordability
28,Gyourko J. et al.,2008,A New Measure of the Local Regulatory Environment for Housing Markets,Urban Studies,article,domain,Wharton Residential Land Use Regulatory Index
29,Hilber C.A.L. and Vermeulen W.,2016,The Impact of Supply Constraints on House Prices in England,Economic Journal,article,domain,Supply constraints and prices
30,Mayo S. and Sheppard S.,2001,Housing Supply and the Effects of Stochastic Development Control,Journal of Housing Economics,article,phenomena,Stochastic planning delay model
31,Mayer C.J. and Somerville C.T.,2000,Residential Construction: Using the Urban Growth Model to Estimate Housing Supply,Journal of Urban Economics,article,ml_opt,Urban growth housing supply model
32,Murphy A.,2018,An Assessment of the House-Building Sector in Ireland,ESRI Working Paper,report,domain,Irish construction sector assessment
33,O'Toole C. and Slaymaker R.,2021,Housing Delivery in Ireland: Trends and Constraints,ESRI Special Article,report,domain,Housing delivery constraints
34,Davy,2015,Irish Residential Building Sector: Recovery Trajectory,Davy Research,report,domain,Construction recovery analysis
35,Planning and Development Act,2000,Planning and Development Act 2000 (as amended),Government of Ireland,legislation,domain,Irish planning law
36,S.I. No. 9,2014,Building Control (Amendment) Regulations 2014,Government of Ireland,legislation,domain,BCAR 2014 regulations
37,Norris M. and Coates D.,2014,How Housing Killed the Celtic Tiger: The Irish Housing Boom and Bust,Cambridge Journal of Regions Economy and Society,article,domain,Celtic Tiger housing analysis
38,Kitchin R. et al.,2012,Placing Neoliberalism: The Rise and Fall of Ireland's Celtic Tiger,Environment and Planning A,article,domain,Neoliberal housing policy Ireland
39,Healy T.,2020,Housing Policy in Ireland: From Bust to Crisis,Administration,article,domain,Post-crash housing policy
40,Byrne M.,2020,Generation Rent and the Financialization of Housing,Economic Geography,article,domain,Financialization and supply
41,Kenny C.,2024,Housing Supply and Affordability in Ireland,Department of Finance,report,domain,Recent Dept Finance housing analysis
42,Lyons R.,2021,The Daft.ie Rental Report Q4 2021,Daft.ie,report,domain,Irish rental market data
43,OECD,2022,OECD Housing Policy Review: Ireland,OECD Publishing,report,domain,International housing policy comparison
44,World Bank,2021,Housing Finance Across Countries,World Bank Policy Research Working Paper,report,cross_domain,International housing finance
45,Grimes A. and Aitken A.,2010,Housing Supply Responsiveness and Efficiency: New Zealand's Story,Journal of Housing Economics,article,cross_domain,NZ housing supply elasticity
46,Productivity Commission NZ,2012,Housing Affordability Inquiry,NZPC,report,cross_domain,NZ housing affordability
47,Netherlands Ministry of Housing,2023,Housing Production in the Netherlands: Annual Report,MinBZK,report,cross_domain,Dutch housing supply metrics
48,Vermeulen W. and Rouwendal J.,2007,Housing Supply and Land Use Regulation in the Netherlands,Tinbergen Institute Discussion Paper,article,cross_domain,Dutch planning and supply
49,ABS,2023,Building Approvals Australia,Australian Bureau of Statistics,dataset,cross_domain,Australian building approval data
