id,author,year,title,source,theme
P001,"Geltner, D.",2014,Commercial Real Estate Analysis and Investments,MIT Press,cost_of_delay
P002,"Brueggeman, W. & Fisher, J.",2015,Real Estate Finance and Investments,McGraw-Hill,cost_of_delay
P003,"Mayer, C. & Somerville, C.T.",2000,Residential construction: using the urban growth model to estimate housing supply,Journal of Urban Economics,cost_of_delay
P004,"Glaeser, E. & Gyourko, J.",2018,The economic implications of housing supply,Journal of Economic Perspectives,cost_of_delay
P005,"Gyourko, J. & Molloy, R.",2015,Regulation and housing supply,Handbook of Regional and Urban Economics,cost_of_delay
P006,"Glaeser, E., Gyourko, J. & Saks, R.",2005,Why is Manhattan so expensive? Regulation and the rise in housing prices,Journal of Law and Economics,cost_of_delay
P007,"Hsieh, C.T. & Moretti, E.",2019,Housing constraints and spatial misallocation,American Economic Journal,cost_of_delay
P008,"Murphy, A.",2018,A spatial analysis of the cost of housing in Ireland,ESRI Working Paper,cost_of_delay
P009,Ronan Lyons,2021,Can taxes on construction and development help to address Irelands housing shortage?,Economic and Social Review,cost_of_delay
P010,DHLGH,2021,Housing for All - A New Housing Plan for Ireland,Government of Ireland,cost_of_delay
P011,SCSI,2022,The real cost of new apartment delivery,Society of Chartered Surveyors Ireland,cost_of_delay
P012,SCSI,2023,Construction cost index update Q4 2023,SCSI,cost_of_delay
P013,"Lydon, R. & McCarthy, Y.",2013,What lies beneath? Understanding recent trends in Irish mortgage arrears,Economic and Social Review,cost_of_delay
P014,Central Bank of Ireland,2023,Macro-financial review 2023,CBI,cost_of_delay
P015,"Kennedy, G. & McQuinn, K.",2024,Irish housing market update,Central Bank quarterly bulletin,cost_of_delay
P016,"Duffy, D.",2020,The Irish housing market: developments and prospects,ESRI Special Article,cost_of_delay
P017,"Aura, S. & Davidoff, T.",2008,Supply constraints and housing prices,Economics Letters,cost_of_delay
P018,"Saiz, A.",2010,The geographic determinants of housing supply,Quarterly Journal of Economics,cost_of_delay
P019,"Quigley, J.M. & Raphael, S.",2005,Regulation and the high cost of housing in California,American Economic Review P&P,cost_of_delay
P020,"Green, R.K., Malpezzi, S. & Mayo, S.K.",2005,Metropolitan-specific estimates of the price elasticity of supply of housing,Journal of Housing Economics,cost_of_delay
P021,"Halliday, S.",2004,Judicial Review and Compliance with Administrative Law,Hart Publishing,jr_admin
P022,"Richardson, G. & Machin, D.",2000,Judicial review and tribunal decision making,Public Law,jr_admin
P023,"Hertogh, M. & Halliday, S.",2004,Judicial Review and Bureaucratic Impact,Cambridge University Press,jr_admin
P024,"Sunstein, C.",2002,The Cost-Benefit State,American Bar Foundation,jr_admin
P025,"Mashaw, J.",1985,Bureaucratic Justice: Managing Social Security Disability Claims,Yale University Press,jr_admin
P026,"Pierce, R.",2019,Judicial review of agency actions,Virginia Law Review,jr_admin
P027,"Mendelson, N.",2009,Regulatory beneficiaries and informal agency policymaking,Cornell Law Review,jr_admin
P028,"Wagner, W.",2010,"Administrative law, filter failure, and the crisis in administrative accountability",Duke Law Journal,jr_admin
P029,"Thomas, R.",2011,Administrative Justice and Asylum Appeals,Hart Publishing,jr_admin
P030,"Bondy, V. & Sunkin, M.",2009,The dynamics of judicial review litigation,Public Law Foundation,jr_admin
P031,"Bondy, V., Platt, L. & Sunkin, M.",2015,The value and effects of judicial review,Public Law Project,jr_admin
P032,"Harlow, C. & Rawlings, R.",2009,Law and Administration,Cambridge University Press,jr_admin
P033,"Jowell, J. & Oliver, D.",2007,The Changing Constitution,Oxford University Press,jr_admin
P034,"Cane, P.",2011,Administrative Tribunals and Adjudication,Hart Publishing,jr_admin
P035,FDA,2020,Impact of litigation on drug approval timelines,FDA internal analysis,jr_admin
P036,EPA,2018,Regulatory impact of judicial review on environmental permits,EPA Report,jr_admin
P037,"Coglianese, C.",2002,Empirical analysis and administrative law,University of Illinois Law Review,jr_admin
P038,"Seidenfeld, M.",2002,"Cognitive loafing, social conformity and judicial review",Cornell Law Review,jr_admin
P039,"Shapiro, S.",2008,Ossification of environmental regulation,Wake Forest Law Review,jr_admin
P040,"McGarity, T.",1992,Some thoughts on deossifying the rulemaking process,Duke Law Journal,jr_admin
P041,"Hogan, G. & Morgan, D.G.",2010,Administrative Law in Ireland,Round Hall,irish_jr
P042,"de Blacam, M.",2017,Judicial Review,Bloomsbury Professional,irish_jr
P043,"Simons, G.",2019,Planning and Development Law (3rd ed.),Round Hall,irish_jr
P044,"Galligan, E.",2023,Planning law and judicial review,Irish Jurist,irish_jr
P045,"Arkins, E.",2019,Empirical analysis of planning JRs 2000-2018,Unpublished,irish_jr
P046,OPR,2022,Appendix-2: Breakdown of Determined Judicial Reviews involving ABP 2012-2022,OPR,irish_jr
P047,OPR,2024,Learning from Litigation Legal Bulletin 10,OPR,irish_jr
P048,OPR,2025,Learning from Litigation Legal Bulletin 11,OPR,irish_jr
P049,ABP,2020,Annual Report and Accounts 2020,An Bord Pleanala,irish_jr
P050,ABP,2021,Annual Report and Accounts 2021,An Bord Pleanala,irish_jr
P051,ABP,2022,Annual Report and Accounts 2022,An Bord Pleanala,irish_jr
P052,ABP,2023,Annual Report and Accounts 2023,An Bord Pleanala,irish_jr
P053,ABP,2024,Annual Report and Accounts 2024,An Bord Pleanala,irish_jr
P054,Indecon,2022,Organisational Capacity Review of An Bord Pleanala,DHLGH,irish_jr
P055,"Farrell, R.",2022,Preliminary Report on Governance at An Bord Pleanala,Government,irish_jr
P056,Irish Times,2021,SHD judicial reviews: the numbers behind the headlines,Irish Times,irish_jr
P057,Business Post,2021,Planning board legal costs double to EUR8.2m,Sunday Business Post,irish_jr
P058,Heather Hill Management v ABP,2022,[2022] IESC 43,Supreme Court,irish_jr
P059,Connelly v ABP,2018,[2018] IESC 31,Supreme Court,irish_jr
P060,Balz v ABP,2019,[2019] IESC 91,Supreme Court,irish_jr
P061,"OBroin, K.",2023,Why is An Bord Pleanala taking so long?,Irish Times,abp_capacity
P062,Housing Commission,2023,Report on Housing Supply and Affordability,Gov of Ireland,abp_capacity
P063,ACP,2025,Quarterly Planning Casework Statistics Q1 2025,An Coimisiun Pleanala,abp_capacity
P064,ACP,2025,Quarterly Planning Casework Statistics Q3 2025,An Coimisiun Pleanala,abp_capacity
P065,DHLGH,2022,Response to Indecon Review,DHLGH,abp_capacity
P066,Oireachtas Committee,2022,Joint Committee on Housing examination of ABP,Oireachtas,abp_capacity
