experiment_id	description	metric	value	ci_lower	ci_upper	n	status	interaction	notes
E00	Headline lapse rate (2014-2019 residential PERMISSION, desc+NRU filter, fuzzy match)	lapse_rate	0.2742	0.2701	0.2782	46073	BASELINE	False	seed=42; exact_match=27964; fuzzy_only=5478
T01	Binomial per-year lapse rate	rate_std	0.1485			46073	TOURNAMENT	False	2014=0.554(n=2164); 2015=0.456(n=2581); 2016=0.477(n=2824); 2017=0.231(n=9154); 2018=0.228(n=14453); 2019=0.235(n=14897)
T02	Logistic regression AUC	AUC_5fold	0.7385	0.7328	0.7441	46073	TOURNAMENT	False	
T03	Cox PH C-index	C_index	0.5948			40671	TOURNAMENT	False	
T04	GBM classifier AUC	AUC_5fold	0.826	0.8219	0.8301	46073	TOURNAMENT	False	
T05	Random forest AUC	AUC_5fold	0.8193	0.8124	0.8262	46073	TOURNAMENT	False	
E01	BCMS exact match rate	exact_match_rate	0.6069			46073	KEEP	False	fuzzy_rate=0.7258; fuzzy_only=5478
E02	Fuzzy-match normalisation gain on lapse rate	delta_lapse	0.1189			46073	KEEP	False	lapse_exact=0.3931; lapse_fuzzy=0.2742
E03	One-off vs multi-unit lapse rate	lapse_rate_multi	0.2731	0.269	0.2772	45311	KEEP	False	one_off_lapse=0.3360(n=762)
E04	Outline Permission lapse rate	lapse_rate_outline	0.3814			451	KEEP	False	Outline not in main PERMISSION cohort
E05	Retention lapse rate	lapse_rate_retention	0.3297			7019	KEEP	False	RETENTION backward-looking
E06	Refused excluded from cohort	refused_count	73.0			73	KEEP	False	Correctly excluded
E07	Dublin vs non-Dublin lapse	lapse_rate_dublin	0.4202	0.4107	0.4297	10332	KEEP	False	nondub=0.2319[0.2276,0.2364](n=35741); delta=0.1882
E08	Pre-2017 vs 2017+ lapse	lapse_rate_pre2017	0.4919	0.4806	0.5031	7569	KEEP	False	post2017=0.2314[0.2272,0.2356](n=38504)
E09	Size-stratified lapse rates	size_rates	0.1927			46073	KEEP	False	0_or_na=0.394(n=27488); 1=0.091(n=16423); 2-4=0.127(n=1461); 5-49=0.163(n=552); 50+=0.188(n=149)
E10	LA top/bottom 5 lapse	la_range	0.2096	0.0	0.5656	30	KEEP	False	LOWEST: Carlow County Council=0.000(n=455); Laois County Council=0.000(n=810); Leitrim County Council=0.000(n=216); Galway City Council=0.000(n=526); Sligo County Council=0.000(n=581) | HIGHEST: Tipperary County Council=0.437(n=1332); Donegal County Council=0.489(n=1942); Dublin City Council=0.492(n=2559); Cork County Council=0.554(n=8512); Cork City Council=0.566(n=1158)
E11	Post-expiry commencements (extension proxy)	post_expiry_share	0.0077			23201	KEEP	False	n_post_expiry=179
E12	2019 vs pre-2019 lapse	lapse_2019	0.235			14897	KEEP	False	pre2019=0.2929(n=31176)
E13	Appealed vs non-appealed lapse	lapse_appealed	0.4017			712	KEEP	False	not_appealed=0.2722(n=45361)
E14	Apartment-heavy LA lapse (≥10 units)	mean_lapse	0.1243			478	KEEP	False	range=[0.000,0.500]
E15	NRU>0 only (2017-2019) lapse rate	lapse_rate_nru	0.0949	0.0907	0.0992	18403	KEEP	False	NumResidentialUnits populated from 2017; cleaner residential filter
E16	Lapse rate excl 2019 (right-censoring)	lapse_2014_2018	0.2929	0.2878	0.2979	31176	KEEP	False	delta_from_E00=0.0187
E17	Weibull AFT fitted	AIC	432309.5			40671	KEEP	False	Weibull AFT converged with penalizer=0.1
E18	Withdrawn excluded	withdrawn_count	5.0			5	KEEP	False	Already excluded from cohort
