experiment_id	description	status	cost_reduction_pct	viability_margin_pct	gross_completions	hard_completions	soft_completions	capacity_ceiling	ceiling_binding	interaction	notes
E00	Baseline: no levers	KEEP	0.0	-3.1	35000	35000	35000	35000	True	False	Calibrated 35k baseline
E01_25	Duration -25%	KEEP	2.77	-0.33	43808	35000	43386	35000	True	False	
E01_33	Duration -33%	KEEP	3.65	0.55	46627	35000	45902	35000	True	False	
E01_50	Duration -50%	KEEP	5.53	2.43	52616	35000	51005	35000	True	False	
E02_10	Modular -10%	KEEP	5.3	2.2	51880	35000	50395	35000	True	False	
E02_20	Modular -20%	KEEP	10.6	7.5	68761	35000	63301	35000	True	False	
E02_30	Modular -30%	KEEP	15.9	12.8	85641	35000	74276	35000	True	False	
E03_v9	VAT 9.0%	KEEP	3.96	0.86	47628	35000	46778	35000	True	False	
E03_v0	VAT 0.0%	KEEP	11.89	8.79	72883	35000	66142	35000	True	False	
E03b	Part V abolished	KEEP	3.88	0.78	47342	35000	46529	35000	True	False	
E03c	Dev contribs zeroed	KEEP	3.0	-0.1	44555	35000	44060	35000	True	False	
E03d	BCAR abolished	KEEP	1.5	-1.6	39778	35000	39651	35000	True	False	
E03e	Land CPO agricultural	KEEP	16.2	13.1	86597	35000	74848	35000	True	False	
E03f	Finance rate 3%	KEEP	6.32	3.22	55133	35000	53056	35000	True	False	
E03g	Developer margin 6%	KEEP	9.0	5.9	63665	35000	59631	35000	True	False	
E03h	Workforce +50%	KEEP	0.0	-3.1	35000	35000	35000	52500	False	False	
E04	Duration-50% + Modular-30%	KEEP	21.43	18.33	103258	35000	84105	35000	True	True	
E05	Duration-50% + VAT 0%	KEEP	17.43	14.33	90500	35000	77136	35000	True	True	
E06	Modular-30% + VAT 0%	KEEP	27.79	24.69	123525	35000	93787	35000	True	True	
E07	Duration-50%+Modular-30%+VAT 0%	KEEP	33.33	30.23	141141	35000	101069	35000	True	True	
E08	Triple + Part V abolished	KEEP	37.2	34.1	153483	35000	105650	35000	True	False	
E09	Triple + CPO agricultural	KEEP	49.53	46.43	192738	35000	117961	35000	True	False	
E10	Politically feasible	KEEP	15.47	12.37	84265	35000	73443	35000	True	False	
E11	Radical but achievable	KEEP	49.22	46.12	191765	35000	117691	35000	True	False	
E12	Everything package	KEEP	70.06	66.96	258144	52500	167810	52500	True	False	
E13	Marginal interaction: workforce largest	KEEP	0.0	-3.1	35000	35000	35000	35000	True	False	Workforce enables all cost levers
E14	45-pair interaction matrix computed	KEEP	0.0	-3.1	35000	35000	35000	35000	True	True	See interaction_matrix.csv
E15	50,500 requires WF >=1.44x	KEEP	0.0	-3.1	35000	35000	35000	50500	False	False	
E16	MC on everything: CI [159903, 174436]	KEEP	70.06	66.96	258144	52500	167810	52500	True	False	
E17	Time-to-target: 2.3-3.0 years	KEEP	0.0	-3.1	35000	35000	35000	35000	True	False	
E18	Absorption: not binding below 60k/yr	KEEP	0.0	-3.1	35000	35000	35000	35000	True	False	
E19	GE: margin compression ~11% at 50.5k	KEEP	0.0	-3.1	35000	35000	35000	35000	True	False	
E20	Pareto frontier: 7 non-dominated 3-lever combos	KEEP	0.0	-3.1	35000	35000	35000	35000	True	False	
