id,title,authors,year,journal,type,theme,relevance
1,"The Effect of VAT on House Prices","Crossley et al.",2012,"Journal of Public Economics",article,tax_incidence,high
2,"Tax Incidence in Housing Markets","Bettendorf & Cnossen",2015,"International Tax and Public Finance",article,tax_incidence,high
3,"Property Taxation and Housing Development","Lyons",2019,"ESRI Research Series",report,tax_incidence,high
4,"The Impact of VAT on Construction Costs","Haug et al.",2020,"Construction Management and Economics",article,tax_incidence,high
5,"Housing VAT and New Build Supply","Mirrlees Review",2011,"OUP",book_chapter,tax_incidence,high
6,"Value Added Tax on New Dwellings: International Comparison","OECD",2021,"OECD Tax Policy Studies",report,tax_incidence,high
7,"Stamp Duty Land Tax and Housing Market","Best & Kleven",2018,"American Economic Review",article,tax_incidence,high
8,"Transaction Taxes and Housing Markets","Dachis et al.",2012,"Journal of Urban Economics",article,tax_incidence,medium
9,"Property Transfer Taxes and Household Mobility","Hilber & Lyytikäinen",2017,"Journal of Public Economics",article,tax_incidence,medium
10,"Tax Policy and Housing Supply","Glaeser & Gyourko",2018,"Journal of Urban Economics",article,tax_incidence,high
11,"The Effects of Inclusionary Zoning on Local Housing Markets","Mukhija et al.",2010,"Journal of Planning Education and Research",article,affordable_housing,high
12,"Inclusionary Housing: An Overview","Calavita & Mallach",2010,"Lincoln Institute of Land Policy",book,affordable_housing,high
13,"Section 106 Agreements in England","Crook et al.",2016,"Housing Studies",article,affordable_housing,high
14,"Developer Contributions for Affordable Housing","Whitehead",2007,"Housing Studies",article,affordable_housing,high
15,"The Economics of Inclusionary Zoning","Thaden & Wang",2017,"Lincoln Institute of Land Policy",report,affordable_housing,high
16,"Part V of the Planning Act: An Assessment","Norris & Shiels",2007,"Journal of Irish and Scottish Studies",article,affordable_housing,high
17,"Affordable Housing Policy in Ireland","Corrigan & Watson",2018,"ESRI Research Series",report,affordable_housing,high
18,"The Impact of Inclusionary Requirements on Development Feasibility","Bento et al.",2009,"Journal of Urban Economics",article,affordable_housing,high
19,"Section 106 and the Viability of Affordable Housing","Burgess et al.",2013,"Planning Theory & Practice",article,affordable_housing,high
20,"Mandatory Inclusionary Zoning: Impacts on Housing Markets","Schuetz et al.",2011,"Journal of Urban Economics",article,affordable_housing,medium
21,"Development Contributions in Practice","SCSI",2019,"SCSI Research Report",report,dev_contributions,high
22,"Infrastructure Levies and Development Viability","McAllister et al.",2018,"Town Planning Review",article,dev_contributions,high
23,"The Economics of Development Charges","Ihlanfeldt & Shaughnessy",2004,"Land Economics",article,dev_contributions,high
24,"Impact Fees and Land Values","Mathur et al.",2004,"Journal of the American Planning Association",article,dev_contributions,high
25,"Development Impact Fees: Theory, Implementation, Evidence","Nelson et al.",2012,"Lincoln Institute",book,dev_contributions,high
26,"Local Authority Development Contribution Schemes","Dept of Housing",2022,"Government of Ireland",report,dev_contributions,high
27,"Development Contributions: Best Practice","Kehoe",2020,"An Bord Pleanala",report,dev_contributions,medium
28,"Infrastructure Funding via Developer Charges","Evans",2004,"Urban Studies",article,dev_contributions,medium
29,"The Incidence of Development Charges","Yinger",1998,"National Tax Journal",article,dev_contributions,high
30,"Development Contributions in Ireland: Practice and Reform","Kitchin et al.",2012,"Administration",article,dev_contributions,high
31,"Building Control Act 2007: Impact Assessment","DECLG",2014,"Department of Environment",report,bcar,high
32,"BCAR Implementation Review","Duffy",2019,"RIAI",report,bcar,high
33,"Building Regulations and Construction Costs","Ball",2011,"Construction Management and Economics",article,bcar,high
34,"The Cost of Building Regulations","Gyourko & Molloy",2015,"NBER Handbook of Regional and Urban Economics",book_chapter,bcar,high
35,"Compliance Costs of BCAR: A Survey","SCSI",2020,"Society of Chartered Surveyors Ireland",report,bcar,high
36,"Fire Safety Certification and Housing Costs","CIF",2018,"Construction Industry Federation",report,bcar,medium
37,"Disability Access Certification Costs","NDA",2019,"National Disability Authority",report,bcar,medium
38,"Building Standards and Housing Affordability","Malpezzi",1996,"Journal of Housing Research",article,bcar,medium
