id,type,authors,year,title,journal,relevance,theme
1,textbook,"Wyatt, P.",2013,"Property Valuation (2nd ed.)","Wiley-Blackwell",Residual method theory and practice,1
2,textbook,"Isaac, D. and O'Leary, J.",2012,"Property Valuation Principles (3rd ed.)","Palgrave Macmillan",Valuation fundamentals including residual method,1
3,textbook,"Baum, A. et al.",2021,"Property Investment Appraisal (4th ed.)","Wiley-Blackwell",Investment appraisal and development economics,1
4,textbook,"Scarrett, D. and Osborn, S.",2014,"Property Valuation: The Five Methods (2nd ed.)","Routledge",Five methods of property valuation,1
5,textbook,"Millington, A.",2013,"An Introduction to Property Valuation (7th ed.)","Routledge",UK property valuation introduction,1
6,textbook,"Ball, M. et al.",1998,"The Economics of Commercial Property Markets","Routledge",Real estate market economics,1
7,textbook,"Harvey, J. and Jowsey, E.",2004,"Urban Land Economics (6th ed.)","Palgrave Macmillan",Urban land markets and pricing,1
8,textbook,"DiPasquale, D. and Wheaton, W.",1996,"Urban Economics and Real Estate Markets","Prentice Hall",Urban economics framework for real estate,1
9,textbook,"McDonald, J. and McMillen, D.",2010,"Urban Economics and Real Estate (2nd ed.)","Wiley",Economic analysis of urban land markets,1
10,textbook,"O'Sullivan, A.",2019,"Urban Economics (9th ed.)","McGraw-Hill",Urban land use and housing markets,1
11,review,"Crosby, N. and Wyatt, P.",2016,"Financial viability appraisals for site-specific planning decisions in England","Environment and Planning C",Critical review of viability in UK planning,2
12,review,"Crosby, N. et al.",2013,"Fit for Planning? An Evaluation of Development Viability Appraisal Models in the UK","Environment and Planning B",Evaluation of viability models in planning,2
13,review,"McAllister, P. et al.",2013,"Viability and the Planning System: The Relationship between Development Viability, Land Values and Affordable Housing","Journal of Property Research",Relationship between viability and affordable housing,2
14,review,"Henneberry, J. and Crosby, N.",2019,"Development viability appraisals: The impact of uncertainty","Journal of Property Research",Uncertainty in viability appraisals,2
15,review,"Coleman, C. et al.",2013,"Planning, Viability and the Provision of Affordable Housing","Planning Practice & Research",Planning viability and affordable housing provision,2
16,review,"Byrne, M.",2020,"Generation rent and the financialization of housing: a comparative exploration","Housing Studies",Housing financialization and affordability,2
17,review,"Norris, M. and Byrne, M.",2015,"A New Political Economy of Housing","Critical Housing Analysis",Political economy of Irish housing,2
18,review,"Kitchin, R. et al.",2012,"Placing Neoliberalism: The Rise and Fall of Ireland's Celtic Tiger","Environment and Planning A",Irish economic boom-bust context,2
19,review,"Honohan, P.",2010,"The Irish Banking Crisis: Regulatory and Financial Stability Policy 2003-2008","Central Bank of Ireland",Irish banking crisis and property market,2
20,review,"Kelly, M.",2009,"The Irish Credit Bubble","UCD Centre for Economic Research WP",Credit-driven property bubble in Ireland,2
21,review,"SCSI",2023,"The Real Cost of New Housing Delivery 2023","SCSI Report",Comprehensive cost breakdown for Irish housing,2
22,review,"Central Bank of Ireland",2023,"Rising Construction Costs and the Residential Real Estate Market","Financial Stability Note",Construction cost impact on housing market,2
23,review,"Housing Commission",2022,"Report on Ireland's Housing System","Government of Ireland",Systemic review of Irish housing,2
24,review,"Lyons, R.",2015,"Housing Supply in Ireland since 1990","National Economic and Social Council",Long-run housing supply dynamics,2
25,review,"RICS",2019,"Assessing Viability in Planning under the NPPF","RICS Guidance Note",Standard guidance for viability assessment,2
26,review,"RICS",2019,"Valuation of Development Property","RICS Guidance Note",Residual method professional standard,2
27,review,"Savills",2024,"Ireland Development Land Market Review","Savills Research",Irish development land market analysis,2
28,review,"CBRE",2024,"Ireland Construction Cost Monitor","CBRE Research",Construction cost benchmarking Ireland,2
29,review,"EY-Euroconstruct",2024,"Ireland Construction Forecast 2024-2027","EY Report",Construction sector outlook,2
30,review,"Cushman & Wakefield",2025,"Irish Living Investor Survey 2025","C&W Report",Residential investment market Ireland,2
31,result,"McQuinn, K. and O'Connell, B.",2024,"Economic Policy Issues in the Irish Housing Market","Central Bank Quarterly Bulletin",Housing supply economics and policy levers,3
32,result,"Duffy, D. et al.",2016,"Property Prices and Mortgage Credit in Ireland","ESRI Research Note",Credit-price nexus in Irish property,3
33,result,"Lyons, R.",2019,"Can Housing Supply Explain Irish Property Prices?","Journal of the Statistical and Social Inquiry Society",Supply constraints and Irish prices,3
34,result,"McCartney, J.",2012,"Short and Long-Run Rent Adjustment in the Dublin Office Market","Journal of Property Research",Dublin commercial property cycles,3
35,result,"Blackwell, J.",1988,"A Review of Housing Policy","National Economic and Social Council",Historical Irish housing policy,3
36,result,"Drudy, P. and Punch, M.",2005,"Out of Reach: Inequalities in the Irish Housing System","TASC New Island",Housing inequality in Ireland,3
37,result,"Norris, M.",2016,"Property, Family and the Irish Welfare State","Palgrave Macmillan",Property ownership as welfare in Ireland,3
38,result,"Kitchin, R. et al.",2015,"Housing in Ireland: From Crisis to Crisis","NIRSA Working Paper",Housing crisis evolution in Ireland,3
39,result,"Byrne, M.",2019,"The political economy of the 'residential turn'","Economy and Society",Institutional investment in Irish housing,3
40,result,"Roche, M.",2001,"The Rise in House Prices in Dublin","Economic and Social Review",Dublin house price drivers,3
41,result,"Kenny, G.",1999,"Modelling the Demand and Supply Sides of the Housing Market","Economic Modelling",Housing demand-supply model Ireland,3
