id,title,authors,year,venue,doi_or_url,category,relevance_notes
1,"Indoor radon and its control",Nero A.V. & Nazaroff W.W.,1988,Atmospheric Environment,10.1016/0004-6981(88)90002-3,textbook,Foundational radon transport physics — diffusion and advection through soil
2,"WHO handbook on indoor radon: a public health perspective",WHO,2009,World Health Organization,https://www.who.int/publications/i/item/9789241547673,textbook,Reference levels worldwide; 100 Bq/m3 recommended; measurement methods
3,"ICRP Publication 126: Radiological Protection against Radon Exposure",ICRP,2014,Annals of the ICRP,10.1177/0146645314542212,textbook,Dose conversion; lung cancer risk coefficients; reference level rationale
4,"Radon in dwellings: an overview of geological controls",Appleton J.D.,2007,Earth-Science Reviews,10.1016/j.earscirev.2007.01.001,textbook,Comprehensive review of geology-radon relationships; bedrock permeability
5,"Radon: a tracer for geological applications",Tanner A.B.,1964,Natural Radiation Environment,ISBN-0226803147,textbook,Early radon transport theory; emanation coefficient; soil gas migration
6,"Soil gas radon: a tool for exploring active faults and geological hazards",Al-Tamimi M.H. & Abumurad K.M.,2001,Radiation Measurements,10.1016/S1350-4487(01)00108-3,textbook,Radon as geological tracer; fault-line correlations
7,"The geology of radon",Ball T.K. et al.,1991,Viewpoint Geology,ISBN-0117430137,textbook,BGS overview of UK radon-geology relationships
8,"Radon in homes in Ireland: results of a national survey",Fennell S.G. et al.,2002,Journal of Radiological Protection,10.1088/0952-4746/22/3A/336,irish_radon,First comprehensive national radon survey; county-level statistics; 91 Bq/m3 average
9,"Indoor radon in Ireland: a national reference level of 200 Bq/m3",McLaughlin J.P.,2012,Journal of Radiological Protection,10.1088/0952-4746/32/1/N25,irish_radon,Justification of the 200 Bq/m3 Irish reference level
10,"Mapping radon-prone areas using regression modelling of geological factors",Appleton J.D. & Miles J.C.H.,2010,Journal of Radiological Protection,10.1088/0952-4746/30/1/003,geology_radon,Regression of indoor radon on geology; UK HPA method
11,"Radon risk mapping: the role of geology",Scheib C. et al.,2009,Proceedings of the Geologists Association,10.1016/j.pgeola.2009.08.001,geology_radon,BGS radon potential mapping methodology using Tellus-type data
12,"Predicting indoor radon concentration using GIS-based techniques",Elío J. et al.,2017,Environmental Earth Sciences,10.1007/s12665-017-6607-7,ml_radon,Machine learning for radon prediction using geological and soil data in Spain
