exp_id	description	model_family	n_features	cv_auc_mean	cv_auc_std	cv_f1_mean	cv_f1_std	cv_precision_mean	cv_recall_mean	holdout_auc	holdout_f1	holdout_precision	holdout_recall	notes
E00	Baseline: XGBoost on raw Tellus radiometric + geology + coords	xgboost	8	0.5908806927828925	0.04748027717916145	0.2595513073741565	0.059085135154554894	0.36008575198882	0.2043261944585056	0.5108653793255213	0.3231707317073171	0.3271604938271605	0.3192771084337349	Phase 0.5 baseline
T01	Tournament: xgboost	xgboost	8	0.5908806927828925	0.04748027717916145	0.2595513073741565	0.059085135154554894	0.36008575198882	0.2043261944585056	0.5108653793255213	0.3231707317073171	0.3271604938271605	0.3192771084337349	Phase 1 tournament (5.0s)
T02	Tournament: lightgbm	lightgbm	8	0.5873347711966159	0.042925768413704886	0.26556643205856034	0.056547068618816115	0.3528841967888226	0.2142232563656401	0.5002613192496012	0.30538922155688625	0.30357142857142855	0.3072289156626506	Phase 1 tournament (0.5s)
T03	Tournament: extratrees	extratrees	8	0.5819893726935124	0.06276742192326575	0.04891710981722931	0.028836357261724895	0.5061951561951562	0.02706876513006129	0.5055564724652033	0.21052631578947367	0.5116279069767442	0.13253012048192772	Phase 1 tournament (2.6s)
T04	Tournament: ridge	ridge	8	0.5846920501358769	0.0506830766094678	0.1524876010248196	0.09675165033388829	0.44928535980148887	0.10241023685289286	0.5846949441602024	0.36101083032490977	0.45045045045045046	0.30120481927710846	Phase 1 tournament (0.1s)
E01	Add eU/eTh ratio (uranium enrichment indicator)	xgboost	9	0.5928107152841605	0.05307039405236252	0.26653477390694347	0.06826342012686165	0.36518250068250063	0.21167569039160222	0.510700335588931	0.31419939577039274	0.3151515151515151	0.3132530120481928	 (5.2s) KEEP
E02	Add total dose rate (composite radiometric)	xgboost	10	0.5936866408787567	0.04742331864412118	0.25947822123168857	0.0529802808585391	0.3599087201902288	0.2054108551067686	0.5179209990647522	0.338368580060423	0.3393939393939394	0.3373493975903614	 (5.2s) KEEP
E03	Add log(eU) transform	xgboost	11	0.595386797574129	0.05062005343589239	0.2586841112234387	0.05868638398311912	0.3497690863160326	0.20620492971700202	0.5248803432909721	0.34055727554179566	0.3503184713375796	0.3313253012048193	 (5.9s) KEEP
E04	Add quaternary permeability ordinal	xgboost	12	0.725789901039489	0.018314319361761682	0.3585629653909941	0.04854185078384613	0.4962200019850438	0.2823446947391804	0.7318726962645101	0.36293436293436293	0.5053763440860215	0.28313253012048195	 (5.9s) KEEP
E05	Add is_granite binary indicator	xgboost	13	0.724161815097861	0.020476694591997507	0.3476136090589795	0.05581814969206049	0.49049334336076367	0.2713145138925419	0.7293557792815096	0.37065637065637064	0.5161290322580645	0.2891566265060241	 (6.0s) REVERT
