exp_id	Re	N	T_final	energy_initial	energy_final	energy_ratio	enstrophy_peak	enstrophy_peak_time	max_vorticity_peak	max_vorticity_peak_time	dissipation_peak	dissipation_peak_time	max_strain_peak	max_strain_peak_time	E_kmax_at_peak	bkm_integral	vorticity_growth_rate	vorticity_growth_rate_time
E00	1600	128	20.0	31.006277	5.292398	0.170688	2730.252915	8.900	43.963782	8.711	3.412816	8.900	29.285313	8.711	3.41e-02	366.557255	2.143572	6.268
H001	10000	128	10.0	18.219000	17.933742	0.984343	145.632949	0.000	10.017509	3.700	0.029127	0.000	4.497519	0.201	3.15e-32	97.059762	0.128964	5.657
H002	50000	128	10.0	18.219000	18.161018	0.996818	145.632949	0.000	10.151604	4.006	0.005825	0.000	4.499280	0.201	3.15e-32	98.564790	0.137084	5.651
H003	100000	128	10.0	18.219000	18.189942	0.998405	145.632949	0.000	10.170434	4.005	0.002913	0.000	4.499501	0.201	3.15e-32	98.774943	0.120357	8.458
H004	inf	128	10.0	18.219000	18.219000	1.000000	145.632949	0.000	10.189363	4.004	0.000000	0.000	4.499721	0.201	3.15e-32	98.974104	0.128348	8.454
H005	50000	128	10.0	1.175838	1.161488	0.987796	36.408237	0.000	9.957520	2.160	0.001456	0.000	4.496304	0.200	3.48e-19	95.393155	0.375024	1.975
H031	10000	128	10.0	93.018830	11.386022	0.122406	85428.479528	4.110	110.242668	2.106	17.085696	4.110	81.388098	4.610	1.51e+00	579.279168	3.677901	4.756
H032	50000	128	10.0	93.018830	57.666402	0.619943	131885.390976	4.901	122.867298	6.005	5.275416	4.901	99.663493	4.807	2.15e+00	836.926829	3.025392	1.255
H033	100000	128	10.0	93.018830	72.927301	0.784006	146370.808669	5.906	152.704691	6.606	2.927416	5.906	104.464265	3.400	2.74e+00	905.926028	3.037489	1.255
H034	inf	128	10.0	93.018830	93.003313	0.999833	170213.846183	7.900	195.020677	3.602	0.000000	0.000	109.556472	3.705	3.05e+00	938.588005	7.237706	3.554
H035	100000	128	10.0	93.043309	73.874655	0.793981	147352.049108	5.902	142.775380	2.151	2.947041	5.902	94.710050	2.103	2.91e+00	985.459383	3.327286	1.081
H036	50000	128	10.0	9.986058	6.873739	0.688334	10165.489033	4.902	137.321758	2.402	0.406620	4.902	95.013383	1.803	2.04e-01	687.196918	2.421069	0.454
H037	100000	128	10.0	9.986058	8.200608	0.821206	11564.746070	7.207	141.864216	1.903	0.231295	7.207	102.432182	1.803	2.21e-01	721.047179	2.433713	0.454
H038	50000	128	10.0	142.342457	87.099023	0.611898	179551.517720	4.301	275.758271	2.103	7.182061	4.301	199.550781	4.004	3.59e+00	1673.706275	4.798069	0.452
H039	100000	128	10.0	142.342457	110.686350	0.777606	198657.937201	5.601	289.510998	1.800	3.973159	5.601	213.535130	1.602	3.92e+00	1725.308346	4.809084	0.452
H041	inf	64	10.0	93.018830	93.018576	0.999997	44363.941629	8.103	100.006039	9.853	0.000000	0.000	39.880245	6.509	4.33e+00	466.786340	6.036804	9.678
R01	100000	64	5.0	142.342457	138.693719	0.974366	58030.863933	5.000	133.413950	1.704	1.160617	5.000	68.143137	3.701	9.48e+00	475.501710	2.564494	0.350
R02	100000	128	5.0	142.342457	130.092602	0.913941	198239.256204	5.000	289.510998	1.800	3.964785	5.000	213.535130	1.602	3.95e+00	977.137338	4.809084	0.452
R03	100000	256	5.0	142.342457	104.453618	0.733819	590594.660778	3.600	656.242376	2.201	11.811893	3.600	390.734159	2.602	1.47e+00	1948.168069	6.416892	0.750
R04	inf	64	5.0	93.018830	93.015370	0.999963	40888.560324	5.000	66.532568	3.709	0.000000	0.000	39.806714	3.815	6.70e+00	178.235525	2.315514	3.554
R05	inf	128	5.0	93.018830	93.006621	0.999869	157304.403651	5.000	195.020677	3.602	0.000000	0.000	109.556472	3.705	2.77e+00	362.095053	7.237706	3.554
R06	inf	256	5.0	93.018830	92.990196	0.999692	587598.103465	5.000	298.277392	2.203	0.000000	0.000	172.454971	4.901	1.39e+00	731.072402	6.795564	1.952
T01	3200	128	20.0	31.006277	4.396914	0.141807	6228.193439	9.402	55.353616	8.508	3.892621	9.402	39.939894	8.412	1.18e-01	409.390478	2.817652	6.157
T02	6400	128	20.0	31.006277	4.261911	0.137453	12846.709786	9.117	56.300677	7.005	4.014597	9.117	35.798395	6.005	2.43e-01	489.643837	2.192616	12.151
T03	12800	128	10.0	31.006277	21.153162	0.682222	20680.862300	9.607	74.199049	9.000	3.231385	9.607	62.474737	6.805	4.16e-01	304.105422	2.400437	9.856
T04	25600	128	10.0	31.006277	24.690496	0.796306	29005.371447	10.000	77.079812	8.509	2.266045	10.000	71.174507	8.509	5.47e-01	320.652829	3.305129	6.661
T05	inf	128	20.0	31.006277	30.999746	0.999789	53698.204467	20.000	87.486241	16.605	0.000000	0.000	72.710555	11.706	1.08e+00	1058.536726	2.758370	6.262
V01	1000	128	5.0	142.342457	46.252074	0.324935	21862.125754	2.303	212.923671	1.401	43.724252	2.303	143.618303	1.801	4.19e-01	542.613262	4.352646	0.452
V02	10000	128	5.0	142.342457	68.888588	0.483964	117912.229542	2.702	258.405677	1.801	23.582446	2.702	164.014119	1.801	2.36e+00	835.328443	4.905687	0.451
V03	500000	128	5.0	142.342457	139.729454	0.981643	216472.802563	5.000	306.240908	1.702	0.865891	5.000	274.175816	2.100	4.22e+00	999.672651	4.817851	0.452
V04	inf	128	5.0	142.342457	142.304202	0.999731	221209.753581	5.000	305.425164	1.900	0.000000	0.000	200.762346	1.502	4.37e+00	1010.655143	4.820038	0.452
