experiment	model	mae	rmse	r2	n_rows	mae_std
E00_baseline	ExtraTrees	22563.7116320153	40053.60782024449	0.0571970164707582	186.0	
T01_Ridge	Ridge	17383.627932262927	29804.46889465367	0.4779640155521838	186.0	
T01_RandomForest	RandomForest	21793.981238587447	37881.60757322045	0.1566759856087619	186.0	
T01_ExtraTrees	ExtraTrees	22563.711632015293	40053.60782024449	0.0571970164707584	186.0	
T01_XGBoost	XGBoost	22567.3353967654	42363.27852105558	-0.0546704839200935	186.0	
T01_GBR	GBR	24326.03088243316	44708.61369114732	-0.1746813485089842	186.0	
R01_3fold		21581.096618265576	37585.87070948173	0.1697920326984798		
R01_5fold		22563.7116320153	40053.60782024449	0.0571970164707584		
R01_10fold		22470.529445430708	40352.6810134557	0.0430649662789993		
R02_seed_sensitivity		22040.62236038899				269.5712069904136
R03_pre_only		25011.743440770413	44587.79294885139	0.0364203812285796		
R04_temporal_cv		13748.93513618953		0.24861487975499796		
