id,title,authors,year,venue,doi_or_url,theme,notes
1,Traffic jams without bottlenecks—experimental evidence for the physical mechanism of the formation of a jam,"Sugiyama Y., Fukui M., Kikuchi M., Hasebe K., Nakayama A., Nishinari K., Tadaki S., Yukawa S.",2008,New Journal of Physics 10:033001,10.1088/1367-2630/10/3/033001,Ring-road experiments,"Canonical experimental demonstration of a phantom jam on a 230 m circular track. 22 drivers, target 30 km/h; bunching formed spontaneously and propagated backward. This is the existence proof that the instability is driver-intrinsic, not infrastructure-intrinsic."
2,Phase transition in traffic jam experiment on a circuit,"Tadaki S., Kikuchi M., Fukui M., Nakayama A., Nishinari K., Shibata A., Sugiyama Y., Yamada T., Yukawa S.",2013,New Journal of Physics 15:103034,10.1088/1367-2630/15/10/103034,Ring-road experiments,"Follow-up to Sugiyama 2008 with more participants and larger tracks; confirms the free→jammed transition is a dynamical phase transition and estimates critical density on a ring."
3,Quantitative explanation of circuit experiments and real traffic using the optimal velocity model,"Nakayama A., Fukui M., Kikuchi M., Hasebe K., Nishinari K., Sugiyama Y., Tadaki S., Yukawa S.",2016,New Journal of Physics 18:043040,10.1088/1367-2630/18/4/043040,Ring-road experiments,"Reconciles the Bando OV model with the Sugiyama/Tadaki ring data; estimates V(gap) from measured trajectories."
4,Dissipation of stop-and-go waves via control of autonomous vehicles: Field experiments,"Stern R.E., Cui S., Delle Monache M.L., Bhadani R., Bunting M., Churchill M., Hamilton N., Haulcy R., Pohlmann H., Wu F., Piccoli B., Seibold B., Sprinkle J., Work D.B.",2018,Transportation Research Part C 89:205-221,10.1016/j.trc.2018.02.005,Ring-road experiments,"First AV stabilization demo on a Sugiyama-style ring road: a single controlled vehicle among 21 human drivers eliminated stop-and-go waves, reduced fuel ~40%, increased throughput ~15%. This is the foundational mixed-autonomy field result."
5,"Stabilizing traffic flow via a single autonomous vehicle: Possibilities and limitations","Cui S., Seibold B., Stern R.E., Work D.B.",2017,IEEE Intelligent Vehicles Symposium pp.1336-1341,10.1109/IVS.2017.7995897,Controllers,"Introduces FollowerStopper and PI-with-saturation controllers. Proves stabilizability conditions for a single controlled vehicle on a ring under OV-type human drivers."
6,Flow: A Modular Learning Framework for Mixed Autonomy Traffic,"Wu C., Kreidieh A.R., Parvate K., Vinitsky E., Bayen A.M.",2022,IEEE Transactions on Robotics 38(2):1270-1286,10.1109/TRO.2021.3087314,RL / Flow framework,"Published Flow paper. Framework couples SUMO/Aimsun with RL. Reports up to 40% improvement with 5-10% AV penetration on ring and bottleneck benchmarks."
7,Flow: A Modular Learning Framework for Mixed Autonomy Traffic (arXiv preprint),"Wu C., Kreidieh A.R., Parvate K., Vinitsky E., Bayen A.M.",2017,arXiv:1710.05465,https://arxiv.org/abs/1710.05465,RL / Flow framework,"Earlier arXiv version of the Flow paper; first large-scale description of the framework."
8,Benchmarks for reinforcement learning in mixed-autonomy traffic,"Vinitsky E., Kreidieh A., Le Flem L., Kheterpal N., Jang K., Wu C., Wu F., Liaw R., Liang E., Bayen A.M.",2018,Proceedings of the 2nd Conference on Robot Learning (CoRL) PMLR 87:399-409,https://proceedings.mlr.press/v87/vinitsky18a.html,RL / Flow framework,"Four mixed-autonomy benchmarks: ring, figure-8, merge, bottleneck. Standard comparison surface for RL traffic controllers."
9,Dissipating stop-and-go waves in closed and open networks via deep reinforcement learning,"Kreidieh A.R., Wu C., Bayen A.M.",2018,IEEE ITSC 2018 pp.1475-1480,10.1109/ITSC.2018.8569485,RL / Flow framework,"Reports near-complete wave dissipation at 10% CAV penetration in open networks; measurable suppression at 2.5%. Key evidence for low minimum penetration rate."
10,Emergent behaviors in mixed-autonomy traffic,"Wu C., Kreidieh A., Vinitsky E., Bayen A.M.",2017,Proceedings of the 1st Conference on Robot Learning (CoRL) PMLR 78:398-407,https://proceedings.mlr.press/v78/wu17a.html,RL / Flow framework,"A single RL-trained AV on a Sugiyama ring eliminates waves and learns to use a smaller safe distance than humans, exceeding theoretical equilibrium velocity."
