exp_id	description	controller	n_smart	penetration	wave_amp_ms	vel_var_ms	throughput_vph	fuel_ml_km	min_spacing_m	notes
E00	All-IDM baseline	IDM	0	0.000	8.17	2.89	1039.4	130.65	1.79	canonical Sugiyama config
T01	IDM 4.5% (1/22)	IDM	1	0.045	7.15	2.6	1069.5	126.09	1.79	equally spaced
T02	IDM 18.2% (4/22)	IDM	4	0.182	8.08	2.87	1042.7	130.01	1.76	equally spaced
T03	FollowerStopper 4.5% (1/22)	FollowerStopper	1	0.045	8.28	2.86	863.8	132.44	1.77	equally spaced
T04	FollowerStopper 18.2% (4/22)	FollowerStopper	4	0.182	4.44	1.67	529.4	119.98	1.78	equally spaced
T05	PIWithSaturation 4.5% (1/22)	PIWithSaturation	1	0.045	8.77	3.05	912.8	135.41	1.77	equally spaced
T06	PIWithSaturation 18.2% (4/22)	PIWithSaturation	4	0.182	30.13	15.77	3962.8	122.85	0.01	equally spaced
T07	ACC 4.5% (1/22)	ACC	1	0.045	7.45	2.63	1008.5	126.47	1.79	equally spaced
T08	ACC 18.2% (4/22)	ACC	4	0.182	0.55	0.16	930.4	107.55	4.08	equally spaced
T09	ConstantVelocity 4.5% (1/22)	ConstantVelocity	1	0.045	0.46	0.13	2725.6	108.57	9.31	equally spaced
T10	ConstantVelocity 18.2% (4/22)	ConstantVelocity	4	0.182	0.33	0.08	2747.8	107.31	9.42	equally spaced
T11	All-FollowerStopper 100% (22/22)	FollowerStopper	22	1.000	0.0	0.0	7.6	100.0	5.12	ceiling check: can wave be fully suppressed?
T12	All-ACC 100% (22/22)	ACC	22	1.000	0.0	0.0	283.2	100.0	5.45	ceiling check: can wave be fully suppressed?
H001	FS 1/22 (4.5%)	FollowerStopper	1	0.045	8.28	2.86	863.8	132.44	1.77	 | REVERT (best=0.55)
H002	FS 2/22 (9.1%)	FollowerStopper	2	0.091	5.46	1.78	754.0	122.19	1.83	 | REVERT (best=0.55)
H003	FS 3/22 (13.6%)	FollowerStopper	3	0.136	5.0	1.87	644.9	120.96	1.83	 | REVERT (best=0.55)
H004	FS 4/22 (18.2%)	FollowerStopper	4	0.182	4.44	1.67	529.4	119.98	1.78	 | REVERT (best=0.55)
H005	FS 6/22 (27.3%)	FollowerStopper	6	0.273	0.29	0.07	310.8	106.42	2.54	 | REVERT (best=0.55)
H006	FS 8/22 (36.4%)	FollowerStopper	8	0.364	0.23	0.06	185.0	105.51	2.29	 | REVERT (best=0.55)
H007	FS 11/22 (50.0%)	FollowerStopper	11	0.500	0.2	0.04	84.1	104.1	2.04	 | REVERT (best=0.55)
H008	FS 22/22 (100.0%)	FollowerStopper	22	1.000	0.0	0.0	7.6	100.0	5.12	 | KEEP (best=0.00)
H009	IDM smart 1/22 (control)	IDM	1	0.045	7.15	2.6	1069.5	126.09	1.79	 | REVERT (best=0.00)
H010	IDM smart 4/22 (control)	IDM	4	0.182	8.08	2.87	1042.7	130.01	1.76	 | REVERT (best=0.00)
H011	PI 1/22 (4.5%)	PIWithSaturation	1	0.045	8.77	3.05	912.8	135.41	1.77	 | REVERT (best=0.00)
H012	PI 4/22 (18.2%)	PIWithSaturation	4	0.182	30.13	15.77	3962.8	122.85	0.01	 | REVERT (best=0.00)
H013	ACC 1/22 (4.5%)	ACC	1	0.045	7.45	2.63	1008.5	126.47	1.79	 | REVERT (best=0.00)
H014	ACC 4/22 (18.2%)	ACC	4	0.182	0.55	0.16	930.4	107.55	4.08	 | REVERT (best=0.00)
H015	ConstVel 1/22 (4.5%)	ConstantVelocity	1	0.045	0.46	0.13	2725.6	108.57	9.31	 | REVERT (best=0.00)
H016	ConstVel 4/22 (18.2%)	ConstantVelocity	4	0.182	0.33	0.08	2747.8	107.31	9.42	 | REVERT (best=0.00)
H017	FS v_des=8 4/22	FollowerStopper	4	0.182	0.32	0.08	381.1	107.19	2.71	 | REVERT (best=0.00)
H018	FS v_des=5 4/22	FollowerStopper	4	0.182	0.3	0.07	293.0	107.13	2.48	 | REVERT (best=0.00)
H019	FS v_des=25 4/22	FollowerStopper	4	0.182	8.44	2.72	628.2	137.23	1.79	 | REVERT (best=0.00)
H020	FS s_st=2 4/22	FollowerStopper	4	0.182	3.6	1.43	610.4	115.38	1.85	 | REVERT (best=0.00)
H021	FS s_st=8 4/22	FollowerStopper	4	0.182	4.64	1.67	445.1	122.34	1.79	 | REVERT (best=0.00)
H022	FS s_go=20 4/22	FollowerStopper	4	0.182	6.7	2.27	719.8	136.25	0.62	 | REVERT (best=0.00)
H023	FS s_go=50 4/22	FollowerStopper	4	0.182	0.3	0.08	345.7	107.17	2.62	 | REVERT (best=0.00)
H024	FS k_v=0.2 4/22	FollowerStopper	4	0.182	0.37	0.1	3963.8	107.77	16.42	 | REVERT (best=0.00)
H025	FS k_v=1.0 4/22	FollowerStopper	4	0.182	0.42	0.11	508.1	107.35	3.01	 | REVERT (best=0.00)
H026	FS k_v=2.0 4/22	FollowerStopper	4	0.182	0.37	0.09	507.3	107.33	3.04	 | REVERT (best=0.00)
H027	PI k_p=0.1 4/22	PIWithSaturation	4	0.182	62.96	18.01	11039.9	133.2	0.01	 | REVERT (best=0.00)
H028	PI k_p=0.8 4/22	PIWithSaturation	4	0.182	6.57	2.33	836.2	126.49	1.78	 | REVERT (best=0.00)
H029	PI k_i=0.005 4/22	PIWithSaturation	4	0.182	6.66	2.32	746.6	133.84	0.18	 | REVERT (best=0.00)
H030	PI k_i=0 4/22	PIWithSaturation	4	0.182	6.06	2.16	763.0	133.25	1.73	 | REVERT (best=0.00)
