id	timestamp	timescale_s	amplitude	T	elapsed_s	mse_pf	mse_sw	mse_bay	mse_per	pf_strict_win	status	note
E01_synthetic_0	2026-04-21T12:39:32.129667+00:00	0.01	0.05	2000	7.9462	1.8307e-08	4.7804e-07	8.4938e-08	1.1773e-11	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_1	2026-04-21T12:39:32.129667+00:00	0.01	0.1	2000	8.0163	3.0148e-08	4.7799e-07	8.4895e-08	4.7277e-11	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_2	2026-04-21T12:39:32.129667+00:00	0.01	0.2	2000	8.0701	1.2915e-07	4.8428e-07	8.7295e-08	1.9240e-10	False	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_3	2026-04-21T12:39:32.129667+00:00	0.01	0.5	2000	8.0498	9.8604e-06	4.6867e-07	8.9358e-08	1.3558e-09	False	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_4	2026-04-21T12:39:32.129667+00:00	1	0.05	2000	8.1502	1.5502e-08	4.7818e-07	8.4910e-08	6.7053e-16	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_5	2026-04-21T12:39:32.129667+00:00	1	0.1	2000	8.0933	1.5502e-08	4.7818e-07	8.4910e-08	2.6812e-15	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_6	2026-04-21T12:39:32.129667+00:00	1	0.2	2000	8.0653	1.5504e-08	4.7818e-07	8.4907e-08	1.0770e-14	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_7	2026-04-21T12:39:32.129667+00:00	1	0.5	2000	8.1894	1.5515e-08	4.7821e-07	8.4884e-08	7.0797e-14	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_8	2026-04-21T12:39:32.129667+00:00	60	0.05	2000	8.2363	1.6524e-08	4.7817e-07	8.4910e-08	7.2949e-21	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_9	2026-04-21T12:39:32.129667+00:00	60	0.1	2000	8.1238	1.6524e-08	4.7817e-07	8.4910e-08	2.9174e-20	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_10	2026-04-21T12:39:32.129667+00:00	60	0.2	2000	8.2030	1.6524e-08	4.7817e-07	8.4910e-08	1.1666e-19	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_11	2026-04-21T12:39:32.129667+00:00	60	0.5	2000	8.0676	1.6524e-08	4.7817e-07	8.4910e-08	7.2923e-19	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_12	2026-04-21T12:39:32.129667+00:00	600	0.05	2000	8.0799	1.6566e-08	4.7817e-07	8.4910e-08	7.4250e-24	True	KEEP	Phase1_E01_synthetic_drift_sweep
E01_synthetic_13	2026-04-21T12:39:32.129667+00:00	600	0.1	2000	8.2116	1.6566e-08	4.7817e-07	8.4910e-08	2.9698e-23	True	KEEP	Phase1_E01_synthetic_drift_sweep
