id	timestamp	code	distance	noise	p	shots	seed	H_rows	H_cols	cpu_bposd_us	gpu_bposd_us	gpu_over_cpu	status	note
E00_d3	2026-04-21T07:37:32.067568	surface_code	3	code_capacity	0.05	1000	42	8	9	3.78	152.33	40.288	KEEP	Phase0.5_E00_code_capacity_surface_RTX3060_BPOSD_CPUvsGPU
E00_d5	2026-04-21T07:37:32.067593	surface_code	5	code_capacity	0.05	1000	42	24	25	8.90	170.39	19.140	KEEP	Phase0.5_E00_code_capacity_surface_RTX3060_BPOSD_CPUvsGPU
E00_d7	2026-04-21T07:37:32.067600	surface_code	7	code_capacity	0.05	1000	42	48	49	19.41	195.52	10.072	KEEP	Phase0.5_E00_code_capacity_surface_RTX3060_BPOSD_CPUvsGPU
E00_d9	2026-04-21T07:37:32.067605	surface_code	9	code_capacity	0.05	1000	42	80	81	37.22	258.16	6.937	KEEP	Phase0.5_E00_code_capacity_surface_RTX3060_BPOSD_CPUvsGPU
E00_d11	2026-04-21T07:37:32.067610	surface_code	11	code_capacity	0.05	1000	42	120	121	60.87	343.44	5.642	KEEP	Phase0.5_E00_code_capacity_surface_RTX3060_BPOSD_CPUvsGPU
E00_d13	2026-04-21T07:37:32.067614	surface_code	13	code_capacity	0.05	1000	42	168	169	100.13	257.94	2.576	KEEP	Phase0.5_E00_code_capacity_surface_RTX3060_BPOSD_CPUvsGPU
E00_azure_gate_ns_e3	2026-04-21T07:43:11.302770	shor_rsa_2048	31	azure_gate_ns_e3	NA	NA	42	24648888	40.734	12400	0	NA	KEEP	Phase0.5_E00_azure_RSA2048_Gidney-Ekera2021
E00_azure_gate_ns_e4	2026-04-21T07:43:11.302783	shor_rsa_2048	15	azure_gate_ns_e4	NA	NA	42	5792800	19.710	6000	0	NA	KEEP	Phase0.5_E00_azure_RSA2048_Gidney-Ekera2021
E00_azure_gate_us_e3	2026-04-21T07:43:11.302787	shor_rsa_2048	31	azure_gate_us_e3	NA	NA	42	24388328	61101.000	18600000	0	NA	KEEP	Phase0.5_E00_azure_RSA2048_Gidney-Ekera2021
E00_azure_gate_us_e4	2026-04-21T07:43:11.302790	shor_rsa_2048	15	azure_gate_us_e4	NA	NA	42	5721360	29565.000	9000000	0	NA	KEEP	Phase0.5_E00_azure_RSA2048_Gidney-Ekera2021
E00_azure_maj_ns_e4	2026-04-21T07:43:11.302792	shor_rsa_2048	17	azure_maj_ns_e4	NA	NA	42	16578816	16.753	5100	0	NA	KEEP	Phase0.5_E00_azure_RSA2048_Gidney-Ekera2021
E00_azure_maj_ns_e6	2026-04-21T07:43:11.302795	shor_rsa_2048	9	azure_maj_ns_e6	NA	NA	42	5014592	8.870	2700	0	NA	KEEP	Phase0.5_E00_azure_RSA2048_Gidney-Ekera2021
E01_BB_iter30_p0.01	2026-04-21T07:45:33.710664	BB_144_12_12	12	code_capacity	0.01	500	42	144	144	40.54	198.58	4.898	KEEP	Phase1_E01_BB_144_code_capacity_RTX3060_BPOSD_iter30
E01_BB_iter100_p0.01	2026-04-21T07:45:33.710685	BB_144_12_12	12	code_capacity	0.01	500	42	144	144	39.66	192.58	4.856	KEEP	Phase1_E01_BB_144_code_capacity_RTX3060_BPOSD_iter100
E01_BB_iter30_p0.05	2026-04-21T07:45:33.710691	BB_144_12_12	12	code_capacity	0.05	500	42	144	144	115.66	310.59	2.685	KEEP	Phase1_E01_BB_144_code_capacity_RTX3060_BPOSD_iter30
E01_BB_iter100_p0.05	2026-04-21T07:45:33.710695	BB_144_12_12	12	code_capacity	0.05	500	42	144	144	119.87	305.53	2.549	KEEP	Phase1_E01_BB_144_code_capacity_RTX3060_BPOSD_iter100
E02_BB_circuit_SI1000_p0.001	2026-04-21T07:50:13.548126	BB_144_12_12	12	SI1000_circuit	0.001	300	42	936	10512	541984.66	3705.13	0.007	KEEP	Phase1_E02_BB_144_circuit_level_SI1000_rounds12
E03_surface_d12_circuit_1patch	2026-04-21T07:51:51.036434	surface_d12	12	SI1000_circuit	0.001	300	42	1715	37268	23.52	0.00	0.000	KEEP	Phase1_E03_surface_d12_CPU_PyMatching_1patch
E03_surface_d12_matched12	2026-04-21T07:51:51.036434	surface_12patch	12	SI1000_circuit_matched	0.001	300	42	20580	447216	282.21	0.00	0.000	KEEP	Phase1_E03_surface_matched_12patch_CPU_PyMatching
E04_BB_energy	2026-04-21T07:53:23.020148	BB_144_12_12	12	SI1000_circuit	0.001	300	42	936	10512	0.00	3710.05	0.0000	KEEP	Phase1_E04_BB_GPU_BPOSD_energy_mJ_per_shot
E04_surface_matched12_energy	2026-04-21T07:53:23.020148	surface_12patch	12	SI1000_circuit	0.001	300	42	0	0	226.66	0.00	1.8417	KEEP	Phase1_E04_12xsurface_CPU_MWPM_energy_mJ_per_shot
E05_BB_GPU_default	2026-04-21T08:08:47.523210+00:00	BB_144_12_12	12	SI1000_circuit	0.001	300	42	936	10512	0.00	3694.53	0.0000	KEEP	Phase2_E05_BB_GPU_BPOSD_default_iter_gross_mJ
E05_surface_d17_12patch	2026-04-21T08:08:47.523210+00:00	surface_d17_12patch	17	SI1000_circuit	0.001	300	42	1872	13149	187.75	0.00	0.0000	KEEP	Phase2_E05_surface_d17_12patch_CPU_MWPM_measured
