id,authors,year,title,journal,theme,relevance,notes
1,"Medina, R. M. et al.",2023,"An environmental analysis of public UAP sightings and sky view potential",Scientific Reports,spatial_analysis,high,"Bayesian regression on 98k NUFORC sightings; light pollution + cloud cover + military proximity"
2,"Cho, H. & Goh, Y.",2022,"On the dynamics of reporting data: A case study of UFO sightings",Physica A,reporting_bias,high,"41% at round hours; media sensitivity; day vs night reporting mechanisms"
3,"Hynek, J. A.",1972,"The UFO Experience: A Scientific Inquiry",Henry Regnery,classification,high,"Original CE-I/II/III classification; nocturnal lights; daylight discs"
4,"Vallée, J.",1990,"Confrontations: A Scientist's Search for Alien Contact",Ballantine Books,classification,high,"Extended Hynek CE-IV/V; high-strangeness; SVP credibility rating"
5,"Vallée, J.",1969,"Passport to Magonia: On UFOs Folklore and Parallel Worlds",Henry Regnery,classification,medium,"Historical pattern analysis; folklore parallels"
6,"COMETA",1999,"UFOs and Defense: What Should We Prepare For?",IHEDN,government_study,medium,"French military think-tank; 5% unexplained; extraterrestrial hypothesis"
7,"Condon, E. U.",1968,"Scientific Study of Unidentified Flying Objects",Univ. Colorado / Bantam,government_study,high,"Colorado Project; concluded UFOs merit no further study; controversial"
8,"Haines, R. F.",1980,"Observing UFOs: An Investigative Handbook",Nelson-Hall,methodology,medium,"Systematic investigation methodology for UFO reports"
9,"Ballester Olmos, V.-J.",2023,"The Nature of UAP: An Updated Overview",FOTOCAT Project,classification,medium,"Updated classification of 12000+ photo cases"
10,"Ester, M. et al.",1996,"A density-based algorithm for discovering clusters in large spatial databases with noise",KDD Proc.,spatial_methods,high,"DBSCAN original paper; eps/minPts clustering"
11,"Kulldorff, M.",1997,"A spatial scan statistic",Communications in Statistics,spatial_methods,high,"Spatial scan statistic for hotspot detection; SaTScan"
12,"Getis, A. & Ord, J. K.",1992,"The analysis of spatial association by use of distance statistics",Geographical Analysis,spatial_methods,high,"Getis-Ord Gi* statistic; hot/cold spot analysis"
13,"Silverman, B. W.",1986,"Density Estimation for Statistics and Data Analysis",Chapman & Hall,spatial_methods,high,"KDE textbook; bandwidth selection"
14,"McDowall, R. J.",2023,"Enhancing Space Situational Awareness to Mitigate Risk: Starlink-UAP Misidentification",arXiv 2403.08155,starlink,high,"Case study: Starlink train misidentified by 5 airline pilots"
