id,authors,year,title,journal,type,theme,relevance
P001,"Alcubierre, M.",1994,"The warp drive: hyper-fast travel within general relativity",Class. Quantum Grav. 11 L73,foundational,warp_metrics,seminal
P002,"Alcubierre, M.",2000,"The warp drive: hyper-fast travel within general relativity (review)","Class. Quantum Grav. 11, L73 (reprint)",review,warp_metrics,seminal
P003,"Natário, J.",2002,"Warp drive with zero expansion",Class. Quantum Grav. 19 1157,foundational,warp_metrics,key
P004,"Lentz, E.",2021,"Breaking the warp barrier: hyper-fast solitons in Einstein-Maxwell-plasma theory",Class. Quantum Grav. 38 075015,research,warp_metrics,key
P005,"Bobrick, A.; Martire, G.",2021,"Introducing physical warp drives",Class. Quantum Grav. 38 105009,research,warp_metrics,key
P006,"Fuchs, J.; Helmerich, C.; Bobrick, A.; Sellers, L.; Melcher, B.; Martire, G.",2024,"Constant velocity physical warp drive solution",Class. Quantum Grav. 41 095013,research,warp_metrics,key
P007,"Celmaster, B.; Rubin, S.",2025,"Violations of the weak energy condition for Lentz warp drives",arXiv:2511.18251,research,energy_conditions,key
P008,"Santiago, J.; Schuster, S.; Visser, M.",2022,"Generic warp drives violate the null energy condition",Phys. Rev. D 105 064038,research,energy_conditions,key
P009,"Santiago, R.G.; Zatrimaylov, K.",2024,"Black holes warp drives and energy conditions",arXiv:2408.04495v4,research,energy_conditions,key
P010,"Lobo, F.",2007,"Exotic solutions in GR: traversable wormholes and warp drive spacetimes",arXiv:0710.4474,review,wormholes,key
P011,"Morris, M.; Thorne, K.",1988,"Wormholes in spacetime and their use for interstellar travel",Am. J. Phys. 56 395,foundational,wormholes,seminal
P012,"Morris, M.; Thorne, K.; Yurtsever, U.",1988,"Wormholes time machines and the weak energy condition",Phys. Rev. Lett. 61 1446,foundational,energy_conditions,seminal
P013,"Hawking, S.; Ellis, G.",1973,"The Large Scale Structure of Space-Time",Cambridge University Press,textbook,gr_fundamentals,foundational
P014,"Misner, C.; Thorne, K.; Wheeler, J.",1973,"Gravitation",W.H. Freeman,textbook,gr_fundamentals,foundational
P015,"Wald, R.",1984,"General Relativity",University of Chicago Press,textbook,gr_fundamentals,foundational
P016,"Carroll, S.",2004,"Spacetime and Geometry: An Introduction to General Relativity",Addison-Wesley,textbook,gr_fundamentals,foundational
P017,"Visser, M.",1995,"Lorentzian Wormholes: From Einstein to Hawking",AIP Press,textbook,wormholes,foundational
P018,"Poisson, E.",2004,"A Relativist's Toolkit: The Mathematics of Black-Hole Mechanics",Cambridge University Press,textbook,gr_fundamentals,foundational
P019,"d'Inverno, R.",1992,"Introducing Einstein's Relativity",Oxford University Press,textbook,gr_fundamentals,foundational
P020,"Schutz, B.",2009,"A First Course in General Relativity",Cambridge University Press,textbook,gr_fundamentals,foundational
P021,"Weinberg, S.",1972,"Gravitation and Cosmology",Wiley,textbook,gr_fundamentals,foundational
P022,"Arnowitt, R.; Deser, S.; Misner, C.",1962,"The dynamics of general relativity",Gen. Rel. Grav. 40 1997,foundational,adm_formalism,seminal
P023,"York, J.",1979,"Kinematics and dynamics of general relativity",in Sources of Gravitational Radiation,foundational,adm_formalism,key
P024,"Gourgoulhon, E.",2012,"3+1 Formalism in General Relativity",Springer LNP 846,textbook,adm_formalism,foundational
P025,"Pfenning, M.; Ford, L.",1997,"The unphysical nature of warp drive",Class. Quantum Grav. 14 1743,research,energy_conditions,key
P026,"Ford, L.; Roman, T.",1995,"Averaged energy conditions and quantum inequalities",Phys. Rev. D 51 4277,research,quantum_inequalities,key
P027,"Ford, L.; Roman, T.",1997,"Quantum field theory constrains traversable wormhole geometries",Phys. Rev. D 53 5496,research,quantum_inequalities,key
P028,"Ford, L.",1978,"Quantum coherence effects and the second law of thermodynamics",Proc. R. Soc. Lond. A 364 227,foundational,quantum_inequalities,key
P029,"Ford, L.; Roman, T.",2003,"Negative energy anti-de Sitter and quantum inequalities",Phys. Rev. D 67 084006,research,quantum_inequalities,key
P030,"Fewster, C.; Roman, T.",2005,"On wormholes with arbitrarily small quantities of exotic matter",Phys. Rev. D 72 044023,research,quantum_inequalities,key
P031,"Fewster, C.",2012,"Lectures on quantum energy inequalities",arXiv:1208.5399,review,quantum_inequalities,key
P032,"Visser, M.; Barceló, C.; Liberati, S.",2000,"Superluminal censorship",arXiv:gr-qc/0001099,research,causality,key
P033,"Olum, K.",1998,"Superluminal travel requires negative energies",Phys. Rev. Lett. 81 3567,research,energy_conditions,key
P034,"Van Den Broeck, C.",1999,"A warp drive with more reasonable total energy requirements",Class. Quantum Grav. 16 3973,research,warp_metrics,key
P035,"Van Den Broeck, C.",1999,"On the (im)possibility of warp bubbles",arXiv:gr-qc/9906050,research,warp_metrics,key
P036,"Krasnikov, S.",1998,"Hyperfast travel in general relativity",Phys. Rev. D 57 4760,research,warp_metrics,key
P037,"Everett, A.; Roman, T.",1997,"Superluminal subway: The Krasnikov tube",Phys. Rev. D 56 2100,research,warp_metrics,key
P038,"Everett, A.",1996,"Warp drive and causality",Phys. Rev. D 53 7365,research,causality,key
P039,"Hawking, S.",1992,"Chronology protection conjecture",Phys. Rev. D 46 603,foundational,causality,seminal
P040,"Visser, M.",1993,"From wormhole to time machine: Comments on Hawking's chronology protection conjecture",Phys. Rev. D 47 554,research,causality,key
P041,"Visser, M.",1994,"Hawking's chronology protection conjecture: Singularity structure of the quantum stress-energy tensor",Nucl. Phys. B 416 895,research,causality,key
P042,"Visser, M.",2003,"The quantum physics of chronology protection",Cambridge University Press,review,causality,key
P043,"Friedman, J.; Higuchi, A.",2006,"Topological censorship and chronology protection",Annalen der Physik 15 109,research,causality,key
P044,"Liberati, S.",2016,"Do not mess with time: probing FTL travel and chronology protection with superluminal warp drives",Handbook of Spacetime,review,causality,key
P045,"Shoshany, B.",2019,"Lectures on faster-than-light travel and time travel",arXiv:1907.04178,review,causality,key
P046,"Shoshany, B.; Snodgrass, B.",2023,"Warp drives rest frame transitions and closed timelike curves",arXiv:2309.XXXXX,research,causality,key
P047,"White, H.",2003,"A discussion of space-time metric engineering",Gen. Rel. Grav. 35 2025,research,warp_metrics,key
P048,"White, H.",2013,"Warp field mechanics 102: energy optimization",J. British Interplanetary Soc. 66 242,research,warp_metrics,moderate
P049,"White, H.; Vera, A.; Han, A.; Bruccoleri, A.R.; MacArthur, J.",2021,"Worldline numerics applied to custom Casimir geometry generates unanticipated intersection with Alcubierre warp metric",Eur. Phys. J. C 81 677,research,casimir,key
P050,"Casimir, H.",1948,"On the attraction between two perfectly conducting plates",Proc. K. Ned. Akad. Wet. 51 793,foundational,casimir,seminal
P051,"Lamoreaux, S.",1997,"Demonstration of the Casimir force in the 0.6 to 6 um range",Phys. Rev. Lett. 78 5,research,casimir,key
P052,"Mohideen, U.; Roy, A.",1998,"Precision measurement of the Casimir force from 0.1 to 0.9 um",Phys. Rev. Lett. 81 4549,research,casimir,key
P053,"Finazzi, S.; Liberati, S.; Barceló, C.",2009,"Semiclassical instability of dynamical warp drives",Phys. Rev. D 79 124017,research,quantum_effects,key
P054,"Hiscock, W.",1997,"Quantum effects in the Alcubierre warp-drive spacetime",Class. Quantum Grav. 14 L183,research,quantum_effects,key
P055,"Penrose, R.",1965,"Gravitational collapse and space-time singularities",Phys. Rev. Lett. 14 57,foundational,singularities,seminal
P056,"Hawking, S.; Penrose, R.",1970,"The singularities of gravitational collapse and cosmology",Proc. R. Soc. Lond. A 314 529,foundational,singularities,seminal
P057,"Penrose, R.",1969,"Gravitational collapse: The role of general relativity",Rivista del Nuovo Cimento 1 252,foundational,singularities,key
P058,"Tipler, F.",1978,"Energy conditions and spacetime singularities",Phys. Rev. D 17 2521,research,energy_conditions,key
P059,"Borde, A.",1987,"Geodesic focusing energy conditions and singularities",Class. Quantum Grav. 4 343,research,energy_conditions,key
