id,authors,year,title,journal,type,theme,relevance
P001,"Alcubierre, M.",1994,"The warp drive: hyper-fast travel within general relativity",Class. Quantum Grav. 11 L73,foundational,warp_metrics,seminal
P002,"Natário, J.",2002,"Warp drive with zero expansion",Class. Quantum Grav. 19 1157,foundational,warp_metrics,key
P003,"Lentz, E.",2021,"Breaking the warp barrier: hyper-fast solitons in Einstein-Maxwell-plasma theory",Class. Quantum Grav. 38 075015,research,warp_metrics,key
P004,"Bobrick, A.; Martire, G.",2021,"Introducing physical warp drives",Class. Quantum Grav. 38 105009,research,warp_metrics,key
P005,"Fuchs, J.; Helmerich, C.; Bobrick, A.; Sellers, L.; Melcher, B.; Martire, G.",2024,"Constant velocity physical warp drive solution",Class. Quantum Grav. 41 095013,research,warp_metrics,key
P006,"Celmaster, B.; Rubin, S.",2025,"Violations of the weak energy condition for Lentz warp drives",arXiv:2511.18251,research,energy_conditions,key
P007,"Santiago, J.; Schuster, S.; Visser, M.",2022,"Generic warp drives violate the null energy condition",Phys. Rev. D 105 064038,research,energy_conditions,seminal
P008,"Santiago, R.G.; Zatrimaylov, K.",2024,"Black holes warp drives and energy conditions",Phys. Lett. B 856 138922,research,energy_conditions,key
P009,"Olum, K.",1998,"Superluminal travel requires negative energies",Phys. Rev. Lett. 81 3567,foundational,energy_conditions,seminal
P010,"Lobo, F.",2007,"Exotic solutions in GR: traversable wormholes and warp drive spacetimes",arXiv:0710.4474,review,wormholes,key
P011,"Morris, M.; Thorne, K.",1988,"Wormholes in spacetime and their use for interstellar travel",Am. J. Phys. 56 395,foundational,wormholes,seminal
P012,"Hawking, S.; Ellis, G.",1973,"The Large Scale Structure of Space-Time",Cambridge University Press,textbook,gr_fundamentals,foundational
P013,"Misner, C.; Thorne, K.; Wheeler, J.",1973,"Gravitation",W.H. Freeman,textbook,gr_fundamentals,foundational
P014,"Wald, R.",1984,"General Relativity",University of Chicago Press,textbook,gr_fundamentals,foundational
P015,"Carroll, S.",2004,"Spacetime and Geometry",Addison-Wesley,textbook,gr_fundamentals,foundational
P016,"Visser, M.",1995,"Lorentzian Wormholes: From Einstein to Hawking",AIP Press,textbook,wormholes,foundational
P017,"Poisson, E.",2004,"A Relativist's Toolkit",Cambridge University Press,textbook,gr_fundamentals,foundational
P018,"Weinberg, S.",1972,"Gravitation and Cosmology",Wiley,textbook,gr_fundamentals,foundational
P019,"Arnowitt, R.; Deser, S.; Misner, C.",1962,"The dynamics of general relativity",Gen. Rel. Grav. 40 1997,foundational,adm_formalism,seminal
P020,"Pfenning, M.; Ford, L.",1997,"The unphysical nature of warp drive",Class. Quantum Grav. 14 1743,research,energy_conditions,key
P021,"Ford, L.; Roman, T.",1995,"Averaged energy conditions and quantum inequalities",Phys. Rev. D 51 4277,research,quantum_inequalities,key
P022,"Ford, L.; Roman, T.",1997,"Quantum field theory constrains traversable wormhole geometries",Phys. Rev. D 53 5496,research,quantum_inequalities,key
P023,"Ford, L.",1978,"Quantum coherence effects and the second law of thermodynamics",Proc. R. Soc. Lond. A 364 227,foundational,quantum_inequalities,key
P024,"Fewster, C.",2012,"Lectures on quantum energy inequalities",arXiv:1208.5399,review,quantum_inequalities,key
