id,title,authors,year,venue,doi_or_url,category,relevance
1,Welding Metallurgy 2nd Edition,"Kou, S.",2003,Wiley,ISBN:978-0471434917,textbook,foundational reference on welding metallurgy heat flow solidification HAZ
2,Metallurgy of Welding 6th Edition,"Lancaster, J.F.",1999,Abington Publishing,ISBN:978-1855734289,textbook,foundational text on heat input carbon equivalent preheat and weldability
3,Introduction to the Physical Metallurgy of Welding 2nd Edition,"Easterling, K.E.",1992,Butterworth-Heinemann,ISBN:978-0750603942,textbook,classic reference on thermal cycles HAZ microstructure and t8/5 cooling
4,A new finite element model for welding heat sources,"Goldak, J. and Chakravarti, A. and Bibby, M.",1984,Metallurgical Transactions B 15(2) 299-305,10.1007/BF02667333,heat_source_modelling,the double ellipsoidal heat source model used in virtually all welding FEA
5,Principles of Welding: Processes Physics Chemistry and Metallurgy,"Messler, R.W.",1999,Wiley,ISBN:978-0471253761,textbook,comprehensive treatment of welding physics chemistry metallurgy
6,Welding Metallurgy and Weldability,"Lippold, J.C.",2015,Wiley,ISBN:978-1118230701,textbook,modern treatment of weldability cracking phenomena and process metallurgy
7,Fundamentals of Welding Metallurgy Vol 1,AWS,1994,AWS WM1.4:1994,AWS WM1.4,standards,American Welding Society fundamentals reference
8,Modern Welding Technology 6th Edition,"Cary, H.B. and Helzer, S.C.",2004,Prentice Hall,ISBN:978-0131130296,textbook,standard undergraduate text covering all major welding processes
9,ASM Handbook Volume 6: Welding Brazing and Soldering,ASM International,1993,ASM International,ISBN:978-0871703828,textbook,comprehensive reference on all welding processes and process metallurgy
10,ASM Handbook Volume 6A: Welding Fundamentals and Processes,ASM International,2011,ASM International,ISBN:978-1615030491,textbook,updated reference on welding fundamentals and process descriptions
11,Machine learning assisted prediction of continuous cooling transformation diagrams,"Li, Y. et al.",2022,Materials and Design,10.1016/j.matdes.2022.110987,ml_metallurgy,hybrid MLP kNN RF model trained on 4100 CCT diagrams for phase transformation prediction
12,ANN based calibration of Goldak heat source parameters from weld macrograph measurements,"Rajeev, G.P. et al.",2025,Journal of Manufacturing Processes,10.1016/j.jmapro.2025.xx,heat_source_modelling,neural network calibration of double ellipsoidal model parameters
