exp_id	description	model_family	n_features	cv_auc_mean	cv_auc_std	cv_f1_mean	cv_f1_std	cv_precision_mean	cv_recall_mean	holdout_auc	holdout_f1	holdout_precision	holdout_recall	notes
E00	Baseline: XGBoost on core geographic + climate + NDVI features	xgboost	8	0.7673961823598452	0.13985675210201087	0.515488551125148	0.2364925749146533	0.5628176171654433	0.5583333333333333	0.798408057179987	0.7479674796747967	0.696969696969697	0.8070175438596491	Phase 0.5 baseline (3.5s)
T01	Tournament: xgboost	xgboost	8	0.7673961823598452	0.13985675210201087	0.515488551125148	0.2364925749146533	0.5628176171654433	0.5583333333333333	0.798408057179987	0.7479674796747967	0.696969696969697	0.8070175438596491	Phase 1 tournament (3.5s)
T02	Tournament: lightgbm	lightgbm	8	0.7684564420828955	0.13284771395387057	0.5215728131517605	0.3264473085085661	0.5983333333333333	0.6083333333333333	0.815464587394412	0.7938931297709924	0.7027027027027027	0.9122807017543859	Phase 1 tournament (0.3s)
T03	Tournament: extratrees	extratrees	8	0.752311839215909	0.16303518898296654	0.37762297901616787	0.4166893702214968	0.5452777777777778	0.3763888888888889	0.8401559454191033	0.8235294117647058	0.7903225806451613	0.8596491228070176	Phase 1 tournament (2.7s)
T04	Tournament: ridge	ridge	8	0.7138869633273703	0.16859507006084548	0.47896335702553816	0.31205625966324374	0.5467748917748918	0.4611111111111111	0.8398310591293048	0.7714285714285715	0.6506024096385542	0.9473684210526315	Phase 1 tournament (0.1s)
E01	Add dist_nearest_declining_km	xgboost	9	0.7805540943767688	0.14951816435896223	0.5379509571401857	0.2356698845873514	0.5957209457209457	0.6027777777777776	0.8019818063677713	0.7543859649122807	0.7543859649122807	0.7543859649122807	 (3.5s)
E02	Add log_dist_nearest_declining	xgboost	10	0.7799209573264806	0.14615418755821055	0.5422001719776358	0.24477362978931408	0.596031746031746	0.6027777777777777	0.7998700454840806	0.7543859649122807	0.7543859649122807	0.7543859649122807	 (3.2s)
E03	Add log_dist_epicentre	xgboost	10	0.7765720242827802	0.1474593272643077	0.5264106982934252	0.2494874681561256	0.5851226551226552	0.5805555555555555	0.8005198180636777	0.7543859649122807	0.7543859649122807	0.7543859649122807	 (4.0s)
E04	Add already_affected flag	xgboost	10	0.7846797770489632	0.1407590127666449	0.5264106982934252	0.2494874681561256	0.5851226551226552	0.5805555555555555	0.8011695906432749	0.7543859649122807	0.7543859649122807	0.7543859649122807	 (5.1s)
E05	Add frost_days_below_minus6	xgboost	11	0.7796617193637543	0.1345445355764978	0.5400949088197411	0.24764567404223273	0.5626984126984127	0.6027777777777777	0.7992202729044834	0.7413793103448276	0.7288135593220338	0.7543859649122807	 (5.6s)
